date,open,high,low,close
01/01/2020,76.252,76.273,76.25,76.273
01/01/2020,76.3,76.321,76.1,76.238
02/01/2020,76.236,76.278,76.066,76.139
02/01/2020,76.139,76.238,76.059,76.161
02/01/2020,76.161,76.189,75.955,76.049
02/01/2020,76.051,76.077,75.671,75.794
02/01/2020,75.794,75.903,75.754,75.899
02/01/2020,75.905,75.906,75.438,75.455
03/01/2020,75.456,75.521,75.208,75.255
03/01/2020,75.257,75.297,74.924,74.965
03/01/2020,74.965,75.214,74.854,75.118
03/01/2020,75.116,75.252,75.073,75.176
03/01/2020,75.176,75.189,75.005,75.086
05/01/2020,74.893,75.206,74.731,74.916
06/01/2020,74.916,75.071,74.907,74.96
06/01/2020,74.96,75.149,74.857,75.105
06/01/2020,75.103,75.19,75.038,75.082
06/01/2020,75.081,75.159,74.852,75.14
06/01/2020,75.138,75.27,75.135,75.204
06/01/2020,75.183,75.237,75.103,75.168
07/01/2020,75.167,75.262,74.95,74.957
07/01/2020,74.957,75.023,74.701,74.763
07/01/2020,74.763,74.768,74.446,74.459
07/01/2020,74.458,74.616,74.37,74.552
07/01/2020,74.551,74.581,74.347,74.505
07/01/2020,74.467,74.544,73.759,74.167
08/01/2020,74.166,74.638,74.146,74.399
08/01/2020,74.4,74.688,74.4,74.527
08/01/2020,74.527,74.735,74.449,74.628
08/01/2020,74.627,75.042,74.426,75.013
08/01/2020,75.014,75.068,74.842,74.925
08/01/2020,74.887,75.149,74.842,75.094
09/01/2020,75.094,75.132,74.98,75.127
09/01/2020,75.129,75.202,74.979,75.045
09/01/2020,75.045,75.157,74.984,75.119
09/01/2020,75.118,75.15,74.974,75.036
09/01/2020,75.037,75.118,74.958,75.114
09/01/2020,75.101,75.295,75.012,75.091
10/01/2020,75.094,75.402,75.066,75.365
10/01/2020,75.369,75.425,75.277,75.393
10/01/2020,75.394,75.521,75.351,75.433
10/01/2020,75.432,75.671,75.385,75.602
10/01/2020,75.602,75.697,75.485,75.54
12/01/2020,75.558,75.777,75.497,75.759
13/01/2020,75.759,75.858,75.719,75.834
