date,open,high,low,close
01/01/2020,0.74361,0.74361,0.74349,0.74361
01/01/2020,0.74398,0.74622,0.74345,0.74604
02/01/2020,0.74605,0.74697,0.74552,0.74687
02/01/2020,0.74688,0.74783,0.74597,0.74684
02/01/2020,0.74685,0.74743,0.74593,0.74674
02/01/2020,0.74673,0.74884,0.74634,0.74847
02/01/2020,0.7485,0.74904,0.74754,0.74787
02/01/2020,0.74795,0.7483,0.74717,0.74727
03/01/2020,0.74724,0.74739,0.7457,0.74696
03/01/2020,0.74696,0.74978,0.74666,0.74972
03/01/2020,0.74972,0.75042,0.74827,0.74894
03/01/2020,0.74894,0.74944,0.74682,0.74762
03/01/2020,0.74762,0.74852,0.74707,0.74777
05/01/2020,0.74727,0.74852,0.74695,0.74809
06/01/2020,0.74807,0.74862,0.74776,0.74841
06/01/2020,0.74842,0.74853,0.74717,0.7472
06/01/2020,0.74719,0.74784,0.74652,0.74746
06/01/2020,0.74746,0.74786,0.7463,0.74673
06/01/2020,0.74672,0.74744,0.74647,0.74652
06/01/2020,0.7464,0.7477,0.74621,0.74746
07/01/2020,0.74747,0.74769,0.74717,0.74747
07/01/2020,0.74746,0.74857,0.74702,0.74851
07/01/2020,0.7485,0.74876,0.74617,0.74678
07/01/2020,0.74679,0.74717,0.74501,0.74582
07/01/2020,0.74582,0.74704,0.74567,0.74602
07/01/2020,0.74585,0.74666,0.74343,0.74618
08/01/2020,0.7462,0.74771,0.74598,0.74712
08/01/2020,0.74714,0.74812,0.74658,0.74697
08/01/2020,0.74698,0.74765,0.74517,0.74542
08/01/2020,0.74542,0.74721,0.7441,0.747
08/01/2020,0.74698,0.74748,0.74648,0.74686
08/01/2020,0.74671,0.74752,0.74632,0.74747
09/01/2020,0.74745,0.74757,0.74683,0.74691
09/01/2020,0.74689,0.74753,0.74612,0.74612
09/01/2020,0.74611,0.74653,0.74357,0.74435
09/01/2020,0.74436,0.74456,0.74227,0.74302
09/01/2020,0.74302,0.74557,0.74252,0.74542
09/01/2020,0.74527,0.7454,0.74447,0.74507
10/01/2020,0.74507,0.74522,0.74467,0.74479
10/01/2020,0.7448,0.7457,0.74479,0.74563
10/01/2020,0.74564,0.74831,0.74537,0.74803
10/01/2020,0.74802,0.74853,0.74457,0.74542
10/01/2020,0.74542,0.74577,0.74445,0.74537
12/01/2020,0.74504,0.74569,0.74446,0.74539
13/01/2020,0.7454,0.74573,0.74518,0.74572
13/01/2020,0.74567,0.74585,0.74468,0.74487
13/01/2020,0.74487,0.74547,0.74412,0.745
13/01/2020,0.74499,0.7456,0.7429,0.74332
13/01/2020,0.74332,0.74404,0.74302,0.74357
13/01/2020,0.74349,0.74383,0.74294,0.74347
14/01/2020,0.74347,0.74391,0.74326,0.74347
14/01/2020,0.74347,0.74386,0.74062,0.74172
14/01/2020,0.74172,0.74198,0.73955,0.74177
14/01/2020,0.74177,0.74264,0.74059,0.74167
14/01/2020,0.74172,0.74187,0.74011,0.74052
14/01/2020,0.74025,0.74075,0.73995,0.74007
15/01/2020,0.74005,0.74102,0.73987,0.74068
15/01/2020,0.74069,0.74124,0.73851,0.73894
15/01/2020,0.73893,0.73914,0.73678,0.73732
15/01/2020,0.73732,0.73975,0.73726,0.73899
15/01/2020,0.73897,0.73933,0.73826,0.73908
15/01/2020,0.73904,0.7393,0.73862,0.73927
16/01/2020,0.73927,0.73945,0.73913,0.73922
16/01/2020,0.73922,0.73973,0.73799,0.73892
16/01/2020,0.73889,0.73897,0.73708,0.73883
16/01/2020,0.73884,0.74019,0.73837,0.73978
16/01/2020,0.73979,0.73999,0.73898,0.73993
16/01/2020,0.73965,0.74005,0.7392,0.73961
17/01/2020,0.7397,0.74003,0.73938,0.73949
17/01/2020,0.73949,0.74107,0.73938,0.74022
17/01/2020,0.74023,0.74242,0.74003,0.74232
17/01/2020,0.74233,0.74248,0.74027,0.74074
17/01/2020,0.74075,0.74128,0.74003,0.74062
19/01/2020,0.7408,0.74115,0.73986,0.74069
20/01/2020,0.74069,0.74122,0.74042,0.74117
20/01/2020,0.74117,0.74159,0.74062,0.74087
20/01/2020,0.74089,0.74165,0.74087,0.74162
20/01/2020,0.74161,0.74277,0.74148,0.74252
20/01/2020,0.74251,0.74282,0.74164,0.74192
20/01/2020,0.74185,0.74237,0.7411,0.7412
21/01/2020,0.74121,0.74141,0.74062,0.74101
21/01/2020,0.74102,0.74111,0.73985,0.74064
21/01/2020,0.74065,0.74127,0.73977,0.74007
21/01/2020,0.74007,0.74135,0.74007,0.74084
21/01/2020,0.74084,0.74132,0.74012,0.74112
21/01/2020,0.74095,0.74122,0.74037,0.74061
22/01/2020,0.7406,0.74134,0.74047,0.74129
22/01/2020,0.74129,0.74401,0.7412,0.74333
22/01/2020,0.74333,0.74401,0.74258,0.74322
22/01/2020,0.74322,0.74322,0.73684,0.73687
22/01/2020,0.73686,0.73734,0.73648,0.73687
22/01/2020,0.73655,0.73695,0.73533,0.7357
23/01/2020,0.73571,0.73604,0.73505,0.73552
23/01/2020,0.73551,0.73657,0.73504,0.73612
23/01/2020,0.7361,0.73647,0.73459,0.7349
23/01/2020,0.73491,0.73803,0.73457,0.73769
23/01/2020,0.73768,0.73885,0.73754,0.73812
23/01/2020,0.73797,0.73867,0.73767,0.73853
24/01/2020,0.73851,0.73895,0.73842,0.73887
24/01/2020,0.73886,0.73937,0.73807,0.73904
24/01/2020,0.73904,0.73948,0.73835,0.73877
24/01/2020,0.73875,0.73943,0.73812,0.73862
24/01/2020,0.73864,0.73909,0.73769,0.73857
26/01/2020,0.73748,0.73807,0.73664,0.73752
27/01/2020,0.73752,0.7379,0.73703,0.73757
27/01/2020,0.73757,0.73787,0.7357,0.73588
27/01/2020,0.73589,0.73622,0.73443,0.73504
27/01/2020,0.73504,0.73648,0.73368,0.73632
27/01/2020,0.73632,0.73662,0.73475,0.73477
27/01/2020,0.73465,0.73586,0.73446,0.73563
28/01/2020,0.73561,0.73618,0.73541,0.73618
28/01/2020,0.73618,0.73642,0.73305,0.73397
28/01/2020,0.73397,0.73783,0.73351,0.73754
28/01/2020,0.73756,0.73924,0.73654,0.73867
28/01/2020,0.73864,0.73969,0.73824,0.73957
28/01/2020,0.7395,0.73997,0.73888,0.73977
29/01/2020,0.73978,0.74047,0.73967,0.7398
29/01/2020,0.73979,0.74003,0.73862,0.73996
29/01/2020,0.73995,0.74047,0.73921,0.74007
29/01/2020,0.74007,0.74066,0.73798,0.73837
29/01/2020,0.73837,0.73857,0.73713,0.7374
29/01/2020,0.73725,0.73767,0.73663,0.73699
30/01/2020,0.73701,0.73705,0.7361,0.73624
30/01/2020,0.73623,0.73652,0.73398,0.73432
30/01/2020,0.73432,0.73502,0.73307,0.73387
30/01/2020,0.73387,0.73509,0.73192,0.7325
30/01/2020,0.7325,0.73527,0.73232,0.73387
