date,open,high,low,close
01/01/2020,83.708,83.713,83.708,83.708
01/01/2020,83.737,83.801,83.563,83.759
02/01/2020,83.759,83.778,83.671,83.717
02/01/2020,83.717,83.905,83.705,83.839
02/01/2020,83.84,83.855,83.6,83.652
02/01/2020,83.652,83.686,83.322,83.502
02/01/2020,83.504,83.605,83.471,83.596
02/01/2020,83.612,83.659,83.326,83.339
03/01/2020,83.339,83.376,83.095,83.199
03/01/2020,83.2,83.323,83.131,83.23
03/01/2020,83.228,83.362,83.054,83.251
03/01/2020,83.251,83.354,83.08,83.149
03/01/2020,83.148,83.247,82.985,83.126
05/01/2020,83.055,83.304,82.96,83.152
06/01/2020,83.151,83.304,83.136,83.265
06/01/2020,83.267,83.343,83.127,83.272
06/01/2020,83.272,83.411,83.242,83.354
06/01/2020,83.353,83.608,83.222,83.565
06/01/2020,83.563,83.68,83.545,83.583
06/01/2020,83.552,83.68,83.522,83.654
07/01/2020,83.655,83.696,83.602,83.602
07/01/2020,83.602,83.732,83.449,83.621
07/01/2020,83.62,83.633,83.329,83.367
07/01/2020,83.366,83.463,83.177,83.408
07/01/2020,83.407,83.49,83.302,83.392
07/01/2020,83.377,83.449,82.802,83.208
08/01/2020,83.206,83.55,83.18,83.399
08/01/2020,83.402,83.551,83.369,83.397
08/01/2020,83.396,83.597,83.351,83.499
08/01/2020,83.5,83.764,83.304,83.735
08/01/2020,83.735,83.847,83.643,83.692
08/01/2020,83.667,83.847,83.596,83.834
09/01/2020,83.835,83.836,83.722,83.807
09/01/2020,83.809,83.884,83.758,83.813
09/01/2020,83.812,83.896,83.756,83.807
09/01/2020,83.807,83.831,83.584,83.66
09/01/2020,83.661,83.9,83.56,83.888
09/01/2020,83.879,83.896,83.772,83.838
10/01/2020,83.842,83.907,83.821,83.882
10/01/2020,83.885,83.938,83.801,83.88
10/01/2020,83.88,84.141,83.828,84.072
10/01/2020,84.07,84.136,83.817,83.908
10/01/2020,83.908,83.946,83.798,83.876
12/01/2020,83.899,83.969,83.816,83.943
13/01/2020,83.944,84.043,83.918,84.032
13/01/2020,84.03,84.163,83.916,84.113
13/01/2020,84.112,84.273,84.076,84.212
13/01/2020,84.212,84.317,84.137,84.232
13/01/2020,84.232,84.263,84.14,84.205
13/01/2020,84.199,84.43,84.159,84.269
14/01/2020,84.27,84.33,84.227,84.261
14/01/2020,84.261,84.369,84.049,84.16
14/01/2020,84.161,84.226,84.098,84.126
14/01/2020,84.127,84.363,84.126,84.352
14/01/2020,84.353,84.388,84.142,84.206
14/01/2020,84.203,84.216,84.046,84.133
15/01/2020,84.132,84.192,84.088,84.173
15/01/2020,84.174,84.197,83.996,84.018
15/01/2020,84.016,84.118,83.975,84.023
15/01/2020,84.023,84.332,84.007,84.279
15/01/2020,84.279,84.296,84.175,84.26
15/01/2020,84.235,84.359,84.19,84.274
16/01/2020,84.275,84.286,84.253,84.269
16/01/2020,84.271,84.432,84.25,84.39
16/01/2020,84.39,84.396,84.298,84.347
16/01/2020,84.347,84.486,84.267,84.454
16/01/2020,84.453,84.473,84.365,84.47
16/01/2020,84.458,84.561,84.389,84.439
17/01/2020,84.447,84.496,84.42,84.44
17/01/2020,84.44,84.568,84.409,84.468
17/01/2020,84.467,84.491,84.331,84.433
17/01/2020,84.433,84.488,84.239,84.286
17/01/2020,84.287,84.327,84.255,84.279
19/01/2020,84.267,84.355,84.254,84.319
20/01/2020,84.319,84.351,84.308,84.34
20/01/2020,84.34,84.391,84.257,84.313
20/01/2020,84.314,84.35,84.283,84.343
20/01/2020,84.342,84.458,84.311,84.422
20/01/2020,84.423,84.455,84.417,84.437
20/01/2020,84.439,84.457,84.17,84.205
21/01/2020,84.208,84.272,84.139,84.174
21/01/2020,84.175,84.2,84.062,84.113
21/01/2020,84.114,84.279,84.111,84.24
21/01/2020,84.241,84.359,84.045,84.102
21/01/2020,84.103,84.15,83.939,84.059
21/01/2020,84.043,84.08,83.915,83.958
22/01/2020,83.958,84.13,83.952,84.117
22/01/2020,84.118,84.17,84.058,84.148
22/01/2020,84.149,84.347,84.133,84.272
22/01/2020,84.27,84.273,83.536,83.54
22/01/2020,83.539,83.65,83.535,83.625
22/01/2020,83.593,83.626,83.275,83.347
23/01/2020,83.347,83.376,83.195,83.222
23/01/2020,83.222,83.316,83.132,83.209
23/01/2020,83.209,83.358,83.17,83.221
23/01/2020,83.222,83.292,83.071,83.237
23/01/2020,83.235,83.436,83.223,83.402
23/01/2020,83.393,83.463,83.358,83.383
24/01/2020,83.383,83.45,83.354,83.442
24/01/2020,83.441,83.551,83.405,83.415
24/01/2020,83.415,83.519,83.353,83.451
24/01/2020,83.449,83.457,83.061,83.181
24/01/2020,83.179,83.191,83.005,83.107
26/01/2020,82.813,82.906,82.634,82.821
27/01/2020,82.822,82.925,82.713,82.862
27/01/2020,82.862,82.875,82.554,82.597
27/01/2020,82.596,82.724,82.523,82.716
27/01/2020,82.715,82.781,82.467,82.717
27/01/2020,82.718,82.759,82.531,82.537
27/01/2020,82.525,82.676,82.494,82.658
28/01/2020,82.659,82.712,82.593,82.703
28/01/2020,82.703,82.741,82.364,82.45
28/01/2020,82.448,82.705,82.367,82.651
28/01/2020,82.651,82.878,82.514,82.806
28/01/2020,82.805,82.976,82.771,82.963
28/01/2020,82.958,83.023,82.853,82.946
29/01/2020,82.946,82.99,82.901,82.903
29/01/2020,82.901,82.922,82.737,82.762
29/01/2020,82.761,82.841,82.722,82.752
29/01/2020,82.752,82.801,82.602,82.688
29/01/2020,82.686,82.755,82.562,82.601
29/01/2020,82.578,82.63,82.483,82.531
30/01/2020,82.529,82.536,82.437,82.488
30/01/2020,82.489,82.521,82.273,82.385
30/01/2020,82.389,82.477,82.254,82.433
30/01/2020,82.432,82.49,82.131,82.155
30/01/2020,82.156,82.604,82.121,82.466
30/01/2020,82.488,82.697,82.405,82.584
31/01/2020,82.585,82.653,82.548,82.575
31/01/2020,82.576,82.576,82.306,82.354
31/01/2020,82.355,82.375,82.206,82.317
31/01/2020,82.317,82.357,81.849,81.925
31/01/2020,81.924,81.956,81.748,81.855
02/02/2020,81.878,82.012,81.785,81.995
03/02/2020,81.995,82.007,81.871,81.958
03/02/2020,81.958,82.115,81.859,81.908
03/02/2020,81.908,82.039,81.857,81.957
03/02/2020,81.958,82.174,81.575,81.789
03/02/2020,81.789,81.811,81.668,81.786
03/02/2020,81.785,81.796,81.602,81.776
04/02/2020,81.775,81.912,81.683,81.861
04/02/2020,81.863,82.25,81.834,82.172
04/02/2020,82.173,82.226,82.043,82.189
04/02/2020,82.189,82.505,82.136,82.449
04/02/2020,82.45,82.501,82.407,82.486
04/02/2020,82.436,82.476,82.29,82.414
05/02/2020,82.415,82.415,82.293,82.322
05/02/2020,82.323,82.692,82.184,82.674
05/02/2020,82.673,82.689,82.458,82.623
05/02/2020,82.623,82.685,82.465,82.664
05/02/2020,82.663,82.697,82.579,82.688
05/02/2020,82.652,82.74,82.568,82.677
06/02/2020,82.68,82.802,82.67,82.749
06/02/2020,82.747,82.81,82.647,82.69
06/02/2020,82.688,82.823,82.636,82.723
06/02/2020,82.723,82.753,82.56,82.75
06/02/2020,82.749,82.804,82.707,82.798
06/02/2020,82.78,82.804,82.598,82.712
07/02/2020,82.713,82.728,82.651,82.657
07/02/2020,82.657,82.752,82.474,82.477
07/02/2020,82.477,82.769,82.378,82.462
07/02/2020,82.462,82.546,82.244,82.536
07/02/2020,82.535,82.596,82.452,82.483
09/02/2020,82.42,82.535,82.319,82.492
10/02/2020,82.495,82.648,82.491,82.591
10/02/2020,82.589,82.659,82.492,82.535
10/02/2020,82.534,82.627,82.352,82.36
10/02/2020,82.363,82.438,82.27,82.322
10/02/2020,82.323,82.43,82.322,82.426
10/02/2020,82.417,82.542,82.386,82.531
11/02/2020,82.53,82.644,82.507,82.641
11/02/2020,82.64,82.717,82.58,82.631
11/02/2020,82.632,82.671,82.457,82.539
11/02/2020,82.54,82.785,82.509,82.613
11/02/2020,82.612,82.655,82.533,82.626
11/02/2020,82.596,82.712,82.572,82.709
12/02/2020,82.709,82.741,82.676,82.723
12/02/2020,82.721,83.021,82.675,82.876
12/02/2020,82.875,82.963,82.806,82.912
12/02/2020,82.913,83.117,82.883,83.072
12/02/2020,83.072,83.103,82.995,83.092
12/02/2020,83.049,83.08,82.794,83.01
13/02/2020,83.009,83.042,82.864,82.876
13/02/2020,82.875,82.892,82.735,82.761
13/02/2020,82.757,82.877,82.632,82.805
13/02/2020,82.807,82.96,82.71,82.792
13/02/2020,82.791,82.847,82.759,82.774
13/02/2020,82.764,82.852,82.7,82.808
14/02/2020,82.808,82.915,82.784,82.815
14/02/2020,82.815,82.894,82.776,82.874
14/02/2020,82.874,82.961,82.847,82.925
14/02/2020,82.926,82.95,82.76,82.812
14/02/2020,82.811,82.869,82.795,82.839
16/02/2020,82.848,82.941,82.791,82.938
17/02/2020,82.938,82.996,82.918,82.991
17/02/2020,82.992,83.044,82.918,83.041
17/02/2020,83.041,83.089,83.016,83.033
17/02/2020,83.032,83.109,83.014,83.088
17/02/2020,83.086,83.097,82.993,83.011
17/02/2020,83.022,83.022,82.805,82.852
18/02/2020,82.851,82.885,82.737,82.856
18/02/2020,82.855,82.906,82.652,82.706
18/02/2020,82.706,82.8,82.667,82.721
18/02/2020,82.72,82.923,82.705,82.883
18/02/2020,82.885,82.935,82.843,82.862
18/02/2020,82.849,82.985,82.829,82.974
19/02/2020,82.976,83.113,82.976,83.066
19/02/2020,83.066,83.327,83.038,83.287
19/02/2020,83.287,83.806,83.254,83.664
19/02/2020,83.663,84.137,83.625,84.053
19/02/2020,84.053,84.363,84.042,84.22
19/02/2020,84.185,84.201,84.053,84.114
20/02/2020,84.114,84.24,84.048,84.192
20/02/2020,84.193,84.546,84.172,84.501
20/02/2020,84.502,84.597,84.348,84.447
20/02/2020,84.451,84.743,84.191,84.482
20/02/2020,84.481,84.602,84.462,84.539
20/02/2020,84.535,84.663,84.41,84.482
21/02/2020,84.482,84.543,84.365,84.511
21/02/2020,84.511,84.541,84.02,84.232
21/02/2020,84.232,84.518,84.232,84.352
21/02/2020,84.352,84.622,84.138,84.543
21/02/2020,84.541,84.583,84.299,84.354
23/02/2020,84.031,84.286,84.008,84.144
24/02/2020,84.144,84.156,84.003,84.068
24/02/2020,84.069,84.112,83.685,83.723
24/02/2020,83.723,83.86,83.615,83.754
24/02/2020,83.752,83.758,83.129,83.15
24/02/2020,83.15,83.399,83.096,83.298
24/02/2020,83.255,83.564,83.217,83.502
25/02/2020,83.501,83.528,83.308,83.333
25/02/2020,83.333,83.459,82.992,82.996
25/02/2020,82.995,83.329,82.944,83.252
25/02/2020,83.25,83.333,82.802,82.829
25/02/2020,82.828,83.024,82.77,82.984
25/02/2020,82.952,83.078,82.86,82.956
26/02/2020,82.954,83.283,82.905,83.104
26/02/2020,83.104,83.197,82.753,82.909
26/02/2020,82.91,83.187,82.906,83.068
26/02/2020,83.067,83.398,82.768,82.917
26/02/2020,82.918,82.98,82.688,82.802
26/02/2020,82.796,82.828,82.592,82.671
27/02/2020,82.672,82.702,82.42,82.506
27/02/2020,82.505,82.703,82.386,82.679
27/02/2020,82.686,82.771,82.148,82.233
27/02/2020,82.234,82.587,82.16,82.448
27/02/2020,82.448,82.493,81.788,81.813
27/02/2020,81.823,81.975,81.507,81.553
28/02/2020,81.553,81.569,80.93,80.992
28/02/2020,80.993,81.164,80.657,80.828
28/02/2020,80.828,80.946,80.574,80.658
28/02/2020,80.656,80.933,80.235,80.518
28/02/2020,80.519,80.702,80.14,80.69
01/03/2020,80.043,80.846,79.877,80.663
02/03/2020,80.663,81.238,80.548,81.131
02/03/2020,81.131,81.391,80.738,80.832
02/03/2020,80.833,80.892,80.353,80.488
02/03/2020,80.491,81.047,80.327,80.776
02/03/2020,80.776,81.367,80.644,81.285
02/03/2020,81.204,81.463,80.914,80.966
03/03/2020,80.968,81.06,80.726,80.731
03/03/2020,80.729,80.939,80.688,80.853
03/03/2020,80.853,80.933,80.504,80.64
03/03/2020,80.64,80.926,80.166,80.285
03/03/2020,80.283,80.311,79.956,80.005
03/03/2020,80.018,80.504,79.826,80.298
04/03/2020,80.296,80.516,80.208,80.416
04/03/2020,80.417,80.614,80.308,80.41
04/03/2020,80.41,80.647,80.391,80.41
04/03/2020,80.41,80.592,79.889,80.119
04/03/2020,80.121,80.36,80.064,80.326
04/03/2020,80.298,80.481,80.136,80.209
05/03/2020,80.209,80.22,80.046,80.178
05/03/2020,80.175,80.179,79.792,79.825
05/03/2020,79.824,79.867,79.52,79.625
05/03/2020,79.627,79.83,79.131,79.145
05/03/2020,79.144,79.368,78.97,79.165
05/03/2020,79.136,79.407,79.059,79.134
06/03/2020,79.135,79.173,78.847,78.925
06/03/2020,78.925,79.178,78.41,78.466
06/03/2020,78.467,78.698,78.234,78.484
06/03/2020,78.484,78.759,78.267,78.629
06/03/2020,78.628,78.695,78.338,78.386
08/03/2020,76.993,77.032,76.137,76.522
09/03/2020,76.525,76.584,73.868,75.355
09/03/2020,75.356,75.447,74.573,75.276
09/03/2020,75.275,75.705,74.677,75.049
09/03/2020,75.048,75.84,74.34,75.085
09/03/2020,75.083,75.382,74.673,74.707
09/03/2020,74.681,75.853,74.497,75.701
10/03/2020,75.7,76.419,75.43,76.394
10/03/2020,76.395,77.144,75.954,76.431
10/03/2020,76.431,77.075,75.952,76.298
10/03/2020,76.293,76.541,74.843,75.637
10/03/2020,75.638,77.235,75.588,76.943
