date,open,high,low,close
01/01/2020,112.337,112.346,112.146,112.314
01/01/2020,112.303,112.39,111.789,112.271
02/01/2020,112.27,112.3,112.061,112.082
02/01/2020,112.08,112.389,112.018,112.26
02/01/2020,112.26,112.329,111.968,112.021
02/01/2020,112.022,112.064,111.515,111.561
02/01/2020,111.562,111.78,111.511,111.748
02/01/2020,111.74,111.814,111.499,111.524
03/01/2020,111.525,111.587,111.353,111.375
03/01/2020,111.376,111.443,110.996,111.008
03/01/2020,111.007,111.213,110.929,111.151
03/01/2020,111.152,111.324,111.132,111.209
03/01/2020,111.209,111.217,111.043,111.117
05/01/2020,111.073,111.337,110.918,111.145
06/01/2020,111.145,111.319,111.139,111.249
06/01/2020,111.25,111.446,111.167,111.44
06/01/2020,111.441,111.58,111.428,111.509
06/01/2020,111.507,111.976,111.388,111.901
06/01/2020,111.9,112.007,111.842,111.956
06/01/2020,111.869,111.994,111.793,111.915
07/01/2020,111.913,111.969,111.84,111.84
07/01/2020,111.843,111.984,111.652,111.708
07/01/2020,111.712,111.753,111.577,111.628
07/01/2020,111.625,111.913,111.532,111.828
07/01/2020,111.828,111.833,111.699,111.768
07/01/2020,111.759,111.791,111.319,111.504
08/01/2020,111.502,111.794,111.47,111.62
08/01/2020,111.622,111.78,111.596,111.638
08/01/2020,111.64,112.068,111.576,112.01
08/01/2020,112.016,112.137,111.927,112.088
08/01/2020,112.089,112.183,112.027,112.048
08/01/2020,112.032,112.187,111.99,112.159
09/01/2020,112.159,112.21,112.059,112.206
09/01/2020,112.206,112.334,112.117,112.334
09/01/2020,112.334,112.704,112.283,112.591
09/01/2020,112.59,112.651,112.506,112.596
09/01/2020,112.596,112.602,112.474,112.538
09/01/2020,112.531,112.581,112.476,112.523
10/01/2020,112.524,112.662,112.497,112.623
10/01/2020,112.628,112.66,112.41,112.496
10/01/2020,112.496,112.524,112.307,112.393
10/01/2020,112.392,112.61,112.365,112.564
10/01/2020,112.565,112.637,112.513,112.526
12/01/2020,112.586,112.624,112.433,112.61
13/01/2020,112.61,112.714,112.588,112.683
13/01/2020,112.682,112.934,112.59,112.918
13/01/2020,112.917,113.111,112.9,113.032
13/01/2020,113.032,113.345,113.009,113.312
13/01/2020,113.313,113.337,113.206,113.234
13/01/2020,113.196,113.541,113.191,113.335
14/01/2020,113.336,113.385,113.292,113.328
14/01/2020,113.33,113.525,113.298,113.461
14/01/2020,113.461,113.75,113.406,113.406
14/01/2020,113.408,113.742,113.355,113.724
14/01/2020,113.725,113.786,113.612,113.693
14/01/2020,113.678,113.713,113.536,113.678
15/01/2020,113.688,113.706,113.573,113.634
15/01/2020,113.635,113.819,113.556,113.694
15/01/2020,113.694,113.989,113.687,113.956
15/01/2020,113.949,114.156,113.872,114.041
15/01/2020,114.038,114.085,113.959,114.003
15/01/2020,113.975,114.112,113.926,113.989
16/01/2020,113.991,114.016,113.951,113.989
16/01/2020,113.988,114.317,113.944,114.204
16/01/2020,114.204,114.385,114.131,114.156
16/01/2020,114.157,114.242,114.041,114.155
16/01/2020,114.155,114.184,114.11,114.15
16/01/2020,114.17,114.291,114.123,114.158
17/01/2020,114.163,114.246,114.117,114.174
17/01/2020,114.177,114.258,114.078,114.104
17/01/2020,114.102,114.102,113.727,113.736
17/01/2020,113.734,113.855,113.627,113.778
17/01/2020,113.777,113.852,113.736,113.741
19/01/2020,113.729,113.866,113.716,113.835
20/01/2020,113.834,113.867,113.777,113.783
20/01/2020,113.783,113.813,113.68,113.796
20/01/2020,113.796,113.802,113.667,113.723
20/01/2020,113.724,113.735,113.579,113.692
20/01/2020,113.692,113.811,113.68,113.759
20/01/2020,113.756,113.79,113.557,113.598
21/01/2020,113.599,113.693,113.57,113.585
21/01/2020,113.587,113.681,113.471,113.559
21/01/2020,113.559,113.89,113.545,113.823
21/01/2020,113.824,113.833,113.491,113.516
21/01/2020,113.515,113.534,113.36,113.421
21/01/2020,113.411,113.464,113.314,113.357
22/01/2020,113.355,113.488,113.349,113.467
22/01/2020,113.467,113.5,113.035,113.199
22/01/2020,113.201,113.411,113.141,113.382
22/01/2020,113.381,113.466,113.214,113.365
22/01/2020,113.364,113.522,113.36,113.482
22/01/2020,113.472,113.506,113.219,113.283
23/01/2020,113.285,113.303,113.132,113.14
23/01/2020,113.141,113.201,112.98,113.034
23/01/2020,113.035,113.31,113.008,113.236
23/01/2020,113.234,113.293,112.702,112.829
23/01/2020,112.827,112.982,112.816,112.981
23/01/2020,112.983,113.018,112.878,112.898
24/01/2020,112.898,112.947,112.849,112.925
24/01/2020,112.923,113.088,112.846,112.861
24/01/2020,112.862,112.96,112.795,112.952
24/01/2020,112.956,112.967,112.48,112.608
24/01/2020,112.607,112.611,112.453,112.507
26/01/2020,112.242,112.362,112.136,112.285
27/01/2020,112.287,112.387,112.188,112.338
27/01/2020,112.337,112.397,112.086,112.239
27/01/2020,112.238,112.568,112.21,112.525
27/01/2020,112.526,112.564,112.262,112.335
27/01/2020,112.332,112.398,112.289,112.317
27/01/2020,112.286,112.378,112.195,112.356
28/01/2020,112.354,112.361,112.262,112.335
28/01/2020,112.336,112.422,112.269,112.324
28/01/2020,112.323,112.385,112.013,112.055
28/01/2020,112.053,112.147,111.996,112.097
28/01/2020,112.097,112.2,112.086,112.168
28/01/2020,112.165,112.304,112.083,112.113
29/01/2020,112.112,112.136,112.017,112.052
29/01/2020,112.05,112.098,111.834,111.841
29/01/2020,111.84,111.927,111.81,111.814
29/01/2020,111.813,112.011,111.738,111.979
29/01/2020,111.979,112.148,111.928,112
29/01/2020,111.952,112.066,111.895,111.976
30/01/2020,111.975,112.042,111.928,112.032
30/01/2020,112.033,112.214,111.934,112.189
30/01/2020,112.19,112.337,112.08,112.32
30/01/2020,112.32,112.379,112.076,112.148
30/01/2020,112.15,112.391,112.118,112.358
30/01/2020,112.358,112.497,112.3,112.44
31/01/2020,112.438,112.515,112.336,112.341
31/01/2020,112.342,112.39,112.257,112.311
31/01/2020,112.311,112.609,112.279,112.608
31/01/2020,112.61,112.701,112.339,112.478
31/01/2020,112.479,112.531,112.395,112.434
02/02/2020,112.48,112.566,112.338,112.553
03/02/2020,112.554,112.667,112.529,112.664
03/02/2020,112.663,112.673,112.439,112.54
03/02/2020,112.539,112.602,112.421,112.576
03/02/2020,112.576,112.604,112.42,112.481
03/02/2020,112.48,112.521,112.429,112.477
03/02/2020,112.489,112.547,112.381,112.426
04/02/2020,112.426,112.55,112.346,112.498
04/02/2020,112.498,112.63,112.434,112.622
04/02/2020,112.622,112.683,112.54,112.632
04/02/2020,112.636,112.891,112.594,112.875
04/02/2020,112.874,113.002,112.871,112.984
04/02/2020,112.924,112.977,112.854,112.901
05/02/2020,112.902,112.931,112.845,112.925
05/02/2020,112.924,113.095,112.776,112.782
05/02/2020,112.782,112.856,112.702,112.813
05/02/2020,112.812,112.84,112.651,112.77
05/02/2020,112.77,112.825,112.743,112.823
05/02/2020,112.781,112.848,112.667,112.824
06/02/2020,112.824,112.872,112.801,112.838
06/02/2020,112.84,112.902,112.695,112.709
06/02/2020,112.705,112.817,112.662,112.791
06/02/2020,112.792,112.834,112.675,112.761
06/02/2020,112.761,112.852,112.729,112.848
06/02/2020,112.835,112.86,112.709,112.821
07/02/2020,112.824,112.844,112.752,112.76
07/02/2020,112.76,112.798,112.486,112.493
07/02/2020,112.494,112.591,112.411,112.435
07/02/2020,112.435,112.498,112.271,112.317
07/02/2020,112.318,112.354,112.253,112.28
09/02/2020,112.238,112.35,112.197,112.33
10/02/2020,112.331,112.386,112.292,112.34
10/02/2020,112.34,112.395,112.226,112.251
10/02/2020,112.255,112.33,112.189,112.217
10/02/2020,112.217,112.379,112.18,112.216
10/02/2020,112.216,112.317,112.214,112.307
10/02/2020,112.305,112.342,112.265,112.324
11/02/2020,112.325,112.359,112.282,112.296
11/02/2020,112.296,112.502,112.296,112.415
11/02/2020,112.415,112.468,112.151,112.176
11/02/2020,112.177,112.591,112.17,112.562
11/02/2020,112.559,112.57,112.49,112.502
11/02/2020,112.494,112.664,112.454,112.658
12/02/2020,112.658,112.688,112.56,112.583
12/02/2020,112.583,112.905,112.53,112.865
12/02/2020,112.866,112.908,112.705,112.708
12/02/2020,112.71,112.77,112.511,112.524
12/02/2020,112.523,112.563,112.489,112.534
