date,open,high,low,close
01/01/2020,1.5969,1.5969,1.5958,1.5962
01/01/2020,1.5975,1.6007,1.5974,1.5994
02/01/2020,1.5993,1.6014,1.5984,1.6002
02/01/2020,1.6001,1.6017,1.5999,1.6009
02/01/2020,1.6009,1.6023,1.5992,1.6002
02/01/2020,1.6001,1.6013,1.5974,1.5993
02/01/2020,1.5993,1.6001,1.5974,1.5976
02/01/2020,1.5975,1.6025,1.5968,1.6022
03/01/2020,1.6022,1.6047,1.6014,1.6042
03/01/2020,1.6042,1.6062,1.603,1.6058
03/01/2020,1.6059,1.6059,1.6026,1.6036
03/01/2020,1.6036,1.6058,1.6027,1.6044
03/01/2020,1.6045,1.6062,1.6044,1.6049
05/01/2020,1.608,1.6099,1.6048,1.6084
06/01/2020,1.6084,1.6091,1.607,1.609
06/01/2020,1.609,1.6096,1.6062,1.6093
06/01/2020,1.6093,1.6129,1.6087,1.6124
06/01/2020,1.6124,1.6151,1.612,1.6142
06/01/2020,1.6141,1.6144,1.6125,1.6134
06/01/2020,1.613,1.6154,1.6123,1.6146
07/01/2020,1.6147,1.6178,1.6131,1.6177
07/01/2020,1.6176,1.6229,1.6165,1.6226
07/01/2020,1.6225,1.627,1.622,1.6246
07/01/2020,1.6246,1.6253,1.6211,1.6222
07/01/2020,1.6222,1.6246,1.622,1.6233
07/01/2020,1.6233,1.6293,1.6222,1.6249
08/01/2020,1.6248,1.6251,1.621,1.6229
08/01/2020,1.6229,1.6231,1.6183,1.6207
08/01/2020,1.6207,1.6216,1.6189,1.6192
08/01/2020,1.6192,1.6236,1.6161,1.6169
08/01/2020,1.6168,1.6186,1.6163,1.6172
08/01/2020,1.6171,1.6187,1.6155,1.6171
09/01/2020,1.6172,1.6184,1.6164,1.6171
09/01/2020,1.617,1.6205,1.6158,1.6185
09/01/2020,1.6184,1.6201,1.6178,1.6191
09/01/2020,1.6191,1.6217,1.6184,1.6205
09/01/2020,1.6206,1.6214,1.6191,1.6192
09/01/2020,1.6191,1.6212,1.6165,1.6198
10/01/2020,1.6197,1.6202,1.6147,1.6149
10/01/2020,1.6148,1.6162,1.6134,1.6136
10/01/2020,1.6136,1.6143,1.6108,1.613
10/01/2020,1.613,1.6133,1.609,1.6105
10/01/2020,1.6105,1.6119,1.6093,1.6106
12/01/2020,1.6115,1.612,1.6084,1.6088
13/01/2020,1.6089,1.6097,1.6081,1.6089
13/01/2020,1.609,1.6109,1.6084,1.6095
13/01/2020,1.6096,1.6122,1.6095,1.6096
13/01/2020,1.6096,1.6131,1.6095,1.6116
13/01/2020,1.6116,1.6134,1.6113,1.6129
13/01/2020,1.6128,1.6169,1.6121,1.6165
14/01/2020,1.6164,1.6168,1.613,1.6148
14/01/2020,1.6149,1.616,1.6126,1.6131
14/01/2020,1.6131,1.6148,1.6097,1.6098
14/01/2020,1.6097,1.6126,1.6086,1.6121
14/01/2020,1.6121,1.6142,1.611,1.6118
14/01/2020,1.6119,1.6146,1.6116,1.6133
15/01/2020,1.6133,1.6145,1.6127,1.614
15/01/2020,1.614,1.6164,1.6132,1.6157
15/01/2020,1.6157,1.6198,1.6148,1.6192
15/01/2020,1.6193,1.6193,1.6135,1.6147
15/01/2020,1.6147,1.6161,1.6141,1.6143
15/01/2020,1.6148,1.6156,1.6125,1.614
16/01/2020,1.614,1.6157,1.6137,1.6143
16/01/2020,1.6142,1.6152,1.6115,1.6118
16/01/2020,1.6118,1.6129,1.6102,1.6108
16/01/2020,1.6108,1.6164,1.6108,1.6154
16/01/2020,1.6154,1.6161,1.6138,1.6146
16/01/2020,1.6136,1.6176,1.6131,1.6156
17/01/2020,1.6149,1.6159,1.6136,1.6145
17/01/2020,1.6144,1.6151,1.6102,1.6108
17/01/2020,1.6109,1.6127,1.6102,1.6115
17/01/2020,1.6114,1.6136,1.6108,1.6124
17/01/2020,1.6123,1.614,1.6123,1.6134
19/01/2020,1.6133,1.6135,1.6116,1.6124
20/01/2020,1.6124,1.6129,1.6116,1.6117
20/01/2020,1.6117,1.6144,1.6115,1.6139
20/01/2020,1.6139,1.6158,1.6137,1.6153
20/01/2020,1.6152,1.6162,1.613,1.6132
20/01/2020,1.6131,1.6144,1.613,1.6143
20/01/2020,1.6139,1.6173,1.6123,1.6166
21/01/2020,1.6166,1.6186,1.6157,1.6172
21/01/2020,1.6171,1.6199,1.616,1.6179
21/01/2020,1.6179,1.6198,1.6167,1.6182
21/01/2020,1.6183,1.6196,1.6172,1.6188
21/01/2020,1.6187,1.621,1.6183,1.6189
21/01/2020,1.6189,1.623,1.6184,1.6219
22/01/2020,1.622,1.622,1.6187,1.62
22/01/2020,1.62,1.6227,1.6196,1.6205
22/01/2020,1.6205,1.621,1.617,1.6193
22/01/2020,1.6193,1.6221,1.617,1.621
22/01/2020,1.6211,1.6214,1.6202,1.6208
22/01/2020,1.6205,1.6223,1.6127,1.6136
23/01/2020,1.6137,1.6161,1.6123,1.6155
23/01/2020,1.6155,1.6163,1.6122,1.6133
23/01/2020,1.6132,1.6162,1.6132,1.6146
23/01/2020,1.6147,1.6166,1.6108,1.6158
23/01/2020,1.6157,1.6162,1.6144,1.6145
23/01/2020,1.6144,1.6167,1.6133,1.6154
24/01/2020,1.6154,1.6159,1.6132,1.6139
24/01/2020,1.6138,1.615,1.6113,1.6139
24/01/2020,1.6138,1.6146,1.6106,1.6127
24/01/2020,1.6127,1.6168,1.6118,1.616
24/01/2020,1.616,1.6179,1.6147,1.6153
26/01/2020,1.6184,1.6214,1.617,1.6203
27/01/2020,1.6204,1.6217,1.6196,1.6205
27/01/2020,1.6206,1.6273,1.6206,1.6263
27/01/2020,1.6262,1.6296,1.626,1.6282
27/01/2020,1.6282,1.6314,1.6272,1.6295
27/01/2020,1.6294,1.6304,1.6287,1.6299
27/01/2020,1.6297,1.6331,1.6293,1.6319
28/01/2020,1.6318,1.6328,1.6292,1.6295
28/01/2020,1.6296,1.6356,1.6296,1.6327
28/01/2020,1.6328,1.6342,1.6285,1.6292
28/01/2020,1.6293,1.6317,1.6281,1.6314
28/01/2020,1.6313,1.6317,1.6295,1.6297
28/01/2020,1.6296,1.6314,1.6273,1.6288
29/01/2020,1.6287,1.629,1.625,1.6268
29/01/2020,1.6268,1.6297,1.6266,1.6292
29/01/2020,1.6291,1.631,1.6287,1.6298
29/01/2020,1.6297,1.6333,1.6289,1.6309
29/01/2020,1.6308,1.6319,1.6292,1.6303
29/01/2020,1.63,1.6347,1.6298,1.6327
30/01/2020,1.6328,1.6363,1.6325,1.6348
30/01/2020,1.6348,1.6386,1.6338,1.6368
30/01/2020,1.6368,1.6422,1.6359,1.6409
30/01/2020,1.6409,1.6469,1.6408,1.6458
30/01/2020,1.6457,1.6459,1.6408,1.6413
30/01/2020,1.6409,1.6446,1.6394,1.6425
31/01/2020,1.6424,1.643,1.6396,1.64
31/01/2020,1.64,1.6502,1.64,1.6487
31/01/2020,1.6486,1.6499,1.6469,1.6492
31/01/2020,1.6491,1.6566,1.6481,1.6547
31/01/2020,1.6548,1.6593,1.6544,1.6587
02/02/2020,1.6586,1.659,1.6528,1.6544
03/02/2020,1.6545,1.6581,1.6532,1.6536
03/02/2020,1.6536,1.6556,1.651,1.6532
03/02/2020,1.6531,1.6542,1.6504,1.6521
03/02/2020,1.652,1.6554,1.6469,1.6534
03/02/2020,1.6533,1.6544,1.6526,1.6527
03/02/2020,1.6525,1.656,1.6519,1.6523
04/02/2020,1.6525,1.6546,1.6441,1.6466
04/02/2020,1.6466,1.6483,1.6421,1.6479
04/02/2020,1.6478,1.6488,1.6422,1.6431
04/02/2020,1.6431,1.6432,1.6382,1.6385
04/02/2020,1.6385,1.6399,1.6382,1.639
04/02/2020,1.6388,1.6422,1.637,1.6371
05/02/2020,1.6371,1.639,1.6367,1.6384
05/02/2020,1.6384,1.6389,1.6275,1.6283
05/02/2020,1.6282,1.6323,1.6264,1.6265
05/02/2020,1.6266,1.6318,1.6261,1.631
05/02/2020,1.631,1.6312,1.63,1.6301
05/02/2020,1.6303,1.6306,1.6263,1.6285
06/02/2020,1.6285,1.6296,1.6257,1.6274
06/02/2020,1.6274,1.6324,1.6266,1.6314
06/02/2020,1.6314,1.6319,1.6273,1.6287
06/02/2020,1.6287,1.6317,1.628,1.6288
06/02/2020,1.6289,1.6324,1.6282,1.6311
06/02/2020,1.6319,1.6357,1.6299,1.6349
07/02/2020,1.6349,1.6364,1.6334,1.6345
07/02/2020,1.6346,1.6392,1.6328,1.639
07/02/2020,1.639,1.6424,1.638,1.6417
07/02/2020,1.6416,1.6448,1.6386,1.6389
07/02/2020,1.6389,1.6401,1.6383,1.6383
09/02/2020,1.6402,1.6423,1.6366,1.6371
10/02/2020,1.6371,1.6374,1.6331,1.6344
10/02/2020,1.6343,1.6369,1.633,1.6358
10/02/2020,1.6357,1.6382,1.6341,1.6358
10/02/2020,1.6357,1.6366,1.6337,1.6348
10/02/2020,1.6349,1.6354,1.6315,1.6317
10/02/2020,1.6317,1.6326,1.6273,1.6288
11/02/2020,1.6287,1.6296,1.625,1.625
11/02/2020,1.6249,1.6277,1.6236,1.6272
11/02/2020,1.6272,1.6284,1.6247,1.6248
