date,open,high,low,close
01/01/2020,1.45562,1.45562,1.4546,1.45562
01/01/2020,1.45582,1.45632,1.45497,1.45571
02/01/2020,1.45569,1.45687,1.45513,1.45531
02/01/2020,1.45533,1.45597,1.4537,1.45425
02/01/2020,1.45425,1.45571,1.45369,1.45471
02/01/2020,1.4547,1.45498,1.4509,1.45167
02/01/2020,1.45164,1.45189,1.44985,1.45083
02/01/2020,1.45033,1.45112,1.44989,1.45058
03/01/2020,1.45059,1.45216,1.4501,1.45103
03/01/2020,1.45104,1.45112,1.44546,1.44639
03/01/2020,1.44639,1.44771,1.44501,1.44694
03/01/2020,1.44693,1.4517,1.4462,1.45062
03/01/2020,1.45062,1.45157,1.44924,1.4505
05/01/2020,1.44998,1.45043,1.44853,1.44904
06/01/2020,1.44905,1.44975,1.44827,1.44849
06/01/2020,1.44848,1.45147,1.44786,1.45142
06/01/2020,1.45143,1.45381,1.45112,1.45242
06/01/2020,1.45241,1.45381,1.45004,1.45147
06/01/2020,1.45147,1.45173,1.45056,1.4517
06/01/2020,1.45146,1.45166,1.45017,1.45079
07/01/2020,1.45078,1.45136,1.45025,1.45036
07/01/2020,1.45035,1.45124,1.44917,1.45065
07/01/2020,1.45066,1.45259,1.4495,1.45106
07/01/2020,1.45104,1.45269,1.44917,1.44998
07/01/2020,1.44997,1.45036,1.44888,1.45026
07/01/2020,1.44963,1.45196,1.44824,1.4483
08/01/2020,1.44833,1.44905,1.44709,1.44779
08/01/2020,1.44778,1.44903,1.44628,1.44832
08/01/2020,1.44831,1.44875,1.44644,1.44714
08/01/2020,1.44715,1.44973,1.44674,1.44848
08/01/2020,1.44845,1.44879,1.44705,1.44785
08/01/2020,1.44777,1.44886,1.44754,1.44849
09/01/2020,1.44848,1.44971,1.44843,1.44959
09/01/2020,1.44958,1.45068,1.44863,1.44917
09/01/2020,1.44917,1.45187,1.44854,1.45127
09/01/2020,1.45126,1.4546,1.45089,1.45352
09/01/2020,1.45352,1.45407,1.44956,1.4498
09/01/2020,1.44969,1.45158,1.44954,1.45075
10/01/2020,1.45074,1.45127,1.45039,1.45094
10/01/2020,1.45093,1.45127,1.44973,1.45034
10/01/2020,1.45035,1.45086,1.44674,1.44722
10/01/2020,1.44724,1.45244,1.446,1.45112
10/01/2020,1.45111,1.45279,1.45067,1.45083
12/01/2020,1.45141,1.45265,1.45099,1.45196
13/01/2020,1.45194,1.45251,1.45149,1.45201
13/01/2020,1.452,1.45354,1.45142,1.45154
13/01/2020,1.45153,1.45255,1.45022,1.45027
13/01/2020,1.45027,1.45437,1.44966,1.45358
13/01/2020,1.4536,1.45477,1.45299,1.45367
13/01/2020,1.45354,1.45455,1.45339,1.45455
14/01/2020,1.45455,1.45469,1.45368,1.45459
14/01/2020,1.45458,1.45661,1.45426,1.45511
