date,open,high,low,close
01/01/2020,1.08255,1.08295,1.08255,1.08295
01/01/2020,1.08279,1.08649,1.08265,1.08612
02/01/2020,1.08614,1.08713,1.08596,1.08701
02/01/2020,1.08702,1.0878,1.08507,1.08618
02/01/2020,1.08619,1.08699,1.085,1.08638
02/01/2020,1.08636,1.08675,1.08365,1.0866
02/01/2020,1.08661,1.08661,1.08464,1.08513
02/01/2020,1.08502,1.0855,1.084,1.08405
03/01/2020,1.08406,1.08444,1.0828,1.08395
03/01/2020,1.08395,1.08494,1.08238,1.08445
03/01/2020,1.08445,1.08495,1.08304,1.08377
03/01/2020,1.08376,1.08525,1.08343,1.08461
03/01/2020,1.08462,1.08585,1.08445,1.08504
05/01/2020,1.08371,1.08477,1.08309,1.0841
06/01/2020,1.0841,1.08448,1.084,1.08418
06/01/2020,1.08419,1.08484,1.08329,1.08459
06/01/2020,1.08457,1.08597,1.08431,1.08566
06/01/2020,1.08566,1.08578,1.0833,1.08393
06/01/2020,1.08392,1.08459,1.08355,1.0837
06/01/2020,1.08371,1.08482,1.08357,1.0845
07/01/2020,1.0845,1.08494,1.0841,1.08419
07/01/2020,1.08418,1.08603,1.08333,1.08593
07/01/2020,1.08593,1.08604,1.08364,1.08375
07/01/2020,1.08376,1.08376,1.08085,1.08148
07/01/2020,1.08148,1.08258,1.08125,1.08178
07/01/2020,1.08137,1.08242,1.07886,1.08078
08/01/2020,1.08077,1.08283,1.08077,1.08176
08/01/2020,1.08178,1.08286,1.08074,1.08195
08/01/2020,1.08193,1.08238,1.07854,1.0788
08/01/2020,1.07881,1.08247,1.07823,1.0821
08/01/2020,1.08209,1.08224,1.08117,1.08138
08/01/2020,1.08126,1.0829,1.08092,1.08279
09/01/2020,1.0828,1.08298,1.08244,1.08279
09/01/2020,1.08279,1.08328,1.08127,1.08133
09/01/2020,1.08132,1.08227,1.07946,1.08032
09/01/2020,1.08031,1.08068,1.07961,1.08007
09/01/2020,1.08007,1.08129,1.07973,1.08082
09/01/2020,1.08059,1.08134,1.08011,1.08104
10/01/2020,1.08105,1.08126,1.0806,1.08075
10/01/2020,1.08075,1.08177,1.08054,1.08149
10/01/2020,1.0815,1.08295,1.08127,1.08262
10/01/2020,1.08261,1.08261,1.08102,1.08177
10/01/2020,1.08176,1.08228,1.08147,1.0817
12/01/2020,1.08093,1.08258,1.08041,1.08239
13/01/2020,1.08239,1.08294,1.08217,1.08282
13/01/2020,1.08282,1.08332,1.08128,1.08129
13/01/2020,1.08129,1.08182,1.08018,1.08053
13/01/2020,1.08051,1.08142,1.07973,1.08056
13/01/2020,1.08056,1.08128,1.08047,1.08094
13/01/2020,1.08097,1.08154,1.08069,1.08148
14/01/2020,1.08149,1.08176,1.08124,1.08154
14/01/2020,1.08152,1.08205,1.0785,1.07934
14/01/2020,1.07933,1.07951,1.07599,1.07764
14/01/2020,1.07765,1.0784,1.07641,1.07753
14/01/2020,1.07752,1.07757,1.07596,1.07643
14/01/2020,1.07584,1.07671,1.07584,1.07641
15/01/2020,1.07641,1.0772,1.07608,1.07693
15/01/2020,1.07692,1.07766,1.07496,1.07535
15/01/2020,1.07535,1.07667,1.07421,1.07456
15/01/2020,1.07456,1.07647,1.0745,1.07512
15/01/2020,1.07512,1.07551,1.07426,1.07479
15/01/2020,1.07494,1.07555,1.07457,1.07555
16/01/2020,1.07555,1.07583,1.07535,1.07537
16/01/2020,1.07535,1.07586,1.07324,1.07425
16/01/2020,1.07424,1.07556,1.07359,1.07464
16/01/2020,1.07462,1.07589,1.07343,1.07435
16/01/2020,1.07434,1.07474,1.07394,1.07467
16/01/2020,1.07432,1.07498,1.07423,1.07485
17/01/2020,1.07485,1.07515,1.07457,1.0748
17/01/2020,1.07479,1.07571,1.074,1.07441
17/01/2020,1.07445,1.07551,1.07347,1.07534
17/01/2020,1.07537,1.07539,1.0735,1.0736
17/01/2020,1.07359,1.07409,1.07311,1.07335
19/01/2020,1.07336,1.07419,1.07312,1.074
20/01/2020,1.07401,1.07462,1.07385,1.0746
20/01/2020,1.0746,1.07501,1.07349,1.07354
20/01/2020,1.07353,1.07446,1.07345,1.07382
20/01/2020,1.07381,1.07459,1.07358,1.07408
20/01/2020,1.07408,1.0745,1.07366,1.07422
20/01/2020,1.07431,1.07458,1.0733,1.07337
21/01/2020,1.07337,1.07418,1.07325,1.07382
21/01/2020,1.07384,1.07435,1.07307,1.07375
21/01/2020,1.07377,1.0751,1.07367,1.07459
21/01/2020,1.07461,1.07513,1.07342,1.07398
