date,open,high,low,close
01/01/2020,121.868,121.875,121.868,121.875
01/01/2020,121.897,122.022,121.652,121.947
02/01/2020,121.945,121.992,121.793,121.846
02/01/2020,121.846,122.016,121.828,121.938
02/01/2020,121.939,121.964,121.631,121.702
02/01/2020,121.703,121.725,120.983,121.229
02/01/2020,121.231,121.296,121.142,121.292
02/01/2020,121.287,121.377,120.88,120.901
03/01/2020,120.904,120.974,120.67,120.734
03/01/2020,120.735,120.798,120.309,120.389
03/01/2020,120.389,120.561,120.167,120.469
03/01/2020,120.467,120.745,120.434,120.623
03/01/2020,120.623,120.68,120.466,120.622
05/01/2020,120.468,120.745,120.28,120.5
06/01/2020,120.501,120.709,120.49,120.618
06/01/2020,120.62,120.874,120.477,120.87
06/01/2020,120.87,121.133,120.863,121.068
06/01/2020,121.066,121.324,120.895,121.296
06/01/2020,121.294,121.398,121.268,121.343
06/01/2020,121.289,121.432,121.268,121.373
07/01/2020,121.372,121.446,121.26,121.26
07/01/2020,121.261,121.375,121.004,121.313
07/01/2020,121.312,121.321,120.964,120.978
07/01/2020,120.975,121.051,120.783,120.946
07/01/2020,120.946,121.006,120.789,120.949
07/01/2020,120.894,120.98,120.17,120.518
08/01/2020,120.518,121.032,120.494,120.752
08/01/2020,120.756,120.968,120.663,120.791
08/01/2020,120.792,121.036,120.714,120.841
08/01/2020,120.846,121.33,120.754,121.294
08/01/2020,121.293,121.38,121.133,121.171
08/01/2020,121.156,121.457,121.127,121.449
09/01/2020,121.448,121.505,121.331,121.5
09/01/2020,121.503,121.592,121.393,121.468
09/01/2020,121.47,121.687,121.438,121.638
09/01/2020,121.638,121.69,121.499,121.615
09/01/2020,121.614,121.653,121.509,121.643
09/01/2020,121.634,121.729,121.565,121.644
10/01/2020,121.648,121.771,121.605,121.72
10/01/2020,121.724,121.761,121.539,121.668
10/01/2020,121.67,121.774,121.522,121.683
10/01/2020,121.683,121.832,121.54,121.773
10/01/2020,121.772,121.836,121.712,121.714
12/01/2020,121.598,121.907,121.584,121.893
13/01/2020,121.892,122.051,121.871,122.023
13/01/2020,122.021,122.314,121.925,122.098
13/01/2020,122.099,122.298,122.064,122.137
13/01/2020,122.136,122.493,122.12,122.446
13/01/2020,122.448,122.486,122.394,122.413
13/01/2020,122.41,122.764,122.393,122.581
14/01/2020,122.583,122.627,122.512,122.574
14/01/2020,122.574,122.728,122.387,122.469
14/01/2020,122.468,122.544,122.188,122.221
14/01/2020,122.221,122.571,122.198,122.547
14/01/2020,122.545,122.578,122.312,122.386
14/01/2020,122.368,122.409,122.197,122.37
15/01/2020,122.37,122.394,122.285,122.382
15/01/2020,122.383,122.426,122.211,122.267
15/01/2020,122.266,122.543,122.223,122.452
15/01/2020,122.452,122.721,122.434,122.608
15/01/2020,122.607,122.628,122.481,122.531
15/01/2020,122.52,122.725,122.481,122.61
16/01/2020,122.611,122.636,122.574,122.587
16/01/2020,122.587,122.855,122.531,122.688
16/01/2020,122.691,122.872,122.651,122.68
16/01/2020,122.68,122.832,122.507,122.647
16/01/2020,122.646,122.692,122.596,122.678
16/01/2020,122.67,122.841,122.657,122.707
17/01/2020,122.707,122.789,122.655,122.721
17/01/2020,122.721,122.828,122.561,122.602
17/01/2020,122.601,122.612,122.299,122.315
17/01/2020,122.317,122.368,122.124,122.16
17/01/2020,122.16,122.209,122.124,122.148
19/01/2020,122.148,122.315,122.12,122.263
20/01/2020,122.261,122.295,122.23,122.276
20/01/2020,122.277,122.316,122.09,122.169
20/01/2020,122.171,122.178,122.085,122.122
20/01/2020,122.121,122.15,122.034,122.119
20/01/2020,122.119,122.266,122.103,122.247
20/01/2020,122.232,122.269,121.896,121.935
21/01/2020,121.936,122.096,121.906,121.979
21/01/2020,121.981,122.067,121.868,121.944
21/01/2020,121.948,122.35,121.941,122.319
21/01/2020,122.319,122.371,121.894,121.921
21/01/2020,121.92,121.937,121.716,121.761
21/01/2020,121.757,121.88,121.719,121.792
22/01/2020,121.791,121.986,121.783,121.975
22/01/2020,121.974,122.014,121.789,121.955
22/01/2020,121.959,122.008,121.813,121.935
22/01/2020,121.933,121.994,121.614,121.797
22/01/2020,121.796,121.894,121.786,121.858
22/01/2020,121.836,121.87,121.513,121.588
23/01/2020,121.587,121.635,121.428,121.449
23/01/2020,121.452,121.574,121.343,121.407
23/01/2020,121.407,121.743,121.381,121.428
23/01/2020,121.428,121.488,120.634,120.848
23/01/2020,120.846,121.092,120.846,121.074
23/01/2020,121.016,121.136,120.972,121.008
24/01/2020,121.007,121.056,120.951,121.036
24/01/2020,121.035,121.266,120.893,120.919
24/01/2020,120.918,120.98,120.834,120.913
24/01/2020,120.915,120.923,120.416,120.548
24/01/2020,120.547,120.555,120.418,120.478
26/01/2020,120.163,120.293,119.933,120.242
27/01/2020,120.243,120.34,120.085,120.284
27/01/2020,120.286,120.4,119.92,120.011
27/01/2020,120.009,120.287,119.969,120.226
27/01/2020,120.225,120.244,119.906,120.074
27/01/2020,120.074,120.126,119.96,120
27/01/2020,119.984,120.175,119.913,120.147
28/01/2020,120.147,120.188,120.057,120.169
28/01/2020,120.17,120.207,119.809,119.89
28/01/2020,119.891,120.082,119.816,119.991
28/01/2020,119.99,120.216,119.844,120.142
28/01/2020,120.141,120.334,120.131,120.294
28/01/2020,120.308,120.423,120.219,120.301
29/01/2020,120.301,120.327,120.175,120.206
29/01/2020,120.204,120.226,119.933,119.954
29/01/2020,119.954,120.069,119.937,119.981
29/01/2020,119.981,120.133,119.889,120.121
29/01/2020,120.121,120.237,119.98,120.032
29/01/2020,119.99,120.12,119.94,119.965
30/01/2020,119.963,120.001,119.886,119.959
30/01/2020,119.958,120.082,119.797,119.997
30/01/2020,119.999,120.117,119.894,120.067
30/01/2020,120.066,120.115,119.777,119.876
30/01/2020,119.875,120.247,119.846,120.167
30/01/2020,120.194,120.406,120.076,120.276
31/01/2020,120.277,120.383,120.199,120.217
31/01/2020,120.215,120.279,120.127,120.175
31/01/2020,120.177,120.387,120.083,120.335
31/01/2020,120.337,120.374,120.027,120.166
31/01/2020,120.163,120.234,120.029,120.216
02/02/2020,120.1,120.332,120.033,120.318
03/02/2020,120.32,120.324,120.2,120.293
03/02/2020,120.293,120.379,120.063,120.145
03/02/2020,120.144,120.156,119.962,120.081
03/02/2020,120.077,120.241,119.92,120.168
03/02/2020,120.169,120.266,120.135,120.197
03/02/2020,120.199,120.247,120.064,120.226
04/02/2020,120.226,120.39,120.091,120.333
04/02/2020,120.332,120.679,120.263,120.603
04/02/2020,120.603,120.632,120.463,120.588
04/02/2020,120.586,120.889,120.536,120.815
04/02/2020,120.813,120.982,120.81,120.963
04/02/2020,120.905,120.95,120.765,120.876
05/02/2020,120.876,120.886,120.722,120.789
05/02/2020,120.787,121.15,120.657,120.951
05/02/2020,120.952,120.993,120.739,120.888
05/02/2020,120.889,120.894,120.666,120.751
05/02/2020,120.751,120.814,120.699,120.796
05/02/2020,120.772,120.883,120.706,120.795
06/02/2020,120.796,120.942,120.793,120.897
06/02/2020,120.892,121.02,120.773,120.823
06/02/2020,120.823,120.946,120.785,120.889
06/02/2020,120.887,120.905,120.568,120.693
06/02/2020,120.692,120.788,120.669,120.785
06/02/2020,120.793,120.801,120.589,120.724
07/02/2020,120.727,120.759,120.657,120.669
07/02/2020,120.669,120.762,120.259,120.267
07/02/2020,120.266,120.552,120.126,120.297
07/02/2020,120.299,120.388,120.124,120.165
07/02/2020,120.165,120.239,120.091,120.152
09/02/2020,120.013,120.252,119.973,120.225
10/02/2020,120.229,120.339,120.209,120.272
10/02/2020,120.27,120.336,120.129,120.157
10/02/2020,120.158,120.261,119.952,119.982
10/02/2020,119.98,120.017,119.679,119.68
10/02/2020,119.68,119.784,119.68,119.779
10/02/2020,119.759,119.903,119.715,119.887
11/02/2020,119.89,119.966,119.852,119.922
11/02/2020,119.921,120.007,119.815,119.903
11/02/2020,119.903,119.985,119.595,119.701
11/02/2020,119.7,120.025,119.688,119.939
11/02/2020,119.938,119.939,119.829,119.843
11/02/2020,119.845,119.966,119.82,119.958
12/02/2020,119.961,119.991,119.836,119.863
12/02/2020,119.863,120.304,119.765,120.117
12/02/2020,120.115,120.169,119.936,119.937
12/02/2020,119.936,120.035,119.665,119.708
12/02/2020,119.708,119.73,119.614,119.716
12/02/2020,119.696,119.719,119.401,119.546
13/02/2020,119.546,119.577,119.382,119.4
13/02/2020,119.399,119.551,119.342,119.426
13/02/2020,119.427,119.44,119.054,119.133
13/02/2020,119.135,119.27,118.874,119.016
13/02/2020,119.015,119.095,118.989,119.049
13/02/2020,119.045,119.082,118.866,118.995
14/02/2020,118.995,119.1,118.921,118.988
14/02/2020,118.989,119.136,118.906,119.084
14/02/2020,119.085,119.217,118.956,119.167
14/02/2020,119.165,119.229,118.89,118.99
14/02/2020,118.988,119.025,118.879,118.901
16/02/2020,119.004,119.071,118.905,119.023
17/02/2020,119.024,119.077,119.004,119.062
17/02/2020,119.062,119.175,119.004,119.147
17/02/2020,119.146,119.194,119.011,119.06
17/02/2020,119.059,119.16,119.04,119.072
17/02/2020,119.071,119.124,119.02,119.063
17/02/2020,119.039,119.061,118.78,118.857
18/02/2020,118.856,118.892,118.729,118.877
18/02/2020,118.878,118.967,118.77,118.795
18/02/2020,118.795,118.914,118.499,118.584
18/02/2020,118.586,118.882,118.46,118.705
18/02/2020,118.704,118.719,118.555,118.563
18/02/2020,118.562,118.816,118.558,118.787
19/02/2020,118.79,118.943,118.763,118.807
19/02/2020,118.805,119.121,118.732,119.09
19/02/2020,119.089,119.583,119.067,119.435
19/02/2020,119.436,120.129,119.412,120.064
19/02/2020,120.063,120.496,120.039,120.332
19/02/2020,120.333,120.354,120.093,120.155
20/02/2020,120.154,120.409,120.114,120.275
20/02/2020,120.276,120.974,120.258,120.937
20/02/2020,120.937,121.094,120.748,121.017
20/02/2020,121.019,121.394,120.516,120.913
20/02/2020,120.913,120.997,120.879,120.898
20/02/2020,120.898,121.03,120.781,120.893
21/02/2020,120.893,120.924,120.766,120.839
21/02/2020,120.84,120.901,120.358,120.753
21/02/2020,120.754,121.032,120.665,120.899
21/02/2020,120.901,121.352,120.851,121.242
21/02/2020,121.243,121.287,120.947,121.027
23/02/2020,120.56,121.072,120.557,120.832
24/02/2020,120.832,120.84,120.606,120.669
24/02/2020,120.669,120.738,120.345,120.395
24/02/2020,120.396,120.591,120.306,120.373
24/02/2020,120.374,120.378,119.901,119.983
24/02/2020,119.977,120.244,119.931,120.175
24/02/2020,120.103,120.535,120.052,120.467
25/02/2020,120.465,120.509,120.231,120.236
25/02/2020,120.237,120.366,119.764,119.771
