date,open,high,low,close
01/01/2020,1.6667,1.6667,1.6655,1.6667
01/01/2020,1.6672,1.6679,1.6645,1.6669
02/01/2020,1.6669,1.6685,1.6661,1.6666
02/01/2020,1.6666,1.6699,1.6665,1.6698
02/01/2020,1.6697,1.6736,1.669,1.6706
02/01/2020,1.6705,1.6709,1.6655,1.6699
02/01/2020,1.6699,1.6704,1.6656,1.6664
02/01/2020,1.6667,1.6724,1.665,1.6718
03/01/2020,1.6717,1.6755,1.6708,1.6743
03/01/2020,1.6744,1.6756,1.6716,1.6752
03/01/2020,1.6751,1.6755,1.6705,1.6721
03/01/2020,1.672,1.6754,1.671,1.6744
03/01/2020,1.6745,1.6754,1.6734,1.6737
05/01/2020,1.6763,1.6781,1.6748,1.6768
06/01/2020,1.6769,1.679,1.6757,1.6784
06/01/2020,1.6784,1.6792,1.6754,1.6776
06/01/2020,1.6777,1.679,1.6761,1.6781
06/01/2020,1.6781,1.6815,1.6769,1.678
06/01/2020,1.6781,1.6796,1.6775,1.6781
06/01/2020,1.6776,1.6808,1.6771,1.6775
07/01/2020,1.6776,1.6793,1.6757,1.679
07/01/2020,1.6789,1.6822,1.677,1.6814
07/01/2020,1.6813,1.6837,1.68,1.6818
07/01/2020,1.6818,1.6831,1.6783,1.6786
07/01/2020,1.6787,1.68,1.6774,1.6787
07/01/2020,1.6786,1.6867,1.6776,1.6817
08/01/2020,1.6818,1.6819,1.6773,1.6786
08/01/2020,1.6785,1.6787,1.6703,1.6726
08/01/2020,1.6726,1.6754,1.6725,1.6746
08/01/2020,1.6747,1.6776,1.6706,1.6713
08/01/2020,1.6716,1.672,1.6692,1.67
08/01/2020,1.6701,1.6725,1.6691,1.6712
09/01/2020,1.6713,1.6727,1.6713,1.672
09/01/2020,1.672,1.6778,1.6704,1.6754
09/01/2020,1.6754,1.6806,1.6748,1.6799
09/01/2020,1.6798,1.6819,1.679,1.6802
09/01/2020,1.6802,1.681,1.6789,1.679
09/01/2020,1.6787,1.6822,1.6778,1.6808
10/01/2020,1.6809,1.681,1.6772,1.6775
10/01/2020,1.6775,1.678,1.6756,1.6768
10/01/2020,1.6769,1.6785,1.6744,1.6773
10/01/2020,1.6774,1.6776,1.6734,1.6754
10/01/2020,1.6754,1.6764,1.6734,1.6734
12/01/2020,1.6743,1.6766,1.6734,1.6744
13/01/2020,1.6745,1.6754,1.6725,1.6739
13/01/2020,1.6739,1.6781,1.6732,1.6756
13/01/2020,1.6756,1.6787,1.6753,1.6754
13/01/2020,1.6753,1.6808,1.675,1.6787
13/01/2020,1.6788,1.6798,1.6777,1.6792
13/01/2020,1.6791,1.6827,1.6787,1.6818
14/01/2020,1.6817,1.6818,1.6797,1.6812
14/01/2020,1.6813,1.6819,1.6793,1.6807
14/01/2020,1.6807,1.6836,1.6794,1.6798
14/01/2020,1.6798,1.6835,1.6789,1.6822
14/01/2020,1.6823,1.6838,1.6811,1.6821
14/01/2020,1.6821,1.685,1.6815,1.6838
