date,open,high,low,close
01/01/2020,1.88663,1.88787,1.88648,1.88648
01/01/2020,1.88771,1.89082,1.88726,1.88947
02/01/2020,1.88946,1.88948,1.88366,1.88719
02/01/2020,1.88717,1.89014,1.88658,1.88834
02/01/2020,1.88832,1.891,1.88223,1.88322
02/01/2020,1.88321,1.88614,1.87891,1.8806
02/01/2020,1.88061,1.8823,1.87791,1.87855
02/01/2020,1.87836,1.88503,1.87777,1.8839
03/01/2020,1.88401,1.88599,1.88269,1.88506
03/01/2020,1.88506,1.88603,1.88132,1.88374
03/01/2020,1.88373,1.88644,1.88129,1.88212
03/01/2020,1.8821,1.88383,1.87801,1.87961
03/01/2020,1.87961,1.88237,1.87895,1.88133
05/01/2020,1.88454,1.88583,1.88049,1.88451
06/01/2020,1.88451,1.88574,1.88326,1.88564
06/01/2020,1.88564,1.89071,1.88027,1.88968
06/01/2020,1.88966,1.89521,1.88887,1.89218
06/01/2020,1.89218,1.90005,1.89129,1.8974
06/01/2020,1.8974,1.89857,1.89647,1.89754
06/01/2020,1.89753,1.90168,1.89634,1.90006
07/01/2020,1.90006,1.90307,1.89841,1.90284
07/01/2020,1.90286,1.9139,1.90145,1.91108
07/01/2020,1.91108,1.91555,1.90517,1.91039
07/01/2020,1.91041,1.914,1.90686,1.91125
07/01/2020,1.91122,1.9122,1.90944,1.90992
07/01/2020,1.91088,1.91451,1.90752,1.91049
08/01/2020,1.91048,1.91171,1.90826,1.90946
08/01/2020,1.90942,1.91537,1.90716,1.9091
08/01/2020,1.90897,1.91268,1.90567,1.91068
08/01/2020,1.91069,1.91566,1.90535,1.90585
08/01/2020,1.90586,1.90802,1.90538,1.90728
08/01/2020,1.90689,1.90911,1.90524,1.90732
09/01/2020,1.90732,1.90868,1.90601,1.90777
09/01/2020,1.90771,1.90926,1.89849,1.89967
09/01/2020,1.89954,1.90335,1.89703,1.90137
09/01/2020,1.90137,1.9073,1.90087,1.90615
09/01/2020,1.90615,1.90648,1.90497,1.90531
09/01/2020,1.90508,1.90733,1.90194,1.90563
10/01/2020,1.90564,1.90631,1.90072,1.90177
10/01/2020,1.90182,1.90341,1.8981,1.90033
10/01/2020,1.90033,1.90291,1.898,1.89973
10/01/2020,1.89977,1.90026,1.88949,1.8914
10/01/2020,1.89135,1.8936,1.88943,1.89135
12/01/2020,1.88932,1.89069,1.88571,1.88631
13/01/2020,1.88637,1.88681,1.88306,1.88409
13/01/2020,1.88409,1.8841,1.87704,1.87857
13/01/2020,1.87858,1.88381,1.87768,1.87971
13/01/2020,1.87971,1.88462,1.87745,1.88009
13/01/2020,1.88008,1.88297,1.87901,1.88142
13/01/2020,1.88142,1.88643,1.88042,1.88569
14/01/2020,1.88564,1.88639,1.88177,1.88335
14/01/2020,1.88344,1.88374,1.87667,1.87987
14/01/2020,1.87987,1.88548,1.8792,1.88218
14/01/2020,1.88217,1.88672,1.88061,1.88593
14/01/2020,1.88595,1.88841,1.88526,1.886
14/01/2020,1.88624,1.88954,1.88528,1.88781
15/01/2020,1.88782,1.8898,1.88692,1.88924
15/01/2020,1.88924,1.8908,1.88489,1.88618
15/01/2020,1.88618,1.89092,1.88504,1.8893
15/01/2020,1.88932,1.89089,1.88408,1.88613
15/01/2020,1.88616,1.88793,1.88591,1.8878
15/01/2020,1.88827,1.89118,1.88551,1.8876
