date,open,high,low,close
01/01/2020,1.71968,1.71968,1.71966,1.71968
01/01/2020,1.72032,1.72097,1.71886,1.7197
02/01/2020,1.71971,1.71991,1.71454,1.71625
02/01/2020,1.71629,1.71828,1.7136,1.71528
02/01/2020,1.71528,1.71723,1.71095,1.71195
02/01/2020,1.71191,1.71338,1.70516,1.70697
02/01/2020,1.7069,1.70792,1.70487,1.70598
02/01/2020,1.70554,1.70829,1.70449,1.70556
03/01/2020,1.70556,1.70735,1.70446,1.70502
03/01/2020,1.70502,1.70507,1.69637,1.69668
03/01/2020,1.69667,1.70116,1.69653,1.69822
03/01/2020,1.69817,1.70061,1.69663,1.69938
03/01/2020,1.69938,1.70056,1.69752,1.70041
05/01/2020,1.69928,1.69929,1.69646,1.69781
06/01/2020,1.69781,1.69881,1.69731,1.69745
06/01/2020,1.69749,1.7049,1.69621,1.70425
06/01/2020,1.70437,1.70872,1.70372,1.70438
06/01/2020,1.70439,1.70861,1.70426,1.70611
06/01/2020,1.70612,1.7076,1.70592,1.7073
06/01/2020,1.70726,1.70837,1.70637,1.70721
07/01/2020,1.70719,1.70828,1.70576,1.70601
07/01/2020,1.70608,1.71263,1.70467,1.70858
07/01/2020,1.70859,1.70899,1.70176,1.70625
07/01/2020,1.70624,1.7096,1.70486,1.70831
07/01/2020,1.70829,1.7089,1.70547,1.70629
07/01/2020,1.70657,1.70657,1.7028,1.7029
08/01/2020,1.70305,1.7059,1.70297,1.70337
08/01/2020,1.70336,1.71207,1.70318,1.70605
08/01/2020,1.70599,1.70909,1.70287,1.70765
08/01/2020,1.70766,1.70982,1.70545,1.70735
08/01/2020,1.70736,1.7078,1.70623,1.70735
08/01/2020,1.70735,1.70899,1.70699,1.70835
09/01/2020,1.70836,1.71051,1.7077,1.71009
09/01/2020,1.71006,1.71097,1.69921,1.70089
09/01/2020,1.70085,1.70679,1.69845,1.70424
09/01/2020,1.70423,1.71125,1.70393,1.7096
09/01/2020,1.70961,1.71035,1.70549,1.70593
09/01/2020,1.70567,1.70789,1.70546,1.70671
10/01/2020,1.7067,1.7089,1.70608,1.70863
10/01/2020,1.70865,1.71061,1.70453,1.708
10/01/2020,1.70801,1.70974,1.70368,1.7045
10/01/2020,1.7045,1.70605,1.70147,1.70412
10/01/2020,1.70408,1.70597,1.70297,1.70302
12/01/2020,1.7016,1.70438,1.70153,1.70232
13/01/2020,1.7023,1.70249,1.69948,1.70022
13/01/2020,1.70027,1.70027,1.69338,1.69413
13/01/2020,1.69414,1.69697,1.69186,1.69361
13/01/2020,1.69365,1.69675,1.6925,1.69569
13/01/2020,1.69568,1.69793,1.6951,1.69567
13/01/2020,1.69572,1.69719,1.69518,1.6967
14/01/2020,1.69671,1.69803,1.69602,1.6964
14/01/2020,1.69651,1.69701,1.69315,1.69571
14/01/2020,1.69572,1.70127,1.69503,1.69855
14/01/2020,1.6985,1.70078,1.69719,1.69942
14/01/2020,1.69943,1.70165,1.69925,1.70027
14/01/2020,1.70008,1.70193,1.69921,1.70186
15/01/2020,1.70186,1.7019,1.70084,1.70174
15/01/2020,1.70169,1.70318,1.69811,1.69878
15/01/2020,1.69876,1.70326,1.69801,1.70035
15/01/2020,1.70034,1.70241,1.69829,1.6992
15/01/2020,1.6992,1.70061,1.69842,1.70048
15/01/2020,1.70037,1.7031,1.70019,1.7013
16/01/2020,1.70132,1.70259,1.70085,1.70223
16/01/2020,1.70223,1.70321,1.6993,1.70141
16/01/2020,1.70142,1.7045,1.70091,1.70195
16/01/2020,1.70195,1.7062,1.70122,1.70511
16/01/2020,1.70508,1.70592,1.70456,1.70547
16/01/2020,1.70484,1.70585,1.70416,1.705
17/01/2020,1.70495,1.70634,1.70477,1.70615
17/01/2020,1.70623,1.71071,1.70147,1.70284
17/01/2020,1.70278,1.70516,1.69999,1.70236
17/01/2020,1.7024,1.70354,1.70047,1.70179
17/01/2020,1.70176,1.70198,1.69846,1.6995
