date,open,high,low,close
01/01/2020,1.27968,1.27997,1.27968,1.27969
01/01/2020,1.27986,1.28428,1.27887,1.28308
02/01/2020,1.2831,1.28347,1.27909,1.28195
02/01/2020,1.28198,1.28382,1.27993,1.28116
02/01/2020,1.28116,1.28303,1.27804,1.27851
02/01/2020,1.27851,1.27924,1.27486,1.27773
02/01/2020,1.27773,1.27806,1.27532,1.27573
02/01/2020,1.27579,1.27789,1.27431,1.27457
03/01/2020,1.27457,1.27484,1.27193,1.27374
03/01/2020,1.27374,1.27545,1.27,1.2721
03/01/2020,1.27215,1.27504,1.27059,1.27197
03/01/2020,1.27193,1.2733,1.26842,1.27059
03/01/2020,1.27058,1.27215,1.26938,1.27149
05/01/2020,1.27014,1.27111,1.26796,1.27023
06/01/2020,1.27021,1.27114,1.26984,1.27052
06/01/2020,1.27054,1.27437,1.26899,1.27351
06/01/2020,1.27351,1.27635,1.27305,1.27406
06/01/2020,1.27403,1.27636,1.27307,1.27409
06/01/2020,1.27409,1.27555,1.27408,1.27454
06/01/2020,1.27447,1.27685,1.27402,1.27617
07/01/2020,1.27618,1.27707,1.275,1.2753
07/01/2020,1.27529,1.28014,1.27407,1.27899
07/01/2020,1.27898,1.27902,1.27218,1.27428
07/01/2020,1.27432,1.27622,1.27259,1.27417
07/01/2020,1.27417,1.2754,1.27213,1.27285
07/01/2020,1.27306,1.2733,1.267,1.27082
08/01/2020,1.27081,1.27494,1.27081,1.2727
08/01/2020,1.27271,1.27848,1.27259,1.27444
08/01/2020,1.27445,1.27644,1.27045,1.27301
08/01/2020,1.27301,1.27658,1.27008,1.27548
08/01/2020,1.27547,1.27603,1.27423,1.2753
08/01/2020,1.275,1.27707,1.27467,1.27704
09/01/2020,1.27704,1.27765,1.27636,1.27739
09/01/2020,1.27736,1.27849,1.26821,1.26914
09/01/2020,1.26908,1.2709,1.26691,1.26863
09/01/2020,1.26863,1.27123,1.26751,1.27037
09/01/2020,1.27036,1.27224,1.26949,1.27173
09/01/2020,1.27142,1.27242,1.27073,1.27175
10/01/2020,1.27178,1.27291,1.27133,1.2727
10/01/2020,1.27272,1.27512,1.27061,1.27362
10/01/2020,1.27373,1.2766,1.27231,1.27506
10/01/2020,1.27505,1.27553,1.26942,1.27038
10/01/2020,1.27037,1.27096,1.26957,1.26968
12/01/2020,1.26806,1.26981,1.26752,1.26901
13/01/2020,1.26902,1.26907,1.26717,1.26793
13/01/2020,1.26793,1.26805,1.26145,1.26194
13/01/2020,1.26196,1.26422,1.25982,1.2618
13/01/2020,1.26178,1.26261,1.2586,1.26054
13/01/2020,1.26054,1.26212,1.26005,1.26092
13/01/2020,1.26105,1.26202,1.26013,1.2616
14/01/2020,1.26158,1.26249,1.26112,1.26132
14/01/2020,1.26139,1.26176,1.2559,1.2578
14/01/2020,1.25781,1.26031,1.25506,1.25999
14/01/2020,1.25999,1.2614,1.2585,1.26052
14/01/2020,1.26054,1.26114,1.25908,1.25935
14/01/2020,1.25906,1.26,1.25869,1.25959
15/01/2020,1.25957,1.26077,1.25908,1.26055
15/01/2020,1.26055,1.26152,1.25433,1.25539
15/01/2020,1.25536,1.25729,1.25293,1.25377
15/01/2020,1.25377,1.25769,1.25365,1.25578
15/01/2020,1.25578,1.25699,1.25482,1.25684
15/01/2020,1.25696,1.25854,1.25642,1.25785
16/01/2020,1.25785,1.25893,1.25757,1.25847
16/01/2020,1.25847,1.25878,1.25476,1.25724
16/01/2020,1.25726,1.25876,1.25556,1.25755
16/01/2020,1.25754,1.2626,1.25694,1.26148
16/01/2020,1.26147,1.26206,1.26022,1.26206
16/01/2020,1.26116,1.2624,1.26055,1.26116
17/01/2020,1.26118,1.26262,1.26105,1.2618
17/01/2020,1.2618,1.26619,1.25871,1.26056
17/01/2020,1.26051,1.2642,1.25947,1.26377
17/01/2020,1.26381,1.26388,1.2603,1.26069
17/01/2020,1.26064,1.26095,1.25852,1.25858
19/01/2020,1.25782,1.25942,1.25771,1.25837
20/01/2020,1.25835,1.25929,1.25796,1.2582
20/01/2020,1.25823,1.25885,1.25553,1.25695
20/01/2020,1.25696,1.26029,1.25647,1.25958
20/01/2020,1.25959,1.26037,1.25801,1.25979
20/01/2020,1.2598,1.25981,1.25843,1.25925
20/01/2020,1.25943,1.25977,1.25786,1.25824
21/01/2020,1.25825,1.26023,1.25762,1.25938
21/01/2020,1.25941,1.26297,1.25729,1.26247
21/01/2020,1.26247,1.2645,1.26058,1.26411
21/01/2020,1.26409,1.26473,1.26221,1.26318
21/01/2020,1.26317,1.26424,1.26288,1.26381
21/01/2020,1.26338,1.26544,1.26308,1.26498
22/01/2020,1.26499,1.26654,1.26419,1.26628
22/01/2020,1.26628,1.26998,1.26551,1.2687
22/01/2020,1.26871,1.27497,1.26742,1.2733
22/01/2020,1.2733,1.27568,1.2722,1.27231
22/01/2020,1.2723,1.27231,1.271,1.27167
22/01/2020,1.27187,1.27304,1.27104,1.27142
23/01/2020,1.27142,1.27195,1.27019,1.27092
23/01/2020,1.27091,1.27301,1.27022,1.27246
23/01/2020,1.27245,1.27355,1.26963,1.26979
23/01/2020,1.26979,1.27195,1.2681,1.2706
23/01/2020,1.27059,1.27222,1.26998,1.2719
23/01/2020,1.27134,1.27242,1.27056,1.27177
24/01/2020,1.27177,1.27308,1.27177,1.27302
24/01/2020,1.273,1.27758,1.27031,1.27109
24/01/2020,1.27108,1.27268,1.26968,1.27029
24/01/2020,1.27029,1.27196,1.26749,1.26959
24/01/2020,1.26959,1.27034,1.26867,1.26911
26/01/2020,1.26829,1.26899,1.26646,1.26816
27/01/2020,1.26811,1.26833,1.26673,1.26752
27/01/2020,1.26752,1.27241,1.26741,1.27047
27/01/2020,1.27046,1.27104,1.26535,1.26548
27/01/2020,1.26547,1.26727,1.26454,1.26712
27/01/2020,1.26714,1.26729,1.26485,1.26593
27/01/2020,1.26542,1.26776,1.26456,1.26757
28/01/2020,1.26759,1.26761,1.26651,1.26715
28/01/2020,1.26717,1.26717,1.25944,1.26231
28/01/2020,1.2623,1.26675,1.26027,1.2653
28/01/2020,1.26529,1.26604,1.26299,1.26543
28/01/2020,1.26543,1.2676,1.26464,1.26754
28/01/2020,1.26688,1.26813,1.26654,1.26784
29/01/2020,1.26784,1.26864,1.2675,1.26848
29/01/2020,1.26849,1.26877,1.26574,1.2686
29/01/2020,1.2686,1.26942,1.26762,1.26799
29/01/2020,1.26798,1.26975,1.26639,1.26831
29/01/2020,1.26831,1.26896,1.26663,1.26712
29/01/2020,1.26687,1.26749,1.26486,1.26669
30/01/2020,1.26668,1.26687,1.26471,1.26523
30/01/2020,1.2653,1.26565,1.25955,1.26342
30/01/2020,1.26344,1.2712,1.26316,1.26991
30/01/2020,1.26988,1.27087,1.2675,1.26803
30/01/2020,1.26802,1.27003,1.2672,1.26916
30/01/2020,1.2693,1.27139,1.26802,1.27014
31/01/2020,1.27018,1.27151,1.27004,1.27151
31/01/2020,1.27151,1.27574,1.27116,1.2727
31/01/2020,1.27268,1.27299,1.26959,1.2705
31/01/2020,1.27051,1.27275,1.26872,1.27197
31/01/2020,1.27195,1.27264,1.27056,1.27223
02/02/2020,1.26929,1.27144,1.26911,1.27081
03/02/2020,1.27081,1.27104,1.26778,1.26794
03/02/2020,1.26794,1.26986,1.26114,1.26118
03/02/2020,1.26118,1.26154,1.25797,1.25905
03/02/2020,1.25905,1.25974,1.25439,1.25633
03/02/2020,1.25633,1.25667,1.25453,1.25577
03/02/2020,1.25458,1.25614,1.25382,1.25594
04/02/2020,1.25594,1.25935,1.25518,1.25867
04/02/2020,1.25867,1.26174,1.25319,1.26065
04/02/2020,1.26065,1.26388,1.25864,1.26298
04/02/2020,1.26296,1.26447,1.26142,1.26372
04/02/2020,1.26369,1.26477,1.26266,1.26312
04/02/2020,1.26295,1.26367,1.26152,1.26283
05/02/2020,1.26282,1.26299,1.26108,1.26144
05/02/2020,1.26143,1.27093,1.26033,1.2708
05/02/2020,1.27075,1.27075,1.2649,1.26583
05/02/2020,1.26583,1.2661,1.2623,1.26571
05/02/2020,1.26574,1.26592,1.26431,1.26556
05/02/2020,1.26557,1.26562,1.26422,1.26436
06/02/2020,1.26434,1.26547,1.26403,1.26468
06/02/2020,1.26469,1.26633,1.26313,1.26447
06/02/2020,1.26456,1.26501,1.26174,1.26311
06/02/2020,1.26312,1.26453,1.26002,1.26132
06/02/2020,1.26132,1.26172,1.2598,1.26001
06/02/2020,1.25975,1.26073,1.25938,1.26038
07/02/2020,1.2604,1.26125,1.25998,1.26104
07/02/2020,1.26106,1.26286,1.26043,1.26178
07/02/2020,1.26175,1.2641,1.26119,1.26276
07/02/2020,1.26274,1.26436,1.26087,1.26126
07/02/2020,1.26122,1.26127,1.2591,1.25933
09/02/2020,1.25905,1.26067,1.25842,1.26009
10/02/2020,1.2601,1.26183,1.25961,1.26126
10/02/2020,1.26125,1.26266,1.2582,1.26209
10/02/2020,1.26206,1.26506,1.26151,1.2644
10/02/2020,1.26438,1.26512,1.26152,1.26188
10/02/2020,1.2619,1.26233,1.26146,1.26233
10/02/2020,1.26199,1.26351,1.26141,1.26303
11/02/2020,1.26301,1.26393,1.2627,1.26371
11/02/2020,1.26371,1.26478,1.26069,1.2644
11/02/2020,1.26439,1.26625,1.2621,1.26606
11/02/2020,1.26604,1.26794,1.26247,1.26342
11/02/2020,1.26338,1.26497,1.26334,1.264
11/02/2020,1.26378,1.2647,1.26294,1.26432
12/02/2020,1.26433,1.26499,1.26378,1.26471
12/02/2020,1.2647,1.26625,1.26361,1.26495
12/02/2020,1.26496,1.26687,1.2646,1.26516
12/02/2020,1.26515,1.26825,1.26442,1.26786
12/02/2020,1.26786,1.26863,1.26711,1.26779
12/02/2020,1.26736,1.26795,1.26637,1.26752
13/02/2020,1.26755,1.26795,1.26568,1.26611
13/02/2020,1.26617,1.26849,1.26508,1.26646
13/02/2020,1.26653,1.27664,1.26637,1.27497
13/02/2020,1.27497,1.27924,1.27399,1.27767
13/02/2020,1.27768,1.27829,1.27719,1.27734
13/02/2020,1.27704,1.27843,1.27617,1.27823
14/02/2020,1.27822,1.2788,1.27786,1.27833
14/02/2020,1.27831,1.28065,1.27701,1.27867
14/02/2020,1.27868,1.27957,1.27526,1.27609
14/02/2020,1.27608,1.28054,1.27588,1.27985
14/02/2020,1.27988,1.28169,1.27894,1.28123
16/02/2020,1.27992,1.28185,1.2782,1.28133
17/02/2020,1.28133,1.28197,1.28112,1.28168
17/02/2020,1.28167,1.28171,1.27927,1.28013
17/02/2020,1.28014,1.28026,1.27722,1.27766
17/02/2020,1.27768,1.2777,1.27618,1.27673
17/02/2020,1.27673,1.277,1.27498,1.27534
17/02/2020,1.27536,1.27576,1.27477,1.27536
18/02/2020,1.27533,1.27538,1.27398,1.27421
18/02/2020,1.27422,1.27503,1.27181,1.27468
18/02/2020,1.2747,1.28108,1.27435,1.2801
18/02/2020,1.28008,1.28199,1.27647,1.27743
18/02/2020,1.27743,1.27831,1.27661,1.27781
18/02/2020,1.27777,1.27857,1.27722,1.27765
19/02/2020,1.27766,1.27852,1.27754,1.27809
19/02/2020,1.27809,1.28101,1.27613,1.27928
19/02/2020,1.27932,1.27968,1.27611,1.27639
19/02/2020,1.27641,1.27674,1.27103,1.27123
19/02/2020,1.27125,1.27202,1.27035,1.27128
19/02/2020,1.2715,1.27172,1.2693,1.26952
20/02/2020,1.26953,1.27058,1.26857,1.2699
20/02/2020,1.26988,1.27046,1.26689,1.26815
20/02/2020,1.26816,1.26866,1.26306,1.26403
20/02/2020,1.26402,1.26694,1.26256,1.26647
20/02/2020,1.26647,1.26835,1.26619,1.26783
20/02/2020,1.26811,1.26847,1.2667,1.26732
21/02/2020,1.26728,1.26833,1.26724,1.26754
21/02/2020,1.26755,1.26853,1.26631,1.26773
21/02/2020,1.26774,1.27142,1.26766,1.26955
21/02/2020,1.26954,1.27004,1.26544,1.26883
21/02/2020,1.26883,1.26933,1.26704,1.26704
23/02/2020,1.26823,1.26909,1.26701,1.26861
24/02/2020,1.26861,1.2693,1.26772,1.26874
24/02/2020,1.26875,1.27112,1.26414,1.26515
24/02/2020,1.26515,1.26597,1.26267,1.26367
24/02/2020,1.26368,1.26444,1.26193,1.26368
24/02/2020,1.26366,1.26597,1.26331,1.26594
24/02/2020,1.26547,1.26756,1.26438,1.26666
25/02/2020,1.26666,1.26685,1.26567,1.2668
25/02/2020,1.26679,1.27065,1.26622,1.27017
25/02/2020,1.27013,1.2705,1.26741,1.26768
25/02/2020,1.26768,1.27145,1.26764,1.26901
25/02/2020,1.26902,1.26969,1.26821,1.26914
25/02/2020,1.26854,1.26954,1.26784,1.2694
26/02/2020,1.26943,1.27077,1.2686,1.26913
26/02/2020,1.26912,1.26913,1.26104,1.26161
26/02/2020,1.26161,1.26351,1.25891,1.26276
26/02/2020,1.26274,1.2645,1.26007,1.2613
26/02/2020,1.26131,1.26171,1.25892,1.25969
26/02/2020,1.25962,1.26076,1.25808,1.25864
27/02/2020,1.25865,1.25944,1.25784,1.25861
27/02/2020,1.25862,1.2592,1.25402,1.2542
27/02/2020,1.25419,1.25426,1.24829,1.24906
27/02/2020,1.24904,1.2524,1.2461,1.2517
27/02/2020,1.25169,1.25272,1.24646,1.24664
27/02/2020,1.24677,1.24934,1.24612,1.24905
28/02/2020,1.24904,1.2495,1.24584,1.24672
28/02/2020,1.24674,1.24717,1.23827,1.24355
28/02/2020,1.24354,1.24523,1.24102,1.2411
28/02/2020,1.24109,1.24299,1.23428,1.23569
28/02/2020,1.23569,1.23822,1.23281,1.23695
01/03/2020,1.23318,1.23686,1.23118,1.23455
02/03/2020,1.23456,1.23781,1.234,1.23735
02/03/2020,1.23736,1.23951,1.22783,1.22791
02/03/2020,1.2279,1.22946,1.22032,1.22203
02/03/2020,1.22207,1.22781,1.21935,1.22508
02/03/2020,1.22513,1.22643,1.2211,1.22314
02/03/2020,1.22192,1.22543,1.22058,1.22317
03/03/2020,1.22315,1.22472,1.22302,1.2246
03/03/2020,1.22459,1.22804,1.22231,1.22324
03/03/2020,1.22325,1.22619,1.22197,1.22452
03/03/2020,1.22451,1.22921,1.22023,1.22719
03/03/2020,1.22718,1.22768,1.22372,1.22549
03/03/2020,1.22424,1.22751,1.22393,1.22613
04/03/2020,1.22612,1.22707,1.22547,1.22622
04/03/2020,1.2262,1.22838,1.21952,1.21987
04/03/2020,1.21987,1.22834,1.21823,1.22743
04/03/2020,1.22744,1.22872,1.22306,1.22813
04/03/2020,1.22813,1.23245,1.22796,1.23204
04/03/2020,1.23126,1.23176,1.22957,1.22988
05/03/2020,1.22988,1.23204,1.22961,1.23188
05/03/2020,1.23188,1.23369,1.2301,1.23077
05/03/2020,1.23078,1.23236,1.22713,1.23017
05/03/2020,1.23016,1.23016,1.22547,1.226
05/03/2020,1.22601,1.22837,1.2236,1.22425
05/03/2020,1.22397,1.22604,1.22311,1.22394
06/03/2020,1.22387,1.22452,1.22308,1.22366
06/03/2020,1.22365,1.2259,1.21936,1.21943
06/03/2020,1.21942,1.22005,1.21439,1.21487
06/03/2020,1.21489,1.2234,1.21329,1.21944
06/03/2020,1.21944,1.22462,1.2187,1.22182
08/03/2020,1.21926,1.22174,1.21388,1.21662
09/03/2020,1.21663,1.21795,1.20339,1.20943
09/03/2020,1.20944,1.22206,1.20657,1.2188
09/03/2020,1.2188,1.22323,1.20829,1.21414
09/03/2020,1.21411,1.22019,1.20752,1.21584
09/03/2020,1.21578,1.21715,1.20968,1.21192
09/03/2020,1.2123,1.21595,1.20779,1.21481
10/03/2020,1.21483,1.2221,1.21419,1.22097
10/03/2020,1.22102,1.22316,1.2135,1.21732
10/03/2020,1.21734,1.22081,1.21157,1.21202
10/03/2020,1.21203,1.21564,1.20608,1.20893
10/03/2020,1.20898,1.21565,1.20792,1.21327
10/03/2020,1.21072,1.21113,1.20741,1.20855
11/03/2020,1.20853,1.21021,1.20812,1.20886
11/03/2020,1.20886,1.21258,1.19808,1.21112
11/03/2020,1.21113,1.21593,1.20587,1.20741
11/03/2020,1.20743,1.21195,1.2063,1.2081
11/03/2020,1.20819,1.20871,1.20109,1.20239
11/03/2020,1.20216,1.20481,1.20183,1.203
12/03/2020,1.20301,1.20369,1.19586,1.19873
12/03/2020,1.19875,1.1995,1.19458,1.196
12/03/2020,1.19603,1.19817,1.18668,1.19202
12/03/2020,1.19204,1.19744,1.18322,1.19463
12/03/2020,1.19463,1.19582,1.18479,1.18567
12/03/2020,1.18786,1.19071,1.18372,1.18402
13/03/2020,1.18405,1.18674,1.18313,1.18425
13/03/2020,1.18427,1.19346,1.18303,1.18809
13/03/2020,1.18804,1.19328,1.18436,1.18995
13/03/2020,1.18992,1.19124,1.17873,1.17943
13/03/2020,1.17944,1.18037,1.16586,1.1681
15/03/2020,1.17355,1.17655,1.16537,1.17156
16/03/2020,1.17167,1.17411,1.16872,1.17062
16/03/2020,1.17062,1.17258,1.16049,1.16197
16/03/2020,1.16205,1.16391,1.1553,1.15914
16/03/2020,1.15916,1.16823,1.15644,1.15862
16/03/2020,1.15861,1.16264,1.15438,1.16187
16/03/2020,1.16047,1.16306,1.15885,1.16043
17/03/2020,1.16043,1.16321,1.16013,1.16161
17/03/2020,1.1616,1.16498,1.15914,1.16258
17/03/2020,1.16255,1.16413,1.15715,1.16211
17/03/2020,1.16212,1.16415,1.15668,1.16151
17/03/2020,1.16151,1.16514,1.15734,1.15829
17/03/2020,1.15899,1.16435,1.158,1.16431
18/03/2020,1.16432,1.16474,1.16054,1.16081
18/03/2020,1.1608,1.16082,1.15545,1.15545
18/03/2020,1.15546,1.1562,1.13743,1.14275
18/03/2020,1.14271,1.14674,1.11587,1.12522
18/03/2020,1.12517,1.13166,1.11907,1.12463
18/03/2020,1.11371,1.12667,1.11339,1.12418
19/03/2020,1.12399,1.1245,1.1114,1.11361
19/03/2020,1.11361,1.12357,1.11197,1.12326
19/03/2020,1.12323,1.14191,1.12123,1.13437
19/03/2020,1.13431,1.15414,1.13037,1.14758
19/03/2020,1.14761,1.15027,1.13152,1.13168
19/03/2020,1.13281,1.1413,1.12675,1.13853
20/03/2020,1.13852,1.14371,1.13805,1.14127
20/03/2020,1.14127,1.16137,1.14054,1.16045
20/03/2020,1.16044,1.16113,1.15175,1.15872
20/03/2020,1.15871,1.17133,1.15411,1.15713
20/03/2020,1.15713,1.15843,1.14104,1.14239
22/03/2020,1.14905,1.14963,1.13923,1.14412
23/03/2020,1.14408,1.14646,1.14245,1.14465
23/03/2020,1.14464,1.1519,1.14339,1.14573
23/03/2020,1.14574,1.14595,1.13649,1.14202
23/03/2020,1.14202,1.14552,1.12474,1.12629
23/03/2020,1.12629,1.13736,1.1245,1.13698
23/03/2020,1.13309,1.13898,1.12875,1.13636
24/03/2020,1.13638,1.14119,1.13575,1.13947
24/03/2020,1.13948,1.14164,1.13614,1.13956
24/03/2020,1.13955,1.15057,1.13791,1.14846
