date,open,high,low,close
01/01/2020,144.038,144.038,144.025,144.038
01/01/2020,144.075,144.188,143.866,144.055
02/01/2020,144.056,144.067,143.504,143.69
02/01/2020,143.69,143.944,143.591,143.824
02/01/2020,143.821,143.838,143.167,143.224
02/01/2020,143.22,143.27,142.268,142.546
02/01/2020,142.546,142.657,142.419,142.625
02/01/2020,142.613,142.78,142.096,142.153
03/01/2020,142.157,142.23,141.77,141.871
03/01/2020,141.873,141.923,141.194,141.22
03/01/2020,141.226,141.757,141,141.389
03/01/2020,141.386,141.618,141.163,141.308
03/01/2020,141.308,141.393,141.016,141.365
05/01/2020,141.168,141.49,140.839,141.185
06/01/2020,141.185,141.448,141.176,141.353
06/01/2020,141.353,141.964,141.117,141.928
06/01/2020,141.928,142.387,141.922,142.076
06/01/2020,142.073,142.756,141.979,142.579
06/01/2020,142.574,142.787,142.559,142.707
06/01/2020,142.663,142.902,142.624,142.824
07/01/2020,142.823,142.944,142.626,142.635
07/01/2020,142.635,143.293,142.303,142.882
07/01/2020,142.882,142.89,142.065,142.251
07/01/2020,142.249,142.633,142.019,142.493
07/01/2020,142.493,142.573,142.115,142.311
07/01/2020,142.328,142.346,141.12,141.703
08/01/2020,141.704,142.5,141.686,142.067
08/01/2020,142.068,142.839,142.067,142.285
08/01/2020,142.286,142.671,141.971,142.596
08/01/2020,142.595,143.067,142.186,142.971
08/01/2020,142.97,143.106,142.782,142.902
08/01/2020,142.86,143.243,142.826,143.234
09/01/2020,143.235,143.35,143.088,143.329
09/01/2020,143.331,143.455,142.425,142.565
09/01/2020,142.564,143.029,142.432,142.836
09/01/2020,142.835,143.105,142.721,143.037
09/01/2020,143.037,143.123,142.887,143.12
09/01/2020,143.097,143.234,143.017,143.101
10/01/2020,143.105,143.396,143.037,143.338
10/01/2020,143.338,143.464,142.974,143.277
10/01/2020,143.277,143.497,143.098,143.309
10/01/2020,143.302,143.376,142.888,143.001
10/01/2020,143,143.073,142.908,142.938
12/01/2020,142.793,142.936,142.747,142.91
13/01/2020,142.91,142.966,142.804,142.885
13/01/2020,142.887,142.896,142.365,142.502
13/01/2020,142.5,142.773,142.363,142.628
13/01/2020,142.628,142.868,142.584,142.84
13/01/2020,142.839,142.907,142.764,142.792
13/01/2020,142.783,143.213,142.757,142.989
14/01/2020,142.991,143.108,142.905,142.95
14/01/2020,142.957,143.069,142.45,142.72
14/01/2020,142.719,143.111,142.653,142.898
14/01/2020,142.896,143.382,142.87,143.358
14/01/2020,143.358,143.434,143.089,143.203
14/01/2020,143.185,143.229,142.996,143.191
15/01/2020,143.202,143.271,143.075,143.25
15/01/2020,143.247,143.386,142.653,142.736
15/01/2020,142.73,143.125,142.687,142.875
15/01/2020,142.872,143.329,142.843,143.215
15/01/2020,143.213,143.312,143.067,143.293
15/01/2020,143.274,143.491,143.218,143.387
16/01/2020,143.39,143.485,143.347,143.459
16/01/2020,143.459,143.758,143.237,143.589
16/01/2020,143.591,143.791,143.515,143.559
16/01/2020,143.559,144.139,143.406,144.008
16/01/2020,144.008,144.061,143.868,144.057
16/01/2020,143.996,144.174,143.904,143.98
17/01/2020,143.986,144.127,143.986,144.073
17/01/2020,144.075,144.525,143.677,143.84
17/01/2020,143.833,143.981,143.487,143.741
17/01/2020,143.742,143.792,143.373,143.445
17/01/2020,143.442,143.464,143.25,143.285
19/01/2020,143.125,143.359,143.113,143.254
20/01/2020,143.254,143.303,143.165,143.172
20/01/2020,143.171,143.245,142.802,143.043
20/01/2020,143.044,143.329,142.96,143.253
20/01/2020,143.253,143.259,143.037,143.235
20/01/2020,143.233,143.364,143.189,143.341
20/01/2020,143.322,143.346,142.864,142.939
21/01/2020,142.939,143.221,142.863,143.055
21/01/2020,143.055,143.445,142.896,143.384
21/01/2020,143.377,143.974,143.36,143.891
21/01/2020,143.89,143.936,143.356,143.399
21/01/2020,143.397,143.5,143.187,143.352
21/01/2020,143.303,143.511,143.257,143.402
22/01/2020,143.4,143.739,143.393,143.686
22/01/2020,143.686,143.802,143.381,143.622
22/01/2020,143.624,144.452,143.57,144.374
22/01/2020,144.372,144.607,144.161,144.243
22/01/2020,144.242,144.362,144.167,144.329
22/01/2020,144.346,144.412,143.998,144.037
23/01/2020,144.036,144.075,143.759,143.799
23/01/2020,143.801,144.099,143.661,143.834
23/01/2020,143.834,144.003,143.736,143.792
23/01/2020,143.791,143.886,143.208,143.365
23/01/2020,143.363,143.733,143.302,143.713
23/01/2020,143.632,143.763,143.544,143.583
24/01/2020,143.585,143.767,143.555,143.757
24/01/2020,143.756,144.415,143.375,143.465
24/01/2020,143.462,143.63,143.34,143.489
24/01/2020,143.488,143.545,142.787,142.972
24/01/2020,142.972,143.014,142.717,142.858
26/01/2020,142.468,142.538,142.056,142.405
27/01/2020,142.405,142.524,142.144,142.4
27/01/2020,142.4,142.748,142.283,142.601
27/01/2020,142.599,142.668,142.276,142.405
27/01/2020,142.405,142.515,142.091,142.342
27/01/2020,142.342,142.404,142.088,142.199
27/01/2020,142.138,142.454,142.085,142.427
28/01/2020,142.427,142.437,142.227,142.351
28/01/2020,142.352,142.353,141.5,141.796
28/01/2020,141.795,142.032,141.505,141.791
28/01/2020,141.79,141.923,141.481,141.858
28/01/2020,141.858,142.22,141.82,142.188
