date,open,high,low,close
01/01/2020,1.9689,1.9689,1.9682,1.9689
01/01/2020,1.9699,1.9704,1.9661,1.9692
02/01/2020,1.9693,1.9695,1.964,1.9655
02/01/2020,1.9656,1.9698,1.9652,1.9696
02/01/2020,1.9695,1.9755,1.9655,1.9661
02/01/2020,1.9659,1.9679,1.9599,1.9636
02/01/2020,1.9637,1.9652,1.9583,1.9593
02/01/2020,1.9594,1.9673,1.9576,1.9657
03/01/2020,1.9658,1.9687,1.9636,1.9675
03/01/2020,1.9674,1.9683,1.9635,1.9651
03/01/2020,1.9651,1.9682,1.9604,1.9625
03/01/2020,1.9624,1.9639,1.9589,1.9616
03/01/2020,1.9617,1.9633,1.96,1.9621
05/01/2020,1.9644,1.9661,1.9618,1.9647
06/01/2020,1.9648,1.9675,1.9642,1.967
06/01/2020,1.9669,1.971,1.961,1.97
06/01/2020,1.9701,1.9739,1.9681,1.9692
06/01/2020,1.9692,1.9756,1.9687,1.9724
06/01/2020,1.9724,1.9754,1.9724,1.9735
06/01/2020,1.9734,1.978,1.9725,1.9741
07/01/2020,1.9741,1.9752,1.972,1.975
07/01/2020,1.9751,1.9839,1.9744,1.9804
07/01/2020,1.9803,1.9812,1.9727,1.9776
07/01/2020,1.9777,1.9817,1.9747,1.9777
07/01/2020,1.9776,1.9784,1.9748,1.9751
07/01/2020,1.9761,1.9817,1.9728,1.9774
08/01/2020,1.9774,1.9778,1.9738,1.975
08/01/2020,1.9748,1.9773,1.9685,1.9702
08/01/2020,1.9701,1.9766,1.967,1.9761
08/01/2020,1.9762,1.9792,1.9693,1.97
08/01/2020,1.9701,1.9706,1.968,1.9696
08/01/2020,1.9694,1.9726,1.9683,1.9711
09/01/2020,1.9712,1.9734,1.9707,1.9726
09/01/2020,1.9725,1.9769,1.9658,1.9664
09/01/2020,1.9663,1.9746,1.965,1.9727
09/01/2020,1.9727,1.9779,1.972,1.9762
09/01/2020,1.9763,1.9766,1.9739,1.9756
09/01/2020,1.9752,1.9791,1.9745,1.9775
10/01/2020,1.9775,1.9777,1.9747,1.9755
10/01/2020,1.9755,1.9774,1.971,1.9748
10/01/2020,1.9749,1.9784,1.9723,1.9755
10/01/2020,1.9755,1.9761,1.9652,1.9676
10/01/2020,1.9675,1.9692,1.9642,1.9647
12/01/2020,1.963,1.9664,1.962,1.9632
13/01/2020,1.9633,1.9636,1.959,1.9602
13/01/2020,1.9602,1.9606,1.9543,1.9556
13/01/2020,1.9557,1.9615,1.9546,1.9565
13/01/2020,1.9564,1.9627,1.956,1.9583
13/01/2020,1.9582,1.9608,1.9565,1.9587
13/01/2020,1.9589,1.9636,1.9579,1.9619
14/01/2020,1.9618,1.9625,1.9596,1.9608
14/01/2020,1.9608,1.9611,1.9544,1.9587
14/01/2020,1.9586,1.9654,1.9583,1.9641
14/01/2020,1.964,1.9699,1.9624,1.9679
14/01/2020,1.9679,1.9702,1.9672,1.9682
14/01/2020,1.9684,1.9715,1.9676,1.9704
15/01/2020,1.9705,1.9713,1.9688,1.9704
15/01/2020,1.9705,1.9719,1.965,1.9667
15/01/2020,1.9667,1.9751,1.9652,1.9724
15/01/2020,1.9724,1.9745,1.9677,1.9705
15/01/2020,1.9706,1.9719,1.9695,1.9701
15/01/2020,1.9699,1.9727,1.965,1.9661
16/01/2020,1.9661,1.9683,1.9652,1.9674
16/01/2020,1.9673,1.9681,1.9624,1.9638
16/01/2020,1.9639,1.9655,1.9585,1.961
16/01/2020,1.9609,1.9714,1.9583,1.9713
16/01/2020,1.9711,1.9718,1.9679,1.9708
16/01/2020,1.9686,1.9721,1.9678,1.9679
17/01/2020,1.9676,1.969,1.9666,1.9681
