date,open,high,low,close
01/01/2020,1.32451,1.32457,1.32446,1.32455
01/01/2020,1.32478,1.32661,1.32457,1.32559
02/01/2020,1.32558,1.32561,1.32021,1.32136
02/01/2020,1.32136,1.32305,1.32064,1.32143
02/01/2020,1.32143,1.32148,1.31714,1.31765
02/01/2020,1.31762,1.31945,1.31154,1.31344
02/01/2020,1.31345,1.31455,1.31251,1.31371
02/01/2020,1.31362,1.31602,1.31314,1.31376
03/01/2020,1.31382,1.31435,1.31157,1.31213
03/01/2020,1.31212,1.3124,1.30666,1.30678
03/01/2020,1.30678,1.31096,1.30536,1.30726
03/01/2020,1.30724,1.3099,1.30674,1.30882
03/01/2020,1.30881,1.30901,1.30709,1.30799
05/01/2020,1.30843,1.30879,1.30636,1.3079
06/01/2020,1.30791,1.30903,1.3079,1.30809
06/01/2020,1.30809,1.31486,1.30641,1.31434
06/01/2020,1.3144,1.31745,1.31347,1.31404
06/01/2020,1.31403,1.31745,1.31335,1.31592
06/01/2020,1.31593,1.31685,1.31554,1.31683
06/01/2020,1.31683,1.31787,1.31612,1.31718
07/01/2020,1.31718,1.31755,1.31532,1.3154
07/01/2020,1.31545,1.32123,1.3141,1.31729
07/01/2020,1.31729,1.31739,1.31024,1.31185
07/01/2020,1.31182,1.31396,1.30953,1.31276
07/01/2020,1.31274,1.31372,1.31138,1.31206
07/01/2020,1.31229,1.31236,1.3104,1.31169
08/01/2020,1.3118,1.314,1.31161,1.31176
08/01/2020,1.31175,1.31697,1.31101,1.31203
08/01/2020,1.31204,1.3136,1.30802,1.31218
08/01/2020,1.31218,1.31387,1.3083,1.31051
08/01/2020,1.31051,1.31065,1.30926,1.30947
08/01/2020,1.30943,1.31142,1.30942,1.31121
09/01/2020,1.3112,1.31189,1.3104,1.31166
09/01/2020,1.31163,1.31235,1.30173,1.30276
09/01/2020,1.30272,1.30691,1.3013,1.30524
09/01/2020,1.30523,1.3069,1.30335,1.30612
09/01/2020,1.30615,1.30677,1.3054,1.30675
09/01/2020,1.30658,1.30724,1.30598,1.30634
10/01/2020,1.30632,1.30835,1.30603,1.30825
10/01/2020,1.30825,1.30915,1.30482,1.30679
10/01/2020,1.30679,1.30967,1.30506,1.30696
10/01/2020,1.30696,1.3078,1.30425,1.30617
10/01/2020,1.30614,1.30643,1.30487,1.30487
12/01/2020,1.30366,1.30447,1.30319,1.3039
13/01/2020,1.30389,1.30411,1.30253,1.30327
13/01/2020,1.30327,1.30329,1.29653,1.29727
13/01/2020,1.29727,1.29939,1.2961,1.29842
13/01/2020,1.29842,1.2999,1.29755,1.29951
13/01/2020,1.29952,1.30036,1.29861,1.29875
13/01/2020,1.29893,1.30003,1.29856,1.29915
14/01/2020,1.29915,1.30023,1.29882,1.29884
14/01/2020,1.29889,1.29938,1.29542,1.29723
14/01/2020,1.29723,1.30139,1.2967,1.29902
14/01/2020,1.29899,1.30248,1.29872,1.30215
14/01/2020,1.30215,1.30331,1.30162,1.30182
14/01/2020,1.30198,1.30245,1.30142,1.30233
15/01/2020,1.30234,1.30334,1.30187,1.30326
15/01/2020,1.30323,1.30424,1.29848,1.29914
15/01/2020,1.29911,1.30291,1.2988,1.30086
15/01/2020,1.30087,1.30377,1.30073,1.3033
15/01/2020,1.30329,1.30393,1.30229,1.30382
15/01/2020,1.30378,1.30568,1.30371,1.3044
16/01/2020,1.30439,1.30524,1.30401,1.30482
16/01/2020,1.30482,1.30648,1.30253,1.30536
16/01/2020,1.30537,1.30747,1.30491,1.30494
16/01/2020,1.30496,1.3083,1.30317,1.30741
16/01/2020,1.3074,1.3078,1.30625,1.30773
16/01/2020,1.30722,1.30792,1.3064,1.30675
17/01/2020,1.30678,1.308,1.30678,1.30744
17/01/2020,1.30743,1.31184,1.30402,1.30555
17/01/2020,1.30551,1.30666,1.30264,1.30455
17/01/2020,1.30456,1.30489,1.30163,1.30239
17/01/2020,1.30238,1.30245,1.3005,1.30063
19/01/2020,1.29977,1.30089,1.2995,1.30014
20/01/2020,1.30014,1.30059,1.29935,1.29942
20/01/2020,1.29941,1.30014,1.2962,1.29844
20/01/2020,1.29842,1.30084,1.29769,1.30012
20/01/2020,1.30013,1.30027,1.29829,1.29997
20/01/2020,1.29996,1.30136,1.2997,1.30092
20/01/2020,1.30075,1.30103,1.29952,1.30007
21/01/2020,1.30007,1.30215,1.29987,1.30125
21/01/2020,1.30126,1.3045,1.29955,1.304
21/01/2020,1.30396,1.30834,1.3035,1.30736
21/01/2020,1.30735,1.30735,1.30394,1.30459
21/01/2020,1.30458,1.3061,1.30387,1.3047
21/01/2020,1.30434,1.30539,1.30385,1.30481
22/01/2020,1.30481,1.30615,1.30346,1.30577
22/01/2020,1.30575,1.30675,1.30375,1.30612
22/01/2020,1.30617,1.3135,1.30557,1.31307
22/01/2020,1.31306,1.31528,1.31206,1.31285
22/01/2020,1.31284,1.3141,1.31205,1.31403
22/01/2020,1.31425,1.31508,1.31323,1.31369
23/01/2020,1.31368,1.3139,1.31189,1.31229
23/01/2020,1.31228,1.3147,1.3119,1.31319
23/01/2020,1.3132,1.31459,1.31176,1.31282
23/01/2020,1.31283,1.31332,1.30969,1.31101
23/01/2020,1.31102,1.31282,1.31017,1.31254
23/01/2020,1.31149,1.31248,1.31117,1.31162
24/01/2020,1.31162,1.31265,1.31159,1.31231
24/01/2020,1.31231,1.31725,1.30855,1.30935
24/01/2020,1.30936,1.311,1.30795,1.31
24/01/2020,1.31003,1.31066,1.30569,1.30784
24/01/2020,1.30784,1.30848,1.30665,1.30729
26/01/2020,1.30755,1.30755,1.30605,1.30675
27/01/2020,1.30667,1.30668,1.30515,1.30586
27/01/2020,1.30585,1.31053,1.30578,1.30955
27/01/2020,1.30954,1.30968,1.30573,1.30616
27/01/2020,1.30615,1.30699,1.30396,1.3058
27/01/2020,1.3058,1.30602,1.30418,1.3058
27/01/2020,1.30528,1.30652,1.30476,1.30635
28/01/2020,1.30636,1.30637,1.30533,1.30566
28/01/2020,1.30565,1.30565,1.30039,1.30299
28/01/2020,1.30298,1.30313,1.30026,1.3005
28/01/2020,1.3005,1.30079,1.29754,1.29991
28/01/2020,1.29988,1.3028,1.29944,1.30273
28/01/2020,1.30224,1.30287,1.30173,1.30174
29/01/2020,1.30172,1.30258,1.30152,1.30255
29/01/2020,1.30255,1.30265,1.30038,1.3014
29/01/2020,1.3014,1.30205,1.29895,1.29901
29/01/2020,1.29901,1.30172,1.299,1.30121
29/01/2020,1.30122,1.30255,1.30082,1.3019
29/01/2020,1.30097,1.30255,1.30042,1.30194
30/01/2020,1.30194,1.30205,1.3011,1.30147
30/01/2020,1.30151,1.30186,1.29776,1.30159
30/01/2020,1.3016,1.31087,1.30081,1.30985
30/01/2020,1.30983,1.311,1.30752,1.30947
30/01/2020,1.30946,1.3096,1.308,1.30916
30/01/2020,1.3092,1.31048,1.3078,1.30966
31/01/2020,1.30968,1.31037,1.30932,1.30968
31/01/2020,1.30968,1.31407,1.30948,1.31175
31/01/2020,1.3119,1.31449,1.31001,1.31442
31/01/2020,1.31447,1.31998,1.3139,1.31959
31/01/2020,1.31963,1.32093,1.31832,1.32036
02/02/2020,1.31748,1.3184,1.31727,1.31761
03/02/2020,1.31761,1.31785,1.31559,1.31632
03/02/2020,1.31633,1.31654,1.30799,1.30811
03/02/2020,1.30811,1.30816,1.30461,1.30592
03/02/2020,1.30591,1.30601,1.29898,1.30052
03/02/2020,1.30051,1.30106,1.29828,1.29985
03/02/2020,1.29896,1.29989,1.29812,1.29905
04/02/2020,1.29904,1.3023,1.29828,1.30135
04/02/2020,1.30134,1.30255,1.29412,1.30165
04/02/2020,1.30165,1.30466,1.30007,1.30294
04/02/2020,1.30293,1.30362,1.3012,1.30317
04/02/2020,1.30314,1.3044,1.30268,1.30313
04/02/2020,1.30297,1.30378,1.30181,1.30232
05/02/2020,1.30231,1.30241,1.3012,1.30178
05/02/2020,1.30177,1.307,1.30087,1.30662
05/02/2020,1.30659,1.30673,1.29916,1.30091
05/02/2020,1.3009,1.30131,1.29563,1.30043
05/02/2020,1.30044,1.30078,1.2986,1.30005
05/02/2020,1.30005,1.30006,1.29826,1.29886
06/02/2020,1.29886,1.29907,1.29719,1.29848
06/02/2020,1.29847,1.29987,1.29674,1.29746
06/02/2020,1.29746,1.29806,1.29482,1.29661
06/02/2020,1.29661,1.29709,1.29224,1.29339
06/02/2020,1.29338,1.29355,1.29211,1.29259
06/02/2020,1.29276,1.29386,1.29248,1.29369
07/02/2020,1.2937,1.29441,1.29351,1.29406
07/02/2020,1.29407,1.29461,1.29214,1.29294
07/02/2020,1.29293,1.29515,1.29252,1.29335
07/02/2020,1.29335,1.29593,1.28945,1.29007
07/02/2020,1.29006,1.29017,1.28812,1.28851
09/02/2020,1.28866,1.28973,1.28847,1.28933
10/02/2020,1.28933,1.29087,1.28924,1.29073
10/02/2020,1.29072,1.29147,1.28719,1.29111
10/02/2020,1.29109,1.29462,1.29079,1.2929
10/02/2020,1.2929,1.29445,1.29071,1.29094
10/02/2020,1.29096,1.29205,1.29079,1.29141
10/02/2020,1.29146,1.29216,1.29072,1.29156
11/02/2020,1.29157,1.292,1.29108,1.29138
11/02/2020,1.29137,1.29414,1.28948,1.29384
11/02/2020,1.29382,1.29414,1.29156,1.29372
11/02/2020,1.29372,1.2968,1.29331,1.29505
11/02/2020,1.29505,1.29668,1.29466,1.29533
11/02/2020,1.29518,1.29661,1.2945,1.29647
12/02/2020,1.2965,1.29691,1.29579,1.29617
12/02/2020,1.29619,1.29834,1.29516,1.29806
12/02/2020,1.29808,1.29915,1.29619,1.29657
12/02/2020,1.29659,1.29795,1.29537,1.29658
12/02/2020,1.29656,1.2969,1.29559,1.29592
12/02/2020,1.29573,1.29647,1.29519,1.29584
13/02/2020,1.29584,1.29609,1.29441,1.29508
13/02/2020,1.29511,1.2984,1.29452,1.29705
13/02/2020,1.29718,1.30452,1.29622,1.30238
13/02/2020,1.3024,1.30693,1.30134,1.3056
13/02/2020,1.30562,1.30612,1.30402,1.30417
13/02/2020,1.30411,1.30491,1.30368,1.30466
14/02/2020,1.30465,1.30491,1.30402,1.30452
14/02/2020,1.30452,1.30634,1.30193,1.30346
14/02/2020,1.30352,1.30414,1.30011,1.30149
14/02/2020,1.30149,1.30413,1.30098,1.30402
14/02/2020,1.30401,1.30529,1.30297,1.30457
16/02/2020,1.30393,1.30536,1.30256,1.3045
17/02/2020,1.30452,1.30506,1.30425,1.30484
17/02/2020,1.30484,1.30513,1.3029,1.30399
17/02/2020,1.304,1.30444,1.301,1.30156
17/02/2020,1.30157,1.30157,1.30024,1.30114
17/02/2020,1.30114,1.30153,1.29979,1.30048
