date,open,high,low,close
01/01/2020,0.6487,0.6492,0.6487,0.6492
01/01/2020,0.6493,0.6522,0.6478,0.6515
02/01/2020,0.6515,0.6522,0.651,0.6521
02/01/2020,0.6522,0.6522,0.6498,0.6504
02/01/2020,0.6504,0.6505,0.6487,0.6502
02/01/2020,0.6502,0.6514,0.6496,0.6506
02/01/2020,0.6505,0.651,0.6499,0.6506
02/01/2020,0.6507,0.6509,0.6481,0.6483
03/01/2020,0.6484,0.6488,0.6465,0.6473
03/01/2020,0.6472,0.6486,0.6463,0.6472
03/01/2020,0.6472,0.6487,0.647,0.648
03/01/2020,0.6481,0.6487,0.6471,0.6476
03/01/2020,0.6476,0.6485,0.6472,0.6479
05/01/2020,0.6462,0.6475,0.6456,0.6464
06/01/2020,0.6463,0.6469,0.6455,0.6458
06/01/2020,0.6458,0.6472,0.6451,0.6464
06/01/2020,0.6463,0.6477,0.6461,0.6468
06/01/2020,0.6468,0.6469,0.6453,0.6458
06/01/2020,0.6457,0.6462,0.6453,0.6456
06/01/2020,0.6457,0.6467,0.645,0.6463
07/01/2020,0.6463,0.6473,0.6455,0.6456
07/01/2020,0.6455,0.6462,0.6445,0.6457
07/01/2020,0.6457,0.6459,0.6441,0.6442
07/01/2020,0.6443,0.6452,0.6433,0.6441
07/01/2020,0.644,0.6449,0.6435,0.6442
07/01/2020,0.6441,0.6447,0.6396,0.6425
08/01/2020,0.6426,0.6452,0.6425,0.6443
08/01/2020,0.6444,0.6475,0.6441,0.6467
08/01/2020,0.6468,0.6468,0.6439,0.6441
08/01/2020,0.6441,0.6476,0.6428,0.6473
08/01/2020,0.6472,0.6481,0.6465,0.6472
08/01/2020,0.6472,0.6483,0.6468,0.6478
09/01/2020,0.6478,0.6478,0.6471,0.6475
09/01/2020,0.6475,0.6481,0.6446,0.6453
09/01/2020,0.6454,0.6456,0.6425,0.643
09/01/2020,0.643,0.6433,0.642,0.6427
09/01/2020,0.6426,0.6436,0.6425,0.6435
09/01/2020,0.6435,0.6436,0.6425,0.643
10/01/2020,0.643,0.6443,0.643,0.6441
10/01/2020,0.6442,0.6452,0.644,0.6448
10/01/2020,0.6449,0.6462,0.6443,0.6453
10/01/2020,0.6452,0.6463,0.6447,0.6455
10/01/2020,0.6455,0.6462,0.6449,0.645
12/01/2020,0.6457,0.6467,0.6452,0.6463
13/01/2020,0.6462,0.6472,0.646,0.6467
13/01/2020,0.6468,0.6472,0.645,0.6452
13/01/2020,0.6451,0.6453,0.6441,0.6448
13/01/2020,0.6449,0.645,0.6427,0.6436
13/01/2020,0.6435,0.6441,0.6435,0.6436
13/01/2020,0.6435,0.6437,0.6423,0.6429
14/01/2020,0.643,0.6439,0.6429,0.6432
14/01/2020,0.6432,0.6438,0.6413,0.6421
14/01/2020,0.6421,0.6422,0.6396,0.6414
14/01/2020,0.6414,0.642,0.6394,0.6404
14/01/2020,0.6403,0.6406,0.6391,0.6397
14/01/2020,0.6393,0.6398,0.6387,0.6391
15/01/2020,0.6392,0.6399,0.6388,0.6396
15/01/2020,0.6397,0.6402,0.638,0.6382
15/01/2020,0.6381,0.6389,0.6353,0.6355
15/01/2020,0.6356,0.6377,0.6355,0.6372
15/01/2020,0.6372,0.6378,0.6363,0.6377
15/01/2020,0.638,0.6398,0.6374,0.6397
16/01/2020,0.6397,0.64,0.6392,0.6396
16/01/2020,0.6396,0.6402,0.6387,0.6401
16/01/2020,0.6402,0.6414,0.6396,0.6412
16/01/2020,0.6412,0.6423,0.6396,0.6398
16/01/2020,0.6398,0.6409,0.6393,0.6402
16/01/2020,0.6399,0.6408,0.6394,0.6407
17/01/2020,0.6408,0.6414,0.6404,0.641
17/01/2020,0.6409,0.6421,0.6402,0.6411
17/01/2020,0.6412,0.6416,0.6391,0.641
17/01/2020,0.6411,0.6411,0.6394,0.6402
17/01/2020,0.6403,0.6405,0.6394,0.6397
19/01/2020,0.6397,0.6409,0.6395,0.6405
20/01/2020,0.6406,0.6412,0.6401,0.641
20/01/2020,0.6409,0.6414,0.6395,0.6398
20/01/2020,0.6398,0.6405,0.6389,0.6395
20/01/2020,0.6396,0.64,0.6389,0.64
20/01/2020,0.6399,0.6404,0.6392,0.6397
20/01/2020,0.6396,0.6403,0.6382,0.6385
21/01/2020,0.6386,0.6397,0.6381,0.6388
21/01/2020,0.6389,0.6395,0.6376,0.6387
21/01/2020,0.6388,0.6393,0.6381,0.639
21/01/2020,0.6391,0.6398,0.6388,0.6392
21/01/2020,0.6393,0.6394,0.638,0.6389
21/01/2020,0.6389,0.6392,0.638,0.6384
22/01/2020,0.6384,0.6395,0.6382,0.6392
22/01/2020,0.6392,0.6411,0.6387,0.6405
22/01/2020,0.6404,0.6416,0.6397,0.6404
22/01/2020,0.6403,0.6407,0.6382,0.6383
22/01/2020,0.6382,0.6385,0.6378,0.638
22/01/2020,0.6379,0.6385,0.6373,0.6378
23/01/2020,0.6377,0.6386,0.6374,0.638
23/01/2020,0.6381,0.6392,0.6373,0.6391
23/01/2020,0.639,0.6395,0.6383,0.6386
23/01/2020,0.6385,0.6397,0.6379,0.6389
23/01/2020,0.6388,0.6417,0.6388,0.6413
23/01/2020,0.6409,0.6418,0.6407,0.6412
24/01/2020,0.6412,0.642,0.641,0.6416
24/01/2020,0.6417,0.6429,0.6414,0.6418
24/01/2020,0.6419,0.6427,0.6414,0.6416
24/01/2020,0.6416,0.6419,0.6407,0.6408
24/01/2020,0.6408,0.642,0.6406,0.6413
26/01/2020,0.6388,0.6402,0.6373,0.6384
27/01/2020,0.6383,0.6386,0.6375,0.6385
27/01/2020,0.6384,0.6388,0.6364,0.6364
27/01/2020,0.6365,0.6366,0.6351,0.6352
27/01/2020,0.6352,0.6366,0.6347,0.6356
27/01/2020,0.6355,0.6358,0.6341,0.6344
27/01/2020,0.6343,0.6352,0.6337,0.6344
28/01/2020,0.6345,0.6356,0.6342,0.6355
28/01/2020,0.6354,0.6356,0.6312,0.6325
28/01/2020,0.6326,0.6357,0.632,0.6353
28/01/2020,0.6353,0.6362,0.6343,0.6354
28/01/2020,0.6354,0.637,0.6351,0.6366
28/01/2020,0.6368,0.637,0.6359,0.6364
29/01/2020,0.6365,0.6368,0.6358,0.6364
29/01/2020,0.6363,0.6367,0.6352,0.6366
29/01/2020,0.6365,0.6369,0.6348,0.6358
29/01/2020,0.6358,0.6366,0.635,0.6356
29/01/2020,0.6354,0.6362,0.6349,0.6351
29/01/2020,0.6351,0.6355,0.6339,0.6343
30/01/2020,0.6344,0.6344,0.6323,0.6328
30/01/2020,0.6328,0.6331,0.6306,0.631
30/01/2020,0.631,0.6319,0.6294,0.6298
30/01/2020,0.6299,0.6301,0.6278,0.6279
30/01/2020,0.6278,0.6298,0.6276,0.6291
30/01/2020,0.6291,0.63,0.6285,0.6288
31/01/2020,0.6289,0.6297,0.6285,0.6296
31/01/2020,0.6296,0.6296,0.6259,0.6264
31/01/2020,0.6263,0.6266,0.6252,0.6252
31/01/2020,0.6253,0.626,0.6226,0.6234
