date,open,high,low,close
01/01/2020,73.01,73.07,73.01,73.06
01/01/2020,73.09,73.25,72.94,73.14
02/01/2020,73.13,73.17,73,73.09
02/01/2020,73.1,73.16,72.99,73.01
02/01/2020,73.02,73.03,72.71,72.83
02/01/2020,72.84,72.89,72.53,72.58
02/01/2020,72.58,72.73,72.54,72.73
02/01/2020,72.74,72.78,72.29,72.3
03/01/2020,72.31,72.38,72.02,72.1
03/01/2020,72.1,72.13,71.82,71.86
03/01/2020,71.85,72.11,71.8,72.03
03/01/2020,72.04,72.16,71.94,72.02
03/01/2020,72.02,72.07,71.89,72.02
05/01/2020,71.83,72.06,71.7,71.85
06/01/2020,71.85,71.96,71.83,71.85
06/01/2020,71.86,72.04,71.74,72.03
06/01/2020,72.04,72.2,72.02,72.13
06/01/2020,72.13,72.31,71.89,72.27
06/01/2020,72.27,72.35,72.23,72.29
06/01/2020,72.28,72.37,72.18,72.34
07/01/2020,72.34,72.44,72.2,72.21
07/01/2020,72.22,72.35,71.99,72.14
07/01/2020,72.14,72.14,71.91,71.92
07/01/2020,71.92,72.06,71.8,72.03
07/01/2020,72.04,72.1,71.89,72.03
07/01/2020,71.99,72.06,71.24,71.65
08/01/2020,71.65,72.11,71.63,71.93
08/01/2020,71.93,72.37,71.9,72.21
08/01/2020,72.2,72.31,72.09,72.15
08/01/2020,72.15,72.59,72.02,72.56
08/01/2020,72.56,72.67,72.45,72.52
08/01/2020,72.52,72.72,72.47,72.65
09/01/2020,72.65,72.65,72.54,72.65
09/01/2020,72.66,72.7,72.38,72.49
09/01/2020,72.48,72.52,72.3,72.39
09/01/2020,72.4,72.42,72.29,72.36
09/01/2020,72.36,72.43,72.31,72.43
09/01/2020,72.42,72.44,72.29,72.35
10/01/2020,72.36,72.57,72.34,72.54
10/01/2020,72.55,72.61,72.47,72.54
10/01/2020,72.54,72.67,72.46,72.53
10/01/2020,72.53,72.75,72.49,72.66
10/01/2020,72.67,72.75,72.58,72.58
12/01/2020,72.71,72.82,72.63,72.78
13/01/2020,72.78,72.92,72.75,72.88
13/01/2020,72.89,72.91,72.73,72.86
13/01/2020,72.85,72.92,72.76,72.89
13/01/2020,72.89,72.95,72.74,72.93
13/01/2020,72.93,72.99,72.86,72.89
13/01/2020,72.88,73.03,72.78,72.87
14/01/2020,72.88,72.98,72.85,72.89
14/01/2020,72.9,73.02,72.77,72.85
14/01/2020,72.86,72.86,72.68,72.75
14/01/2020,72.74,72.84,72.65,72.84
14/01/2020,72.83,72.89,72.63,72.74
14/01/2020,72.71,72.75,72.56,72.66
15/01/2020,72.67,72.71,72.59,72.69
15/01/2020,72.69,72.77,72.56,72.56
15/01/2020,72.56,72.72,72.35,72.43
15/01/2020,72.42,72.77,72.41,72.67
15/01/2020,72.65,72.72,72.58,72.71
15/01/2020,72.71,72.95,72.68,72.92
16/01/2020,72.93,72.96,72.86,72.91
16/01/2020,72.91,73.12,72.85,73.11
16/01/2020,73.1,73.29,73.07,73.2
16/01/2020,73.19,73.34,73.01,73.04
16/01/2020,73.04,73.16,72.97,73.08
16/01/2020,73.07,73.18,73,73.14
17/01/2020,73.17,73.26,73.14,73.19
17/01/2020,73.2,73.29,73.08,73.16
17/01/2020,73.16,73.19,72.83,72.91
17/01/2020,72.92,72.98,72.77,72.85
17/01/2020,72.85,72.87,72.79,72.8
19/01/2020,72.77,72.94,72.77,72.92
20/01/2020,72.91,72.97,72.88,72.94
20/01/2020,72.94,72.98,72.73,72.81
20/01/2020,72.8,72.84,72.67,72.74
20/01/2020,72.73,72.77,72.62,72.76
20/01/2020,72.76,72.89,72.68,72.8
20/01/2020,72.8,72.85,72.5,72.54
21/01/2020,72.54,72.72,72.49,72.56
21/01/2020,72.57,72.65,72.44,72.54
21/01/2020,72.54,72.79,72.53,72.74
21/01/2020,72.74,72.81,72.55,72.57
21/01/2020,72.56,72.58,72.35,72.46
21/01/2020,72.46,72.52,72.32,72.37
