date,open,high,low,close
01/01/2020,0.67138,0.67188,0.67138,0.67188
01/01/2020,0.67216,0.67391,0.6713,0.67311
02/01/2020,0.6731,0.67326,0.67139,0.67221
02/01/2020,0.67222,0.67248,0.67072,0.67085
02/01/2020,0.6709,0.67103,0.66846,0.67013
02/01/2020,0.67014,0.67135,0.66845,0.66881
02/01/2020,0.6688,0.66999,0.66857,0.66997
02/01/2020,0.67004,0.67005,0.66825,0.66827
03/01/2020,0.66827,0.6688,0.66634,0.66685
03/01/2020,0.66686,0.66737,0.66493,0.66496
03/01/2020,0.66495,0.66702,0.6644,0.66607
03/01/2020,0.66607,0.66747,0.66588,0.66713
03/01/2020,0.66712,0.66713,0.6662,0.66644
05/01/2020,0.66577,0.66657,0.6651,0.66563
06/01/2020,0.66564,0.66616,0.66489,0.66499
06/01/2020,0.66499,0.66717,0.66442,0.66713
06/01/2020,0.6671,0.668,0.66666,0.66722
06/01/2020,0.6672,0.66733,0.66509,0.66707
06/01/2020,0.66707,0.66722,0.6661,0.66713
06/01/2020,0.66712,0.66744,0.66581,0.66718
07/01/2020,0.66716,0.66791,0.6659,0.66596
07/01/2020,0.66598,0.66687,0.66459,0.66511
07/01/2020,0.66511,0.6652,0.66319,0.66328
07/01/2020,0.66327,0.66383,0.66249,0.66367
07/01/2020,0.66367,0.66437,0.66348,0.66417
07/01/2020,0.66398,0.6642,0.66175,0.66327
08/01/2020,0.6633,0.66518,0.66323,0.66414
08/01/2020,0.66415,0.66722,0.66406,0.66586
08/01/2020,0.66585,0.66587,0.66341,0.66395
08/01/2020,0.66393,0.66534,0.66278,0.66516
08/01/2020,0.66514,0.66593,0.66467,0.66474
08/01/2020,0.66472,0.66582,0.66437,0.66514
09/01/2020,0.66514,0.66514,0.66443,0.6649
09/01/2020,0.66491,0.66518,0.66175,0.66243
09/01/2020,0.66243,0.66275,0.66103,0.66158
09/01/2020,0.66158,0.66158,0.65999,0.66084
09/01/2020,0.66083,0.66149,0.66071,0.66136
09/01/2020,0.6613,0.66138,0.66017,0.66055
10/01/2020,0.66056,0.66232,0.66053,0.66216
10/01/2020,0.66218,0.66269,0.66139,0.66167
10/01/2020,0.66167,0.66322,0.66105,0.66151
10/01/2020,0.6615,0.66448,0.66144,0.66377
10/01/2020,0.66377,0.66419,0.6631,0.66312
12/01/2020,0.66376,0.66431,0.66297,0.66411
13/01/2020,0.66409,0.66528,0.66386,0.66482
13/01/2020,0.66481,0.665,0.66312,0.66329
13/01/2020,0.66329,0.66378,0.66215,0.6636
13/01/2020,0.6636,0.66405,0.66202,0.66356
13/01/2020,0.66353,0.66411,0.6629,0.66301
