date,open,high,low,close
01/01/2020,1.29744,1.29851,1.29739,1.29847
01/01/2020,1.29863,1.29868,1.29725,1.29736
02/01/2020,1.29738,1.29958,1.29709,1.29892
02/01/2020,1.29894,1.29921,1.29688,1.29813
02/01/2020,1.29813,1.30083,1.29804,1.2993
02/01/2020,1.2993,1.30068,1.29758,1.29966
02/01/2020,1.29961,1.29993,1.29848,1.29864
02/01/2020,1.29822,1.29871,1.29777,1.29827
03/01/2020,1.29826,1.29993,1.29755,1.29949
03/01/2020,1.29949,1.29963,1.2961,1.29837
03/01/2020,1.29837,1.30054,1.29725,1.2991
03/01/2020,1.2991,1.29968,1.29764,1.29843
03/01/2020,1.29843,1.30071,1.29843,1.30001
05/01/2020,1.29868,1.29903,1.29769,1.29814
06/01/2020,1.29815,1.29829,1.29754,1.29769
06/01/2020,1.29768,1.29875,1.29643,1.29671
06/01/2020,1.29672,1.29805,1.29641,1.29708
06/01/2020,1.29704,1.29898,1.29614,1.29654
06/01/2020,1.29654,1.29715,1.29601,1.2965
06/01/2020,1.2966,1.2966,1.29598,1.29614
07/01/2020,1.29613,1.29697,1.29598,1.29693
07/01/2020,1.29694,1.29785,1.2957,1.29704
07/01/2020,1.29706,1.30142,1.29692,1.30068
07/01/2020,1.30067,1.30296,1.30009,1.30132
07/01/2020,1.30133,1.30137,1.30002,1.30044
07/01/2020,1.30034,1.30074,1.29822,1.29828
08/01/2020,1.29828,1.29883,1.29801,1.29857
08/01/2020,1.29856,1.3008,1.29763,1.30031
08/01/2020,1.3003,1.3024,1.3003,1.3014
08/01/2020,1.3014,1.30437,1.301,1.30285
08/01/2020,1.30282,1.30397,1.30233,1.30395
08/01/2020,1.30375,1.30402,1.30261,1.30292
09/01/2020,1.30292,1.30407,1.30285,1.30378
09/01/2020,1.3038,1.30561,1.30356,1.30561
09/01/2020,1.30562,1.30647,1.30425,1.30569
09/01/2020,1.3057,1.31048,1.30565,1.30891
09/01/2020,1.30891,1.30945,1.30535,1.30548
09/01/2020,1.30548,1.3069,1.30535,1.30651
10/01/2020,1.3065,1.3067,1.30601,1.30609
10/01/2020,1.3061,1.30748,1.3054,1.30704
10/01/2020,1.30704,1.30756,1.30289,1.30418
10/01/2020,1.3042,1.30593,1.30338,1.30467
10/01/2020,1.30467,1.3064,1.30457,1.30498
12/01/2020,1.3053,1.30677,1.30525,1.30557
13/01/2020,1.30556,1.30583,1.30452,1.30462
13/01/2020,1.30462,1.30652,1.30448,1.30591
13/01/2020,1.30592,1.30644,1.30413,1.30434
13/01/2020,1.30435,1.30553,1.30316,1.30486
13/01/2020,1.30485,1.30625,1.30455,1.30558
13/01/2020,1.30544,1.30628,1.30496,1.30605
14/01/2020,1.30604,1.30615,1.30539,1.30607
14/01/2020,1.30606,1.30783,1.30523,1.30719
14/01/2020,1.30719,1.30795,1.30666,1.30755
14/01/2020,1.30754,1.30767,1.30498,1.3051
14/01/2020,1.3051,1.30667,1.30469,1.30612
14/01/2020,1.30571,1.30721,1.30531,1.30678
15/01/2020,1.30677,1.30696,1.30558,1.30575
15/01/2020,1.30574,1.30782,1.30571,1.30762
15/01/2020,1.30762,1.30776,1.30601,1.30709
15/01/2020,1.30707,1.30714,1.30351,1.30377
15/01/2020,1.30376,1.30507,1.3036,1.30421
15/01/2020,1.30422,1.30442,1.3035,1.30429
16/01/2020,1.30428,1.3046,1.30424,1.30455
16/01/2020,1.30456,1.30481,1.30321,1.30339
16/01/2020,1.30338,1.30442,1.30324,1.30418
16/01/2020,1.30419,1.30561,1.3037,1.30415
16/01/2020,1.30415,1.30525,1.30395,1.30412
16/01/2020,1.30412,1.30525,1.30386,1.30475
17/01/2020,1.3047,1.30517,1.3042,1.30497
17/01/2020,1.30494,1.30518,1.30339,1.30431
17/01/2020,1.30431,1.30584,1.30405,1.30496
17/01/2020,1.30495,1.30751,1.304,1.30667
17/01/2020,1.30666,1.30738,1.30606,1.30652
19/01/2020,1.30592,1.30685,1.30592,1.30665
20/01/2020,1.30666,1.30694,1.30628,1.30631
20/01/2020,1.30633,1.30717,1.30551,1.30657
20/01/2020,1.30657,1.30724,1.30615,1.3063
20/01/2020,1.30631,1.30667,1.30441,1.30505
20/01/2020,1.30505,1.30508,1.30439,1.30469
20/01/2020,1.30473,1.30574,1.30445,1.30562
21/01/2020,1.30561,1.30617,1.30541,1.306
21/01/2020,1.306,1.30775,1.30596,1.30716
21/01/2020,1.30712,1.3072,1.30569,1.30645
21/01/2020,1.30645,1.30741,1.30517,1.30693
21/01/2020,1.30693,1.308,1.30646,1.30703
21/01/2020,1.30716,1.30918,1.30689,1.30895
22/01/2020,1.30896,1.30916,1.30799,1.3081
22/01/2020,1.30811,1.30843,1.3066,1.3067
22/01/2020,1.3067,1.30672,1.30362,1.30469
22/01/2020,1.30474,1.31525,1.30447,1.31513
22/01/2020,1.31513,1.31526,1.31319,1.31338
22/01/2020,1.31366,1.31614,1.31328,1.31544
23/01/2020,1.31543,1.31693,1.31538,1.31667
23/01/2020,1.31666,1.31717,1.31555,1.31625
23/01/2020,1.31629,1.31667,1.31514,1.31604
23/01/2020,1.31604,1.31669,1.31348,1.31373
23/01/2020,1.31373,1.31391,1.31242,1.31275
23/01/2020,1.31268,1.31317,1.31242,1.3128
24/01/2020,1.31281,1.31301,1.31243,1.31278
24/01/2020,1.31278,1.31357,1.31212,1.31347
24/01/2020,1.31348,1.31426,1.31183,1.31251
24/01/2020,1.31252,1.31524,1.3124,1.31418
24/01/2020,1.31417,1.31529,1.31391,1.31475
26/01/2020,1.31539,1.31624,1.31476,1.31575
27/01/2020,1.31575,1.31637,1.31573,1.31591
27/01/2020,1.31591,1.31863,1.31589,1.31829
27/01/2020,1.3183,1.3191,1.31754,1.318
27/01/2020,1.318,1.31996,1.31731,1.31777
27/01/2020,1.31776,1.31939,1.3175,1.31939
27/01/2020,1.3193,1.31938,1.31834,1.31892
28/01/2020,1.31894,1.31918,1.31819,1.3182
28/01/2020,1.31821,1.32046,1.31799,1.31983
28/01/2020,1.31983,1.32056,1.31878,1.31908
28/01/2020,1.31909,1.32028,1.31714,1.31785
28/01/2020,1.31784,1.31812,1.31542,1.31554
28/01/2020,1.31552,1.31651,1.31549,1.31645
29/01/2020,1.31646,1.3165,1.31586,1.31629
29/01/2020,1.3163,1.3176,1.31603,1.31729
29/01/2020,1.31729,1.31901,1.31709,1.31891
29/01/2020,1.31892,1.32079,1.31845,1.32
29/01/2020,1.32004,1.32095,1.3191,1.31978
29/01/2020,1.31972,1.32048,1.31883,1.32002
30/01/2020,1.32003,1.32055,1.32,1.32034
30/01/2020,1.32033,1.32244,1.32024,1.32176
30/01/2020,1.32173,1.32251,1.32066,1.32097
30/01/2020,1.32101,1.32266,1.32097,1.3219
30/01/2020,1.32191,1.32256,1.31903,1.32088
30/01/2020,1.32038,1.32133,1.31953,1.32042
31/01/2020,1.32043,1.32084,1.31999,1.32082
31/01/2020,1.32082,1.32339,1.32082,1.32309
31/01/2020,1.32307,1.32449,1.32209,1.32229
31/01/2020,1.32223,1.32393,1.32182,1.32339
31/01/2020,1.32334,1.3253,1.32258,1.32352
02/02/2020,1.32374,1.32492,1.32358,1.32395
03/02/2020,1.32397,1.32497,1.32382,1.32412
03/02/2020,1.32412,1.32556,1.32354,1.32467
03/02/2020,1.32467,1.32487,1.3232,1.32431
03/02/2020,1.32431,1.33038,1.32349,1.32853
03/02/2020,1.32852,1.33016,1.32809,1.32864
03/02/2020,1.32882,1.33018,1.32882,1.32918
04/02/2020,1.32918,1.33,1.32867,1.32919
04/02/2020,1.32914,1.32942,1.3267,1.32747
04/02/2020,1.32747,1.32871,1.32724,1.32841
04/02/2020,1.3284,1.32904,1.32639,1.32757
04/02/2020,1.32757,1.3287,1.32737,1.32773
04/02/2020,1.32771,1.32904,1.32758,1.32841
05/02/2020,1.32841,1.32949,1.32841,1.32924
05/02/2020,1.32924,1.32995,1.32629,1.3268
05/02/2020,1.32681,1.32895,1.32665,1.32857
05/02/2020,1.32858,1.33029,1.32726,1.32778
05/02/2020,1.32778,1.32953,1.32766,1.32816
05/02/2020,1.32826,1.32889,1.32801,1.32836
06/02/2020,1.32836,1.32873,1.32807,1.32814
06/02/2020,1.32813,1.32864,1.32756,1.3284
06/02/2020,1.3284,1.32888,1.32703,1.32824
06/02/2020,1.32823,1.3309,1.32805,1.32889
06/02/2020,1.3289,1.32936,1.32826,1.32844
06/02/2020,1.32839,1.32946,1.32829,1.3288
07/02/2020,1.3288,1.32932,1.32853,1.32931
07/02/2020,1.3293,1.3312,1.32894,1.33102
07/02/2020,1.331,1.33206,1.32792,1.33114
07/02/2020,1.33113,1.33182,1.3301,1.33037
07/02/2020,1.33035,1.33082,1.32954,1.33064
09/02/2020,1.33032,1.3313,1.33028,1.33075
10/02/2020,1.33071,1.33072,1.32894,1.32908
10/02/2020,1.32911,1.33035,1.32883,1.32938
10/02/2020,1.32938,1.33258,1.32884,1.33237
10/02/2020,1.33238,1.33292,1.33125,1.33233
10/02/2020,1.33232,1.33242,1.33152,1.33169
10/02/2020,1.33172,1.33198,1.33081,1.33091
11/02/2020,1.33093,1.3312,1.3297,1.32974
11/02/2020,1.32974,1.3301,1.32891,1.32951
11/02/2020,1.32954,1.33145,1.32881,1.32998
11/02/2020,1.32998,1.33034,1.32765,1.32921
11/02/2020,1.32921,1.32947,1.32859,1.32867
11/02/2020,1.32888,1.32959,1.32828,1.32829
12/02/2020,1.32829,1.32861,1.32774,1.32793
12/02/2020,1.32793,1.32861,1.32648,1.32716
12/02/2020,1.32714,1.32747,1.32583,1.32643
12/02/2020,1.32643,1.32703,1.32357,1.32454
12/02/2020,1.32455,1.32643,1.32423,1.32496
12/02/2020,1.32523,1.3262,1.32406,1.32442
13/02/2020,1.32442,1.32547,1.32423,1.3251
13/02/2020,1.3251,1.32646,1.32473,1.32587
13/02/2020,1.32586,1.3271,1.32464,1.32532
13/02/2020,1.32533,1.32635,1.32402,1.32575
13/02/2020,1.32574,1.32681,1.32568,1.3267
13/02/2020,1.32667,1.32691,1.32589,1.32607
14/02/2020,1.32606,1.32623,1.32551,1.32577
14/02/2020,1.32575,1.32588,1.32478,1.32488
14/02/2020,1.32487,1.32512,1.32357,1.32376
14/02/2020,1.32376,1.32603,1.32368,1.32504
14/02/2020,1.32505,1.32567,1.32423,1.32507
16/02/2020,1.32505,1.32505,1.32419,1.32423
17/02/2020,1.32422,1.3244,1.32334,1.32347
17/02/2020,1.32347,1.3246,1.32298,1.32304
17/02/2020,1.32303,1.32349,1.32251,1.32318
17/02/2020,1.32318,1.32405,1.32262,1.32295
17/02/2020,1.32297,1.32372,1.32295,1.32343
17/02/2020,1.32317,1.32518,1.32313,1.32486
18/02/2020,1.32486,1.32555,1.32454,1.32458
18/02/2020,1.32458,1.32703,1.32426,1.3266
18/02/2020,1.32659,1.32785,1.32523,1.32705
18/02/2020,1.32705,1.32763,1.32503,1.32552
18/02/2020,1.32552,1.32624,1.32488,1.32586
18/02/2020,1.32595,1.32596,1.32518,1.32528
19/02/2020,1.32527,1.32536,1.32443,1.32479
19/02/2020,1.32478,1.32494,1.32287,1.32353
19/02/2020,1.32352,1.32398,1.32152,1.32258
19/02/2020,1.32258,1.32533,1.32216,1.32358
19/02/2020,1.32358,1.32367,1.32193,1.322
19/02/2020,1.3222,1.32262,1.32118,1.32247
20/02/2020,1.32247,1.32402,1.32214,1.32303
20/02/2020,1.32302,1.32568,1.32296,1.32505
20/02/2020,1.32504,1.32656,1.32491,1.32622
20/02/2020,1.32616,1.32689,1.32243,1.32593
20/02/2020,1.32594,1.32647,1.32491,1.32591
20/02/2020,1.32575,1.32628,1.32465,1.32576
21/02/2020,1.32576,1.32673,1.32466,1.32468
21/02/2020,1.32467,1.32685,1.32447,1.32603
21/02/2020,1.32602,1.32669,1.32467,1.32587
21/02/2020,1.32588,1.32648,1.32021,1.32071
21/02/2020,1.32069,1.32265,1.32024,1.32251
23/02/2020,1.3252,1.32666,1.3243,1.32609
24/02/2020,1.32608,1.3272,1.32576,1.32711
