date,open,high,low,close
01/01/2020,108.724,108.736,108.724,108.732
01/01/2020,108.748,108.752,108.59,108.671
02/01/2020,108.666,108.756,108.655,108.741
02/01/2020,108.743,108.842,108.694,108.837
02/01/2020,108.838,108.865,108.656,108.692
02/01/2020,108.692,108.748,108.211,108.527
02/01/2020,108.527,108.57,108.491,108.563
02/01/2020,108.562,108.63,108.164,108.202
03/01/2020,108.203,108.241,108,108.121
03/01/2020,108.122,108.151,107.914,108.067
03/01/2020,108.066,108.161,107.997,108.157
03/01/2020,108.156,108.267,107.915,107.967
03/01/2020,107.968,108.125,107.84,108.081
05/01/2020,107.894,108.121,107.771,107.946
06/01/2020,107.948,108.103,107.929,108.057
06/01/2020,108.06,108.177,107.925,107.983
06/01/2020,107.983,108.162,107.979,108.12
06/01/2020,108.118,108.414,108.065,108.349
06/01/2020,108.346,108.506,108.341,108.371
06/01/2020,108.344,108.461,108.315,108.433
07/01/2020,108.432,108.505,108.421,108.433
07/01/2020,108.434,108.501,108.261,108.466
07/01/2020,108.466,108.483,108.367,108.437
07/01/2020,108.437,108.628,108.317,108.545
07/01/2020,108.545,108.592,108.35,108.451
07/01/2020,108.44,108.512,107.65,108.032
08/01/2020,108.03,108.46,108.004,108.305
08/01/2020,108.309,108.487,108.274,108.446
08/01/2020,108.446,108.815,108.423,108.67
08/01/2020,108.67,109.133,108.616,109.095
08/01/2020,109.096,109.242,109.001,109.127
08/01/2020,109.094,109.254,109.011,109.236
09/01/2020,109.236,109.282,109.149,109.272
09/01/2020,109.275,109.432,109.25,109.431
09/01/2020,109.43,109.487,109.317,109.431
09/01/2020,109.432,109.581,109.426,109.51
09/01/2020,109.51,109.536,109.391,109.524
09/01/2020,109.518,109.582,109.452,109.541
10/01/2020,109.543,109.603,109.505,109.562
10/01/2020,109.563,109.648,109.553,109.639
10/01/2020,109.64,109.689,109.497,109.65
10/01/2020,109.649,109.688,109.431,109.478
10/01/2020,109.478,109.555,109.465,109.466
12/01/2020,109.537,109.636,109.503,109.601
13/01/2020,109.602,109.647,109.585,109.636
13/01/2020,109.637,109.881,109.617,109.849
13/01/2020,109.849,109.923,109.827,109.849
13/01/2020,109.848,109.944,109.8,109.917
13/01/2020,109.918,109.946,109.892,109.945
13/01/2020,109.922,110.212,109.911,110.066
14/01/2020,110.067,110.109,110.015,110.059
14/01/2020,110.059,110.133,109.886,110.02
14/01/2020,110.019,110.113,109.949,110.007
14/01/2020,110.007,110.109,109.931,110.094
14/01/2020,110.094,110.113,109.852,110
14/01/2020,109.973,110.009,109.816,109.951
15/01/2020,109.95,109.962,109.867,109.919
15/01/2020,109.92,109.949,109.847,109.869
15/01/2020,109.868,109.921,109.822,109.831
15/01/2020,109.832,110.004,109.789,109.887
15/01/2020,109.886,109.927,109.851,109.899
15/01/2020,109.889,109.99,109.848,109.928
16/01/2020,109.93,109.948,109.912,109.945
16/01/2020,109.946,110.068,109.933,110
16/01/2020,110.001,110.054,109.926,110.013
16/01/2020,110.013,110.179,109.955,110.149
16/01/2020,110.148,110.175,110.12,110.166
16/01/2020,110.154,110.29,110.149,110.18
17/01/2020,110.189,110.225,110.175,110.197
17/01/2020,110.199,110.254,110.149,110.177
17/01/2020,110.178,110.212,110.086,110.188
17/01/2020,110.188,110.213,110.048,110.139
17/01/2020,110.14,110.181,110.112,110.144
19/01/2020,110.09,110.216,110.085,110.183
20/01/2020,110.184,110.209,110.168,110.179
20/01/2020,110.18,110.188,110.112,110.166
20/01/2020,110.165,110.199,110.157,110.183
20/01/2020,110.182,110.191,110.136,110.181
20/01/2020,110.18,110.185,110.147,110.182
20/01/2020,110.18,110.221,109.905,109.948
21/01/2020,109.947,110.02,109.896,109.935
21/01/2020,109.936,110.022,109.888,109.954
21/01/2020,109.957,110.085,109.954,110.061
21/01/2020,110.062,110.119,109.861,109.918
21/01/2020,109.917,109.947,109.76,109.872
21/01/2020,109.86,109.97,109.826,109.902
