date,open,high,low,close
2020-01-01 ,1.596900,1.596900,1.595800,1.596200
2020-01-01 ,1.597500,1.600700,1.597400,1.598300
2020-01-02 ,1.598300,1.599700,1.598100,1.599400
2020-01-02 ,1.599300,1.600500,1.598400,1.600400
2020-01-02 ,1.600500,1.601400,1.599200,1.600200
2020-01-02 ,1.600100,1.601700,1.599900,1.601100
2020-01-02 ,1.601200,1.601600,1.600200,1.600900
2020-01-02 ,1.600900,1.602300,1.600000,1.601200
2020-01-02 ,1.601200,1.601800,1.599200,1.600200
2020-01-02 ,1.600100,1.600200,1.597400,1.599500
2020-01-02 ,1.599400,1.601300,1.599000,1.599300
2020-01-02 ,1.599300,1.600100,1.598900,1.599300
2020-01-02 ,1.599300,1.599500,1.597400,1.597600
2020-01-02 ,1.597500,1.600200,1.596800,1.599600
2020-01-03 ,1.599600,1.602500,1.599500,1.602200
2020-01-03 ,1.602200,1.604400,1.601400,1.603200
2020-01-03 ,1.603200,1.604700,1.602600,1.604200
2020-01-03 ,1.604200,1.604900,1.603100,1.603700
2020-01-03 ,1.603800,1.606200,1.603000,1.605800
2020-01-03 ,1.605900,1.605900,1.604200,1.605500
2020-01-03 ,1.605400,1.605900,1.602600,1.603600
2020-01-03 ,1.603600,1.605800,1.602700,1.605000
2020-01-03 ,1.604900,1.605700,1.604000,1.604400
2020-01-03 ,1.604500,1.606000,1.604400,1.604800
2020-01-03 ,1.604700,1.606200,1.604400,1.604900
2020-01-05 ,1.608000,1.609900,1.607000,1.607200
2020-01-06 ,1.607300,1.609200,1.604800,1.608400
2020-01-06 ,1.608400,1.609000,1.607000,1.608400
2020-01-06 ,1.608400,1.609100,1.607200,1.609000
2020-01-06 ,1.609000,1.609500,1.606700,1.607400
2020-01-06 ,1.607300,1.609600,1.606200,1.609300
2020-01-06 ,1.609300,1.612700,1.608700,1.612500
2020-01-06 ,1.612500,1.612900,1.610100,1.612400
2020-01-06 ,1.612400,1.615100,1.612000,1.613700
2020-01-06 ,1.613700,1.614700,1.612700,1.614200
2020-01-06 ,1.614100,1.614400,1.613500,1.613900
2020-01-06 ,1.613900,1.614000,1.612500,1.613400
2020-01-06 ,1.613000,1.614500,1.612300,1.613800
2020-01-07 ,1.613800,1.615400,1.613100,1.614600
2020-01-07 ,1.614700,1.615400,1.613100,1.613400
2020-01-07 ,1.613500,1.617800,1.613400,1.617700
2020-01-07 ,1.617600,1.619800,1.616500,1.619300
2020-01-07 ,1.619200,1.622900,1.617900,1.622600
2020-01-07 ,1.622500,1.627000,1.622000,1.626000
2020-01-07 ,1.626000,1.626000,1.624000,1.624600
2020-01-07 ,1.624600,1.625300,1.621100,1.622000
2020-01-07 ,1.622100,1.623800,1.621700,1.622200
2020-01-07 ,1.622200,1.623200,1.622000,1.622400
2020-01-07 ,1.622400,1.624600,1.622200,1.623300
2020-01-07 ,1.623300,1.627600,1.622200,1.625900
2020-01-08 ,1.626000,1.629300,1.623200,1.624900
2020-01-08 ,1.624800,1.625100,1.621000,1.623200
2020-01-08 ,1.623300,1.623600,1.622000,1.622900
2020-01-08 ,1.622900,1.623100,1.619800,1.620300
2020-01-08 ,1.620200,1.621100,1.618300,1.620700
2020-01-08 ,1.620700,1.621600,1.619000,1.619400
2020-01-08 ,1.619400,1.621300,1.618900,1.619200
2020-01-08 ,1.619200,1.623600,1.619100,1.622100
2020-01-08 ,1.622000,1.622700,1.616100,1.616900
2020-01-08 ,1.616800,1.617500,1.616300,1.616900
2020-01-08 ,1.616900,1.618600,1.616400,1.617200
2020-01-08 ,1.617100,1.618700,1.616200,1.616300
2020-01-09 ,1.616300,1.617900,1.615500,1.617100
2020-01-09 ,1.617200,1.618200,1.616400,1.617600
2020-01-09 ,1.617700,1.618400,1.617000,1.617100
2020-01-09 ,1.617000,1.617600,1.615800,1.616600
2020-01-09 ,1.616600,1.620500,1.616200,1.618500
2020-01-09 ,1.618400,1.619300,1.617800,1.619200
2020-01-09 ,1.619200,1.620100,1.618300,1.619100
2020-01-09 ,1.619100,1.620800,1.618400,1.619800
2020-01-09 ,1.619900,1.621700,1.619000,1.620500
2020-01-09 ,1.620600,1.621400,1.620000,1.621000
2020-01-09 ,1.620900,1.621000,1.619100,1.619200
2020-01-09 ,1.619100,1.621200,1.618900,1.620900
2020-01-10 ,1.620900,1.621200,1.616500,1.619800
2020-01-10 ,1.619700,1.620200,1.616900,1.617000
2020-01-10 ,1.616900,1.617000,1.614700,1.614900
2020-01-10 ,1.614800,1.616200,1.614000,1.614800
