date,open,high,low,close
2020-01-01 ,1.082550,1.082950,1.082550,1.082950
2020-01-01 ,1.082790,1.085780,1.082650,1.085710
2020-01-02 ,1.085710,1.086490,1.085660,1.086120
2020-01-02 ,1.086140,1.086610,1.086090,1.086330
2020-01-02 ,1.086340,1.087130,1.085960,1.087010
2020-01-02 ,1.087020,1.087800,1.086930,1.087310
2020-01-02 ,1.087310,1.087640,1.085070,1.086180
2020-01-02 ,1.086190,1.086550,1.085000,1.085980
2020-01-02 ,1.085980,1.086990,1.085710,1.086380
2020-01-02 ,1.086360,1.086360,1.083650,1.085470
2020-01-02 ,1.085460,1.086750,1.085270,1.086600
2020-01-02 ,1.086610,1.086610,1.085730,1.085730
2020-01-02 ,1.085740,1.085940,1.084640,1.085130
2020-01-02 ,1.085020,1.085490,1.084720,1.085180
2020-01-03 ,1.085180,1.085500,1.084000,1.084050
2020-01-03 ,1.084060,1.084300,1.082800,1.083370
2020-01-03 ,1.083380,1.084440,1.083270,1.083950
2020-01-03 ,1.083950,1.084250,1.082380,1.082940
2020-01-03 ,1.082930,1.084940,1.082650,1.084450
2020-01-03 ,1.084450,1.084950,1.083040,1.083650
2020-01-03 ,1.083650,1.084470,1.083080,1.083770
2020-01-03 ,1.083760,1.085250,1.083430,1.083650
2020-01-03 ,1.083620,1.085060,1.083610,1.084610
2020-01-03 ,1.084620,1.085850,1.084450,1.085050
2020-01-03 ,1.085080,1.085470,1.084510,1.085040
2020-01-05 ,1.083710,1.084450,1.083090,1.084320
2020-01-06 ,1.084310,1.084770,1.083790,1.084100
2020-01-06 ,1.084100,1.084480,1.084000,1.084430
2020-01-06 ,1.084430,1.084460,1.084060,1.084180
2020-01-06 ,1.084190,1.084680,1.083290,1.084440
2020-01-06 ,1.084460,1.084840,1.083860,1.084590
2020-01-06 ,1.084570,1.085850,1.084310,1.085650
2020-01-06 ,1.085670,1.085970,1.084910,1.085660
2020-01-06 ,1.085660,1.085780,1.083610,1.083900
2020-01-06 ,1.083920,1.084390,1.083300,1.083930
2020-01-06 ,1.083920,1.084590,1.083550,1.084210
2020-01-06 ,1.084200,1.084380,1.083560,1.083700
2020-01-06 ,1.083710,1.084320,1.083570,1.084310
2020-01-07 ,1.084300,1.084820,1.084020,1.084500
2020-01-07 ,1.084500,1.084940,1.084100,1.084810
2020-01-07 ,1.084830,1.084910,1.084120,1.084190
2020-01-07 ,1.084180,1.085360,1.083410,1.083680
2020-01-07 ,1.083700,1.086030,1.083330,1.085930
2020-01-07 ,1.085930,1.086040,1.084640,1.085040
2020-01-07 ,1.085030,1.085370,1.083640,1.083750
2020-01-07 ,1.083760,1.083760,1.082560,1.082880
2020-01-07 ,1.082870,1.083190,1.080850,1.081480
2020-01-07 ,1.081480,1.082580,1.081400,1.081940
2020-01-07 ,1.081930,1.082400,1.081250,1.081780
2020-01-07 ,1.081370,1.082420,1.079690,1.080540
2020-01-08 ,1.080540,1.080950,1.078860,1.080780
2020-01-08 ,1.080770,1.082830,1.080770,1.081880
2020-01-08 ,1.081900,1.082010,1.081370,1.081760
2020-01-08 ,1.081780,1.082860,1.081450,1.082410
2020-01-08 ,1.082440,1.082440,1.080740,1.081950
2020-01-08 ,1.081930,1.082380,1.080820,1.081710
2020-01-08 ,1.081700,1.081720,1.078540,1.078800
2020-01-08 ,1.078810,1.079650,1.078230,1.078960
2020-01-08 ,1.078970,1.082470,1.078790,1.082100
2020-01-08 ,1.082090,1.082240,1.081700,1.081870
2020-01-08 ,1.081880,1.081970,1.081170,1.081380
2020-01-08 ,1.081260,1.081840,1.080920,1.081630
2020-01-09 ,1.081630,1.082900,1.081390,1.082790
2020-01-09 ,1.082800,1.082970,1.082620,1.082910
2020-01-09 ,1.082910,1.082980,1.082440,1.082790
2020-01-09 ,1.082790,1.083280,1.082040,1.083190
2020-01-09 ,1.083160,1.083170,1.081270,1.081330
2020-01-09 ,1.081320,1.082270,1.081270,1.081520
2020-01-09 ,1.081530,1.082070,1.079460,1.080320
2020-01-09 ,1.080310,1.080680,1.079610,1.080280
2020-01-09 ,1.080270,1.080330,1.079640,1.080070
2020-01-09 ,1.080070,1.080970,1.079730,1.080620
2020-01-09 ,1.080610,1.081290,1.080570,1.080820
2020-01-09 ,1.080590,1.081270,1.080110,1.081130
2020-01-10 ,1.081140,1.081340,1.080820,1.081040
2020-01-10 ,1.081050,1.081260,1.080840,1.081110
2020-01-10 ,1.081100,1.081130,1.080600,1.080750
2020-01-10 ,1.080750,1.081490,1.080540,1.081490
2020-01-10 ,1.081450,1.081770,1.080790,1.081490
2020-01-10 ,1.081500,1.082340,1.081270,1.081920
2020-01-10 ,1.081910,1.082950,1.081660,1.082620
2020-01-10 ,1.082610,1.082610,1.081020,1.081640
2020-01-10 ,1.081650,1.081950,1.081090,1.081770
2020-01-10 ,1.081760,1.082280,1.081470,1.081560
2020-01-10 ,1.081550,1.081980,1.081470,1.081700
2020-01-12 ,1.080930,1.082310,1.080410,1.081830
2020-01-13 ,1.081830,1.082580,1.081790,1.082390
2020-01-13 ,1.082390,1.082640,1.082170,1.082540
2020-01-13 ,1.082530,1.082940,1.082450,1.082820
2020-01-13 ,1.082820,1.083320,1.082470,1.082750
2020-01-13 ,1.082760,1.083140,1.081280,1.081290
2020-01-13 ,1.081290,1.081820,1.080880,1.080980
2020-01-13 ,1.080970,1.081740,1.080180,1.080530
2020-01-13 ,1.080510,1.080990,1.079730,1.080890
2020-01-13 ,1.080870,1.081420,1.079980,1.080560
2020-01-13 ,1.080560,1.081280,1.080470,1.081200
2020-01-13 ,1.081190,1.081250,1.080890,1.080940
2020-01-13 ,1.080970,1.081120,1.080690,1.081090
2020-01-14 ,1.081090,1.081540,1.080860,1.081480
