date,open,high,low,close
2020-01-01 ,1.666700,1.666700,1.665500,1.666700
2020-01-01 ,1.667200,1.667900,1.665100,1.665300
2020-01-02 ,1.665200,1.667400,1.664500,1.666900
2020-01-02 ,1.666900,1.668100,1.666300,1.667900
2020-01-02 ,1.668000,1.668500,1.666100,1.666600
2020-01-02 ,1.666600,1.668500,1.666500,1.667600
2020-01-02 ,1.667700,1.669900,1.666900,1.669800
2020-01-02 ,1.669700,1.673500,1.669000,1.672100
2020-01-02 ,1.672100,1.673600,1.670200,1.670600
2020-01-02 ,1.670500,1.670900,1.665500,1.668500
2020-01-02 ,1.668600,1.670900,1.667400,1.669900
2020-01-02 ,1.669900,1.670400,1.668000,1.668100
2020-01-02 ,1.668200,1.668800,1.665600,1.666400
2020-01-02 ,1.666700,1.668300,1.665000,1.667500
2020-01-03 ,1.667600,1.672400,1.667400,1.671800
2020-01-03 ,1.671700,1.674600,1.670800,1.673400
2020-01-03 ,1.673300,1.675500,1.672900,1.674300
2020-01-03 ,1.674400,1.675600,1.673300,1.673600
2020-01-03 ,1.673500,1.675500,1.671600,1.675200
2020-01-03 ,1.675100,1.675500,1.672200,1.672800
2020-01-03 ,1.672900,1.673400,1.670500,1.672100
2020-01-03 ,1.672000,1.674600,1.671000,1.674000
2020-01-03 ,1.674000,1.675400,1.673900,1.674400
2020-01-03 ,1.674500,1.675400,1.673600,1.674600
2020-01-03 ,1.674500,1.674900,1.673400,1.673700
2020-01-05 ,1.676300,1.678100,1.675400,1.677100
2020-01-06 ,1.677100,1.677200,1.674800,1.676800
2020-01-06 ,1.676900,1.679000,1.675700,1.678300
2020-01-06 ,1.678400,1.678900,1.677500,1.678400
2020-01-06 ,1.678400,1.679200,1.676700,1.677000
2020-01-06 ,1.677100,1.677900,1.675400,1.677600
2020-01-06 ,1.677700,1.678700,1.676900,1.677800
2020-01-06 ,1.677800,1.679000,1.676100,1.678100
2020-01-06 ,1.678100,1.681500,1.676900,1.677200
