date,open,high,low,close
2020-01-01 ,1.121040,1.121040,1.120320,1.120770
2020-01-01 ,1.121160,1.122190,1.121050,1.121890
2020-01-02 ,1.121890,1.122450,1.121580,1.122100
2020-01-02 ,1.122090,1.122450,1.121250,1.121330
2020-01-02 ,1.121340,1.121440,1.120090,1.120450
2020-01-02 ,1.120440,1.121030,1.120380,1.120990
2020-01-02 ,1.120990,1.121400,1.120120,1.120310
2020-01-02 ,1.120310,1.120380,1.118430,1.118480
2020-01-02 ,1.118470,1.119700,1.118310,1.119620
2020-01-02 ,1.119630,1.120230,1.117010,1.120060
2020-01-02 ,1.120090,1.120310,1.116370,1.116980
2020-01-02 ,1.117000,1.117230,1.116370,1.116650
2020-01-02 ,1.116630,1.117340,1.116600,1.117220
2020-01-02 ,1.117180,1.117350,1.116810,1.117090
2020-01-03 ,1.117090,1.117850,1.116980,1.117360
2020-01-03 ,1.117350,1.117760,1.116960,1.117220
2020-01-03 ,1.117210,1.117500,1.116440,1.116640
2020-01-03 ,1.116640,1.117160,1.115220,1.115330
2020-01-03 ,1.115340,1.116050,1.114000,1.114010
2020-01-03 ,1.114020,1.114340,1.112510,1.113000
2020-01-03 ,1.113000,1.114890,1.112820,1.113830
2020-01-03 ,1.113810,1.116740,1.113530,1.116350
2020-01-03 ,1.116340,1.117990,1.116250,1.117220
2020-01-03 ,1.117210,1.117330,1.116130,1.116740
2020-01-03 ,1.116750,1.116750,1.115190,1.115750
2020-01-05 ,1.116490,1.116770,1.115880,1.116050
2020-01-06 ,1.116030,1.116830,1.116010,1.116280
2020-01-06 ,1.116290,1.117110,1.116250,1.116590
2020-01-06 ,1.116600,1.116630,1.116060,1.116240
2020-01-06 ,1.116230,1.116670,1.115720,1.116470
2020-01-06 ,1.116500,1.119380,1.116320,1.119340
2020-01-06 ,1.119340,1.120560,1.119000,1.120330
2020-01-06 ,1.120330,1.120430,1.119120,1.119770
2020-01-06 ,1.119770,1.120020,1.118220,1.118870
2020-01-06 ,1.118890,1.119600,1.118100,1.119510
2020-01-06 ,1.119520,1.119800,1.118800,1.119130
2020-01-06 ,1.119140,1.119910,1.118900,1.119710
