date,open,high,low,close
2020-01-01 ,1.886630,1.887870,1.886480,1.886480
2020-01-01 ,1.887710,1.890820,1.887260,1.887750
2020-01-02 ,1.887780,1.890610,1.887510,1.889470
2020-01-02 ,1.889460,1.889480,1.883660,1.885360
2020-01-02 ,1.885340,1.888440,1.884190,1.887190
2020-01-02 ,1.887170,1.890140,1.886930,1.888290
2020-01-02 ,1.888300,1.889090,1.886580,1.888340
2020-01-02 ,1.888320,1.890010,1.887080,1.889740
2020-01-02 ,1.889680,1.891000,1.882230,1.883220
2020-01-02 ,1.883210,1.886140,1.879130,1.883470
2020-01-02 ,1.883490,1.884170,1.878910,1.880600
2020-01-02 ,1.880610,1.882300,1.879900,1.880370
2020-01-02 ,1.880440,1.881670,1.877910,1.878550
2020-01-02 ,1.878360,1.883040,1.877770,1.882600
2020-01-03 ,1.882540,1.885030,1.881980,1.883900
2020-01-03 ,1.884010,1.885990,1.882690,1.885160
2020-01-03 ,1.885140,1.885540,1.883810,1.885060
2020-01-03 ,1.885060,1.885220,1.881320,1.882420
2020-01-03 ,1.882420,1.886030,1.881560,1.883740
2020-01-03 ,1.883730,1.886440,1.883030,1.883690
2020-01-03 ,1.883690,1.885060,1.881290,1.882120
2020-01-03 ,1.882100,1.883830,1.878010,1.879340
2020-01-03 ,1.879260,1.881330,1.878690,1.879610
2020-01-03 ,1.879610,1.881460,1.878950,1.879450
2020-01-03 ,1.879430,1.882370,1.879360,1.881330
2020-01-05 ,1.884540,1.885830,1.881560,1.883340
2020-01-06 ,1.883350,1.885520,1.880490,1.884510
2020-01-06 ,1.884510,1.885220,1.883260,1.884440
2020-01-06 ,1.884440,1.885740,1.883860,1.885640
2020-01-06 ,1.885640,1.885970,1.881360,1.882180
2020-01-06 ,1.882190,1.890710,1.880270,1.889680
2020-01-06 ,1.889660,1.895210,1.888870,1.893700
2020-01-06 ,1.893710,1.893710,1.890360,1.892180
2020-01-06 ,1.892180,1.898610,1.891290,1.897900
