date,open,high,low,close
2020-01-01 ,1.719680,1.719680,1.719660,1.719680
2020-01-01 ,1.720320,1.720760,1.719070,1.719240
2020-01-02 ,1.719240,1.720970,1.718860,1.719700
2020-01-02 ,1.719710,1.719910,1.714540,1.715470
2020-01-02 ,1.715470,1.716520,1.714650,1.716250
2020-01-02 ,1.716290,1.718280,1.714840,1.716700
2020-01-02 ,1.716690,1.717300,1.713600,1.715280
2020-01-02 ,1.715280,1.716800,1.714600,1.716470
2020-01-02 ,1.716390,1.717230,1.710950,1.711950
2020-01-02 ,1.711910,1.713380,1.707310,1.711730
2020-01-02 ,1.711740,1.711980,1.705160,1.706970
2020-01-02 ,1.706900,1.707920,1.704870,1.705480
2020-01-02 ,1.705500,1.707450,1.705410,1.705980
2020-01-02 ,1.705540,1.707090,1.704490,1.706950
2020-01-03 ,1.706950,1.708290,1.705080,1.705560
2020-01-03 ,1.705560,1.707350,1.704460,1.706860
2020-01-03 ,1.706820,1.707080,1.704670,1.705020
2020-01-03 ,1.705020,1.705070,1.697070,1.697150
2020-01-03 ,1.697160,1.701370,1.696370,1.696680
2020-01-03 ,1.696670,1.699640,1.696530,1.697940
2020-01-03 ,1.697940,1.701160,1.697210,1.698220
2020-01-03 ,1.698170,1.700160,1.696690,1.696870
2020-01-03 ,1.696890,1.700610,1.696630,1.699380
2020-01-03 ,1.699380,1.700520,1.698580,1.699070
2020-01-03 ,1.699110,1.700560,1.697520,1.700410
2020-01-05 ,1.699280,1.699290,1.696460,1.698570
2020-01-06 ,1.698570,1.699090,1.697110,1.697810
2020-01-06 ,1.697810,1.698810,1.697710,1.697720
2020-01-06 ,1.697740,1.698050,1.697310,1.697450
2020-01-06 ,1.697490,1.699850,1.696210,1.696840
2020-01-06 ,1.696950,1.704900,1.696470,1.704250
2020-01-06 ,1.704370,1.708720,1.703790,1.706920
2020-01-06 ,1.706880,1.706880,1.703720,1.704380
2020-01-06 ,1.704390,1.708020,1.704260,1.707080
2020-01-06 ,1.707070,1.708610,1.705830,1.706110
2020-01-06 ,1.706120,1.707100,1.705920,1.706530
2020-01-06 ,1.706530,1.707600,1.706080,1.707300
2020-01-06 ,1.707260,1.708370,1.706370,1.707430
2020-01-07 ,1.707420,1.707820,1.706830,1.707210
2020-01-07 ,1.707190,1.708280,1.706720,1.708020
2020-01-07 ,1.708000,1.708210,1.705760,1.706010
2020-01-07 ,1.706080,1.706870,1.704670,1.705450
2020-01-07 ,1.705470,1.712630,1.705380,1.708580
2020-01-07 ,1.708590,1.708990,1.706170,1.706930
2020-01-07 ,1.706930,1.707010,1.701760,1.706250
2020-01-07 ,1.706240,1.708920,1.704860,1.707660
2020-01-07 ,1.707690,1.709600,1.706000,1.708310
2020-01-07 ,1.708290,1.708900,1.705930,1.706240
2020-01-07 ,1.706240,1.706980,1.705470,1.706290
2020-01-07 ,1.706570,1.706570,1.703730,1.704880
2020-01-08 ,1.704900,1.705740,1.702800,1.702900
2020-01-08 ,1.703050,1.705900,1.702980,1.704730
2020-01-08 ,1.704740,1.705230,1.702970,1.703370
2020-01-08 ,1.703360,1.708040,1.703180,1.707650
2020-01-08 ,1.707640,1.712070,1.704590,1.706050
2020-01-08 ,1.705990,1.709090,1.702870,1.705740
2020-01-08 ,1.705740,1.708060,1.703230,1.707650
2020-01-08 ,1.707660,1.709820,1.706530,1.707630
2020-01-08 ,1.707690,1.709160,1.705450,1.707350
2020-01-08 ,1.707360,1.707800,1.706490,1.706720
2020-01-08 ,1.706740,1.707630,1.706230,1.707350
2020-01-08 ,1.707350,1.708680,1.706990,1.708410
2020-01-09 ,1.708400,1.708990,1.707770,1.708350
2020-01-09 ,1.708360,1.709200,1.707700,1.708570
2020-01-09 ,1.708570,1.710510,1.708430,1.710090
2020-01-09 ,1.710060,1.710970,1.708540,1.709500
2020-01-09 ,1.709470,1.710040,1.699210,1.700890
2020-01-09 ,1.700850,1.703370,1.698760,1.699290
2020-01-09 ,1.699290,1.706790,1.698450,1.704240
