date,open,high,low,close
2020-01-01 ,1.324510,1.324570,1.324460,1.324550
2020-01-01 ,1.324780,1.326070,1.324570,1.325000
2020-01-02 ,1.325000,1.326610,1.324690,1.325590
2020-01-02 ,1.325580,1.325610,1.320270,1.320960
2020-01-02 ,1.320930,1.321780,1.320210,1.321360
2020-01-02 ,1.321360,1.322940,1.320640,1.321960
2020-01-02 ,1.322020,1.323050,1.320940,1.321430
2020-01-02 ,1.321430,1.321480,1.318890,1.319980
2020-01-02 ,1.319950,1.321260,1.317140,1.317650
2020-01-02 ,1.317620,1.319450,1.313540,1.318910
2020-01-02 ,1.318920,1.318960,1.311540,1.313440
2020-01-02 ,1.313450,1.314360,1.312510,1.312910
2020-01-02 ,1.312900,1.314550,1.312880,1.313710
2020-01-02 ,1.313620,1.314820,1.313140,1.314680
2020-01-03 ,1.314670,1.316020,1.313470,1.313760
2020-01-03 ,1.313820,1.314350,1.312320,1.313630
2020-01-03 ,1.313630,1.313730,1.311570,1.312130
2020-01-03 ,1.312120,1.312400,1.308310,1.309140
2020-01-03 ,1.309120,1.311810,1.306660,1.306780
2020-01-03 ,1.306780,1.308820,1.305360,1.305870
2020-01-03 ,1.305870,1.310960,1.305410,1.307260
2020-01-03 ,1.307240,1.309430,1.306740,1.307160
2020-01-03 ,1.307150,1.309900,1.306930,1.308820
2020-01-03 ,1.308810,1.309010,1.307280,1.307840
2020-01-03 ,1.307910,1.308020,1.307090,1.307990
2020-01-05 ,1.308430,1.308470,1.306360,1.307710
2020-01-06 ,1.307750,1.308790,1.307560,1.307900
2020-01-06 ,1.307910,1.309030,1.307900,1.308180
2020-01-06 ,1.308160,1.308690,1.307980,1.308090
2020-01-06 ,1.308090,1.309470,1.306840,1.307300
2020-01-06 ,1.307410,1.314860,1.306410,1.314340
2020-01-06 ,1.314400,1.317450,1.313790,1.315690
2020-01-06 ,1.315690,1.315690,1.313470,1.314040
2020-01-06 ,1.314030,1.316250,1.313350,1.315880
2020-01-06 ,1.315880,1.317450,1.315210,1.315920
