date,open,high,low,close
2020-01-01 ,0.871800,0.872300,0.871700,0.872300
2020-01-01 ,0.872800,0.874300,0.871600,0.873900
2020-01-02 ,0.874000,0.874300,0.873000,0.873200
2020-01-02 ,0.873100,0.873500,0.872600,0.872900
2020-01-02 ,0.872900,0.873300,0.872300,0.873100
2020-01-02 ,0.873000,0.873100,0.872100,0.872800
2020-01-02 ,0.872800,0.873000,0.870700,0.870800
2020-01-02 ,0.870900,0.871400,0.869400,0.869700
2020-01-02 ,0.869600,0.870700,0.868700,0.870600
2020-01-02 ,0.870700,0.871800,0.870100,0.871100
2020-01-02 ,0.871200,0.871300,0.868700,0.869200
2020-01-02 ,0.869100,0.869500,0.868400,0.869500
2020-01-02 ,0.869400,0.870000,0.869100,0.870000
2020-01-02 ,0.869800,0.869900,0.869200,0.869600
2020-01-03 ,0.869700,0.869700,0.867400,0.867500
2020-01-03 ,0.867600,0.868200,0.866900,0.867400
2020-01-03 ,0.867300,0.867600,0.866100,0.866500
2020-01-03 ,0.866500,0.866500,0.863800,0.863800
2020-01-03 ,0.863700,0.865500,0.863200,0.863300
2020-01-03 ,0.863400,0.865100,0.862900,0.865000
2020-01-03 ,0.865000,0.866000,0.864700,0.865200
2020-01-03 ,0.865300,0.866700,0.865000,0.865500
2020-01-03 ,0.865600,0.866800,0.865100,0.866200
2020-01-03 ,0.866100,0.866700,0.865700,0.866200
2020-01-03 ,0.866200,0.866700,0.865400,0.866300
2020-01-05 ,0.864600,0.864800,0.863700,0.864200
2020-01-06 ,0.864200,0.865200,0.863800,0.864000
2020-01-06 ,0.864000,0.864700,0.863100,0.863300
2020-01-06 ,0.863300,0.863500,0.862800,0.862900
2020-01-06 ,0.863000,0.864200,0.862300,0.864000
2020-01-06 ,0.864100,0.865200,0.864000,0.865000
2020-01-06 ,0.864900,0.866300,0.864800,0.866100
2020-01-06 ,0.866200,0.866500,0.865000,0.865400
2020-01-06 ,0.865300,0.865700,0.863700,0.865300
2020-01-06 ,0.865300,0.865300,0.864000,0.864800
2020-01-06 ,0.864800,0.864900,0.863600,0.864000
2020-01-06 ,0.864000,0.865000,0.863900,0.864900
2020-01-06 ,0.865000,0.865000,0.864000,0.864400
2020-01-07 ,0.864400,0.865000,0.862800,0.864700
2020-01-07 ,0.864600,0.865900,0.864400,0.865500
2020-01-07 ,0.865400,0.865500,0.863600,0.863700
2020-01-07 ,0.863700,0.863900,0.862300,0.862700
2020-01-07 ,0.862800,0.864500,0.862300,0.862600
2020-01-07 ,0.862700,0.863100,0.861900,0.862600
2020-01-07 ,0.862600,0.863400,0.862200,0.862700
2020-01-07 ,0.862600,0.863900,0.861900,0.863200
2020-01-07 ,0.863300,0.863800,0.862300,0.863600
2020-01-07 ,0.863600,0.864200,0.863100,0.863700
2020-01-07 ,0.863600,0.863700,0.862800,0.863700
2020-01-07 ,0.863400,0.863500,0.861600,0.862000
2020-01-08 ,0.861900,0.862500,0.860000,0.861100
2020-01-08 ,0.861000,0.863400,0.861000,0.862500
2020-01-08 ,0.862400,0.862800,0.862000,0.862400
2020-01-08 ,0.862500,0.866000,0.862200,0.866000
2020-01-08 ,0.866100,0.866400,0.865000,0.865800
2020-01-08 ,0.865800,0.865800,0.864500,0.865000
2020-01-08 ,0.865000,0.865300,0.863500,0.864000
2020-01-08 ,0.864100,0.864900,0.863200,0.864700
2020-01-08 ,0.864800,0.867200,0.864000,0.866500
2020-01-08 ,0.866400,0.867600,0.866200,0.866500
2020-01-08 ,0.866600,0.867200,0.866000,0.866700
2020-01-08 ,0.866600,0.867800,0.866000,0.867300
2020-01-09 ,0.867400,0.867600,0.865800,0.866600
2020-01-09 ,0.866600,0.866700,0.866000,0.866500
2020-01-09 ,0.866500,0.866900,0.866200,0.866800
2020-01-09 ,0.866900,0.867300,0.866200,0.866300
2020-01-09 ,0.866200,0.866500,0.863800,0.864800
2020-01-09 ,0.864800,0.865100,0.862900,0.863000
2020-01-09 ,0.863000,0.864500,0.862800,0.863800
2020-01-09 ,0.863700,0.865800,0.863300,0.864900
2020-01-09 ,0.864800,0.865400,0.863900,0.864900
2020-01-09 ,0.864900,0.865700,0.863900,0.864100
2020-01-09 ,0.864100,0.864400,0.863200,0.863300
2020-01-09 ,0.863300,0.863600,0.862300,0.863000
2020-01-10 ,0.862900,0.863800,0.862600,0.862900
2020-01-10 ,0.863000,0.863900,0.862900,0.863800
2020-01-10 ,0.863900,0.865000,0.863800,0.864800
2020-01-10 ,0.864900,0.865300,0.864000,0.865000
2020-01-10 ,0.865100,0.865600,0.864500,0.864800
2020-01-10 ,0.864800,0.865700,0.864100,0.865000
2020-01-10 ,0.865100,0.865100,0.862500,0.862700
2020-01-10 ,0.862600,0.866900,0.862200,0.866400
2020-01-10 ,0.866300,0.867200,0.865600,0.865900
2020-01-10 ,0.866000,0.867200,0.865700,0.866900
2020-01-10 ,0.866900,0.867300,0.865100,0.865100
2020-01-12 ,0.866400,0.867200,0.866000,0.867100
2020-01-13 ,0.867200,0.867200,0.866100,0.867000
2020-01-13 ,0.866900,0.867900,0.866500,0.867800
2020-01-13 ,0.867800,0.867900,0.867100,0.867300
2020-01-13 ,0.867200,0.868100,0.866800,0.867700
2020-01-13 ,0.867700,0.867900,0.865700,0.866100
2020-01-13 ,0.866100,0.866200,0.864800,0.865600
2020-01-13 ,0.865700,0.865800,0.864400,0.865500
2020-01-13 ,0.865600,0.866100,0.863800,0.865000
2020-01-13 ,0.864900,0.866100,0.864900,0.865800
2020-01-13 ,0.865700,0.866500,0.865100,0.865100
2020-01-13 ,0.865200,0.866300,0.865100,0.865600
2020-01-13 ,0.865500,0.865800,0.864800,0.864900
2020-01-14 ,0.865000,0.865400,0.864000,0.864800
2020-01-14 ,0.864800,0.865500,0.864700,0.865200
2020-01-14 ,0.865100,0.865600,0.864700,0.865000
2020-01-14 ,0.865100,0.866400,0.865000,0.866400
2020-01-14 ,0.866500,0.866800,0.865400,0.865600
2020-01-14 ,0.865600,0.865800,0.864400,0.865400
2020-01-14 ,0.865400,0.865400,0.863800,0.864700
2020-01-14 ,0.864600,0.865000,0.863100,0.863300
2020-01-14 ,0.863300,0.863900,0.863000,0.863400
2020-01-14 ,0.863300,0.864200,0.863200,0.864000
2020-01-14 ,0.864000,0.864100,0.863300,0.863700
2020-01-14 ,0.863400,0.864100,0.863000,0.863200
2020-01-15 ,0.863300,0.863900,0.862900,0.863600
2020-01-15 ,0.863500,0.864100,0.862800,0.862900
2020-01-15 ,0.863000,0.863700,0.862900,0.863500
2020-01-15 ,0.863500,0.864400,0.863200,0.863700
2020-01-15 ,0.863600,0.864200,0.863000,0.863600
2020-01-15 ,0.863600,0.865300,0.863500,0.863900
2020-01-15 ,0.864000,0.864200,0.860700,0.862000
2020-01-15 ,0.861900,0.863200,0.861000,0.861600
2020-01-15 ,0.861600,0.863200,0.861200,0.862200
2020-01-15 ,0.862300,0.862800,0.861600,0.861600
2020-01-15 ,0.861700,0.863200,0.861700,0.863100
2020-01-15 ,0.863000,0.863400,0.862700,0.863100
2020-01-16 ,0.863000,0.865400,0.863000,0.865200
2020-01-16 ,0.865200,0.865700,0.864700,0.865000
2020-01-16 ,0.864900,0.865500,0.864600,0.865100
2020-01-16 ,0.865100,0.865400,0.864500,0.865100
2020-01-16 ,0.865200,0.866600,0.865100,0.866300
2020-01-16 ,0.866300,0.867500,0.866100,0.867100
2020-01-16 ,0.867000,0.868900,0.866800,0.867800
2020-01-16 ,0.867900,0.868800,0.865800,0.866300
2020-01-16 ,0.866300,0.866300,0.864500,0.864900
2020-01-16 ,0.864800,0.865700,0.864700,0.865600
2020-01-16 ,0.865500,0.866400,0.865000,0.865200
2020-01-16 ,0.865300,0.865600,0.864300,0.865500
2020-01-17 ,0.865400,0.866300,0.864700,0.866200
2020-01-17 ,0.866300,0.867200,0.865900,0.866700
2020-01-17 ,0.866600,0.867100,0.866600,0.866800
2020-01-17 ,0.866900,0.867200,0.866300,0.866400
2020-01-17 ,0.866500,0.866900,0.865400,0.866200
2020-01-17 ,0.866100,0.866400,0.863900,0.865000
2020-01-17 ,0.865000,0.865300,0.863500,0.863600
2020-01-17 ,0.863700,0.864500,0.863200,0.863300
2020-01-17 ,0.863400,0.864600,0.863200,0.864300
2020-01-17 ,0.864400,0.864600,0.863900,0.863900
2020-01-17 ,0.863900,0.864300,0.862900,0.863700
2020-01-19 ,0.863400,0.864800,0.863400,0.864600
2020-01-20 ,0.864600,0.864900,0.864200,0.864700
2020-01-20 ,0.864600,0.865100,0.864300,0.865100
2020-01-20 ,0.865100,0.865200,0.864700,0.864800
