date,open,high,low,close
2020-01-01 ,1.297440,1.298510,1.297390,1.298470
2020-01-01 ,1.298630,1.298680,1.297520,1.297610
2020-01-02 ,1.297590,1.297900,1.297250,1.297360
2020-01-02 ,1.297380,1.298770,1.297090,1.298700
2020-01-02 ,1.298700,1.299580,1.298520,1.298920
2020-01-02 ,1.298940,1.299210,1.298010,1.298660
2020-01-02 ,1.298650,1.298740,1.296880,1.298130
2020-01-02 ,1.298130,1.300830,1.298040,1.300420
2020-01-02 ,1.300410,1.300800,1.298870,1.299300
2020-01-02 ,1.299300,1.300680,1.297860,1.297890
2020-01-02 ,1.297910,1.300430,1.297580,1.299660
2020-01-02 ,1.299610,1.299930,1.298480,1.299020
2020-01-02 ,1.299050,1.299150,1.298530,1.298640
2020-01-02 ,1.298220,1.298620,1.297990,1.298430
2020-01-03 ,1.298430,1.298710,1.297770,1.298270
2020-01-03 ,1.298260,1.299920,1.297550,1.299400
2020-01-03 ,1.299330,1.299930,1.298920,1.299490
2020-01-03 ,1.299490,1.299630,1.296270,1.296440
2020-01-03 ,1.296480,1.298690,1.296100,1.298370
2020-01-03 ,1.298370,1.300510,1.298070,1.300260
2020-01-03 ,1.300250,1.300540,1.297250,1.299100
2020-01-03 ,1.299100,1.299680,1.297990,1.298150
2020-01-03 ,1.298250,1.299310,1.297640,1.298430
2020-01-03 ,1.298430,1.299890,1.298430,1.299170
2020-01-03 ,1.299160,1.300710,1.298610,1.300010
2020-01-05 ,1.298680,1.299030,1.298580,1.298940
2020-01-06 ,1.298940,1.298960,1.297690,1.298140
2020-01-06 ,1.298150,1.298290,1.297660,1.297790
2020-01-06 ,1.297800,1.297950,1.297540,1.297690
2020-01-06 ,1.297680,1.298430,1.297520,1.297990
2020-01-06 ,1.298000,1.298750,1.296430,1.296710
2020-01-06 ,1.296720,1.297490,1.296410,1.297410
2020-01-06 ,1.297380,1.298050,1.296660,1.297080
2020-01-06 ,1.297040,1.298980,1.297040,1.297340
2020-01-06 ,1.297340,1.297680,1.296140,1.296540
2020-01-06 ,1.296540,1.297150,1.296010,1.296500
2020-01-06 ,1.296490,1.297040,1.296100,1.296500
2020-01-06 ,1.296600,1.296600,1.296010,1.296400
2020-01-07 ,1.296400,1.296460,1.295980,1.296140
2020-01-07 ,1.296130,1.296670,1.295980,1.296570
2020-01-07 ,1.296560,1.296970,1.296200,1.296930
2020-01-07 ,1.296940,1.297650,1.296460,1.297550
2020-01-07 ,1.297550,1.297850,1.295700,1.297040
2020-01-07 ,1.297060,1.298690,1.296920,1.298360
2020-01-07 ,1.298360,1.301420,1.297740,1.300680
2020-01-07 ,1.300670,1.302960,1.300090,1.301440
2020-01-07 ,1.301440,1.301830,1.301120,1.301320
2020-01-07 ,1.301330,1.301370,1.300220,1.300440
2020-01-07 ,1.300460,1.300820,1.300020,1.300440
2020-01-07 ,1.300340,1.300740,1.300010,1.300100
2020-01-08 ,1.300110,1.300390,1.298220,1.298280
2020-01-08 ,1.298280,1.298830,1.298010,1.298280
2020-01-08 ,1.298280,1.298730,1.298120,1.298570
2020-01-08 ,1.298560,1.299170,1.297630,1.298400
2020-01-08 ,1.298390,1.300800,1.298260,1.300310
2020-01-08 ,1.300300,1.301430,1.300300,1.301240
2020-01-08 ,1.301260,1.302400,1.300870,1.301400
2020-01-08 ,1.301400,1.303970,1.301000,1.303560
2020-01-08 ,1.303570,1.304370,1.302190,1.302850
2020-01-08 ,1.302820,1.303810,1.302680,1.302770
2020-01-08 ,1.302760,1.303970,1.302330,1.303950
2020-01-08 ,1.303750,1.304020,1.303040,1.303620
2020-01-09 ,1.303630,1.303780,1.302610,1.302920
2020-01-09 ,1.302920,1.304000,1.302850,1.303680
2020-01-09 ,1.303680,1.304070,1.303540,1.303780
2020-01-09 ,1.303800,1.304340,1.303560,1.303600
2020-01-09 ,1.303610,1.305610,1.303600,1.305610
2020-01-09 ,1.305620,1.305670,1.304910,1.305170
2020-01-09 ,1.305170,1.306470,1.304250,1.305690
2020-01-09 ,1.305700,1.310480,1.305650,1.309720
2020-01-09 ,1.309700,1.309880,1.308820,1.308910
2020-01-09 ,1.308910,1.309450,1.307550,1.307920
2020-01-09 ,1.307950,1.307970,1.305350,1.305480
2020-01-09 ,1.305480,1.306340,1.305350,1.306300
2020-01-10 ,1.306300,1.306900,1.306160,1.306510
2020-01-10 ,1.306500,1.306700,1.306080,1.306350
2020-01-10 ,1.306360,1.306400,1.306010,1.306090
2020-01-10 ,1.306100,1.306140,1.305400,1.306060
2020-01-10 ,1.306030,1.307480,1.305940,1.307040
2020-01-10 ,1.307040,1.307560,1.306690,1.306990
2020-01-10 ,1.306990,1.307230,1.302890,1.304180
2020-01-10 ,1.304200,1.305810,1.303380,1.305150
2020-01-10 ,1.305140,1.305930,1.304340,1.304670
2020-01-10 ,1.304670,1.306080,1.304570,1.305930
2020-01-10 ,1.305930,1.306400,1.304980,1.304980
2020-01-12 ,1.305300,1.306680,1.305250,1.306670
2020-01-13 ,1.306680,1.306770,1.305430,1.305570
2020-01-13 ,1.305560,1.305830,1.304580,1.304590
2020-01-13 ,1.304590,1.304890,1.304520,1.304620
2020-01-13 ,1.304620,1.306240,1.304480,1.306140
2020-01-13 ,1.306150,1.306520,1.305210,1.305910
2020-01-13 ,1.305920,1.306440,1.305510,1.306030
2020-01-13 ,1.306020,1.306120,1.304130,1.304340
2020-01-13 ,1.304350,1.305530,1.303160,1.305220
2020-01-13 ,1.305230,1.305450,1.304510,1.304860
2020-01-13 ,1.304850,1.305150,1.304550,1.304670
2020-01-13 ,1.304660,1.306250,1.304620,1.305580
2020-01-13 ,1.305440,1.305660,1.305260,1.305650
2020-01-14 ,1.305630,1.306280,1.304960,1.306050
2020-01-14 ,1.306040,1.306150,1.305390,1.305820
2020-01-14 ,1.305820,1.306150,1.305630,1.306070
2020-01-14 ,1.306060,1.307240,1.305230,1.306520
2020-01-14 ,1.306510,1.307830,1.306500,1.307190
2020-01-14 ,1.307190,1.307610,1.306660,1.306690
2020-01-14 ,1.306710,1.307950,1.306660,1.307550
2020-01-14 ,1.307540,1.307670,1.306230,1.306680
2020-01-14 ,1.306690,1.306750,1.304980,1.305100
2020-01-14 ,1.305100,1.306020,1.304690,1.305700
2020-01-14 ,1.305710,1.306670,1.305640,1.306120
2020-01-14 ,1.305710,1.306780,1.305310,1.306770
2020-01-15 ,1.306770,1.307210,1.306250,1.306780
2020-01-15 ,1.306770,1.306960,1.306040,1.306090
2020-01-15 ,1.306090,1.306190,1.305580,1.305750
2020-01-15 ,1.305740,1.306290,1.305710,1.305910
2020-01-15 ,1.305910,1.307820,1.305840,1.307620
2020-01-15 ,1.307620,1.307760,1.306330,1.306410
2020-01-15 ,1.306430,1.307760,1.306010,1.307090
2020-01-15 ,1.307070,1.307140,1.304420,1.304730
2020-01-15 ,1.304710,1.304990,1.303510,1.303770
2020-01-15 ,1.303760,1.304840,1.303600,1.304010
2020-01-15 ,1.304020,1.305070,1.304020,1.304210
2020-01-15 ,1.304220,1.304380,1.303970,1.304030
2020-01-16 ,1.304020,1.304420,1.303500,1.304290
2020-01-16 ,1.304280,1.304510,1.304270,1.304420
2020-01-16 ,1.304420,1.304600,1.304240,1.304550
2020-01-16 ,1.304560,1.304810,1.304150,1.304300
2020-01-16 ,1.304300,1.304650,1.303210,1.303390
2020-01-16 ,1.303380,1.303940,1.303240,1.303870
2020-01-16 ,1.303860,1.304420,1.303300,1.304180
2020-01-16 ,1.304190,1.305610,1.303830,1.304350
2020-01-16 ,1.304350,1.304970,1.303700,1.304150
2020-01-16 ,1.304150,1.305250,1.304060,1.304750
2020-01-16 ,1.304750,1.304750,1.303950,1.304120
2020-01-16 ,1.304120,1.304360,1.303860,1.304110
2020-01-17 ,1.304120,1.305250,1.303960,1.304750
2020-01-17 ,1.304700,1.305080,1.304200,1.304860
2020-01-17 ,1.304880,1.305170,1.304850,1.304970
2020-01-17 ,1.304940,1.305180,1.303580,1.303610
2020-01-17 ,1.303580,1.304910,1.303390,1.304310
2020-01-17 ,1.304310,1.305060,1.304050,1.304750
2020-01-17 ,1.304750,1.305840,1.304470,1.304960
2020-01-17 ,1.304950,1.306780,1.304000,1.305830
2020-01-17 ,1.305830,1.307510,1.305810,1.306670
2020-01-17 ,1.306660,1.306840,1.306060,1.306420
2020-01-17 ,1.306410,1.307380,1.306160,1.306520
2020-01-19 ,1.305920,1.306820,1.305920,1.306480
2020-01-20 ,1.306470,1.306850,1.306400,1.306650
2020-01-20 ,1.306660,1.306940,1.306510,1.306530
2020-01-20 ,1.306550,1.306700,1.306280,1.306310
2020-01-20 ,1.306330,1.306690,1.305510,1.306620
2020-01-20 ,1.306610,1.307170,1.306470,1.306570
2020-01-20 ,1.306570,1.307150,1.306550,1.306680
2020-01-20 ,1.306690,1.307240,1.306150,1.306300
2020-01-20 ,1.306310,1.306670,1.305390,1.305760
2020-01-20 ,1.305750,1.306050,1.304410,1.305050
2020-01-20 ,1.305050,1.305080,1.304420,1.304530
2020-01-20 ,1.304530,1.304900,1.304390,1.304690
2020-01-20 ,1.304730,1.304740,1.304450,1.304600
2020-01-21 ,1.304580,1.305740,1.304460,1.305620
2020-01-21 ,1.305610,1.306170,1.305410,1.305550
2020-01-21 ,1.305560,1.306130,1.305520,1.306000
2020-01-21 ,1.306000,1.306940,1.305960,1.306900
2020-01-21 ,1.306900,1.307750,1.306880,1.307160
2020-01-21 ,1.307120,1.307200,1.306370,1.306600
2020-01-21 ,1.306600,1.306720,1.305690,1.306450
2020-01-21 ,1.306450,1.307410,1.305170,1.306400
2020-01-21 ,1.306400,1.307380,1.306390,1.306930
2020-01-21 ,1.306930,1.307650,1.306460,1.307100
2020-01-21 ,1.307090,1.308000,1.306880,1.307030
2020-01-21 ,1.307160,1.307450,1.306890,1.307430
2020-01-22 ,1.307420,1.309180,1.307220,1.308950
2020-01-22 ,1.308960,1.309160,1.308160,1.308530
2020-01-22 ,1.308540,1.308560,1.307990,1.308100
2020-01-22 ,1.308110,1.308430,1.307640,1.307780
2020-01-22 ,1.307800,1.308290,1.306600,1.306700
2020-01-22 ,1.306700,1.306720,1.306180,1.306220
2020-01-22 ,1.306210,1.306270,1.303620,1.304690
2020-01-22 ,1.304740,1.314020,1.304470,1.311880
2020-01-22 ,1.311890,1.315250,1.309850,1.315130
2020-01-22 ,1.315130,1.315260,1.314180,1.314300
2020-01-22 ,1.314290,1.314290,1.313190,1.313380
2020-01-22 ,1.313660,1.314280,1.313280,1.314240
2020-01-23 ,1.314240,1.316140,1.314160,1.315440
2020-01-23 ,1.315430,1.316370,1.315380,1.316350
2020-01-23 ,1.316350,1.316930,1.316340,1.316670
2020-01-23 ,1.316660,1.317170,1.315550,1.315890
2020-01-23 ,1.315910,1.316510,1.315690,1.316250
2020-01-23 ,1.316290,1.316670,1.315140,1.315480
2020-01-23 ,1.315480,1.316660,1.315210,1.316040
2020-01-23 ,1.316040,1.316690,1.314210,1.314750
2020-01-23 ,1.314760,1.315470,1.313480,1.313730
2020-01-23 ,1.313730,1.313910,1.312680,1.312780
2020-01-23 ,1.312780,1.313110,1.312420,1.312750
2020-01-23 ,1.312680,1.313010,1.312420,1.312790
2020-01-24 ,1.312780,1.313170,1.312640,1.312800
2020-01-24 ,1.312810,1.313010,1.312430,1.312880
2020-01-24 ,1.312880,1.312940,1.312610,1.312780
2020-01-24 ,1.312780,1.313110,1.312380,1.312980
2020-01-24 ,1.313010,1.313570,1.312120,1.313470
2020-01-24 ,1.313480,1.314260,1.313150,1.313440
2020-01-24 ,1.313440,1.314080,1.311830,1.312510
2020-01-24 ,1.312520,1.314230,1.312400,1.313760
2020-01-24 ,1.313800,1.315240,1.313780,1.314180
2020-01-24 ,1.314170,1.315290,1.313970,1.314230
2020-01-24 ,1.314230,1.314980,1.313910,1.314750
