date,open,high,low,close
2020-07-17 ,1.633100,1.633300,1.630200,1.630800
2020-07-17 ,1.630700,1.631400,1.629100,1.629900
2020-07-17 ,1.630000,1.630300,1.629400,1.630100
2020-07-17 ,1.630100,1.630100,1.628700,1.629400
2020-07-17 ,1.629300,1.632700,1.628800,1.632600
2020-07-17 ,1.632500,1.635600,1.632400,1.635400
2020-07-17 ,1.635300,1.637400,1.635200,1.636800
2020-07-17 ,1.636800,1.638700,1.635200,1.635500
2020-07-17 ,1.635500,1.635700,1.634000,1.634500
2020-07-17 ,1.634600,1.635800,1.633200,1.633500
2020-07-17 ,1.633600,1.634200,1.632800,1.633400
2020-07-19 ,1.631300,1.634500,1.631300,1.634000
2020-07-20 ,1.633900,1.634700,1.633100,1.634000
2020-07-20 ,1.634000,1.636900,1.633500,1.636800
2020-07-20 ,1.636900,1.637300,1.634700,1.637300
2020-07-20 ,1.637300,1.640600,1.636700,1.639000
2020-07-20 ,1.639100,1.639600,1.636700,1.637500
2020-07-20 ,1.637500,1.638600,1.636500,1.636800
2020-07-20 ,1.636800,1.637200,1.632300,1.632800
2020-07-20 ,1.632700,1.633600,1.629500,1.631600
2020-07-20 ,1.631600,1.633800,1.631500,1.632600
2020-07-20 ,1.632700,1.632800,1.631200,1.631500
2020-07-20 ,1.631600,1.631900,1.631000,1.631200
2020-07-20 ,1.630800,1.631100,1.630400,1.631000
2020-07-21 ,1.631000,1.631800,1.629400,1.630700
2020-07-21 ,1.630700,1.632400,1.629100,1.630800
2020-07-21 ,1.630900,1.631600,1.628100,1.628400
2020-07-21 ,1.628300,1.628500,1.625200,1.625600
2020-07-21 ,1.625700,1.626700,1.620800,1.622000
2020-07-21 ,1.621900,1.622300,1.615900,1.616200
2020-07-21 ,1.616200,1.617400,1.612100,1.612500
2020-07-21 ,1.612400,1.617400,1.611600,1.616400
2020-07-21 ,1.616400,1.618200,1.614400,1.617700
2020-07-21 ,1.617700,1.618100,1.613300,1.613700
2020-07-21 ,1.613800,1.618300,1.613400,1.616900
2020-07-21 ,1.617200,1.617900,1.614200,1.616200
2020-07-22 ,1.616200,1.618100,1.614700,1.618100
2020-07-22 ,1.618200,1.618800,1.615700,1.617200
2020-07-22 ,1.617100,1.618200,1.615800,1.616500
2020-07-22 ,1.616600,1.616700,1.612300,1.612300
2020-07-22 ,1.612300,1.618200,1.610200,1.616800
2020-07-22 ,1.616900,1.618500,1.614900,1.616000
2020-07-22 ,1.616100,1.617600,1.613000,1.617400
2020-07-22 ,1.617500,1.623400,1.617400,1.622700
2020-07-22 ,1.622800,1.623200,1.619800,1.620400
2020-07-22 ,1.620500,1.621800,1.619100,1.620400
2020-07-22 ,1.620200,1.621000,1.619400,1.620400
2020-07-22 ,1.618800,1.621000,1.618800,1.620600
2020-07-23 ,1.620700,1.621200,1.619200,1.620600
2020-07-23 ,1.620500,1.621900,1.620000,1.620900
2020-07-23 ,1.621000,1.621200,1.618800,1.619800
2020-07-23 ,1.619800,1.620800,1.618900,1.619200
2020-07-23 ,1.619200,1.621500,1.618200,1.620900
2020-07-23 ,1.620800,1.626700,1.620500,1.625200
2020-07-23 ,1.625100,1.627900,1.624000,1.627400
2020-07-23 ,1.627500,1.629900,1.626000,1.627400
2020-07-23 ,1.627500,1.630800,1.627000,1.630600
