date,open,high,low,close
2020-07-17 ,1.545960,1.546220,1.545020,1.545250
2020-07-17 ,1.545220,1.545740,1.544600,1.545630
2020-07-17 ,1.545660,1.546820,1.545630,1.546480
2020-07-17 ,1.546490,1.547190,1.545600,1.546020
2020-07-17 ,1.546040,1.549510,1.545870,1.549370
2020-07-17 ,1.549350,1.551530,1.549180,1.550960
2020-07-17 ,1.550960,1.551360,1.550170,1.550590
2020-07-17 ,1.550590,1.553100,1.549930,1.551200
2020-07-17 ,1.551210,1.553190,1.550620,1.552310
2020-07-17 ,1.552320,1.553230,1.551970,1.552750
2020-07-17 ,1.552730,1.553480,1.551030,1.551780
2020-07-19 ,1.548360,1.553340,1.548350,1.552950
2020-07-20 ,1.552980,1.553630,1.551490,1.551640
2020-07-20 ,1.551640,1.552630,1.551380,1.552020
2020-07-20 ,1.552020,1.553830,1.550980,1.553810
2020-07-20 ,1.554070,1.557470,1.553240,1.556130
2020-07-20 ,1.556120,1.556400,1.554390,1.554880
2020-07-20 ,1.554830,1.554950,1.553660,1.554050
2020-07-20 ,1.554060,1.554590,1.549080,1.549740
2020-07-20 ,1.549740,1.550780,1.546610,1.549340
2020-07-20 ,1.549330,1.550080,1.547370,1.547900
2020-07-20 ,1.547900,1.548760,1.546870,1.548420
2020-07-20 ,1.548400,1.549980,1.548400,1.549240
2020-07-20 ,1.549090,1.549410,1.548510,1.548740
2020-07-21 ,1.548730,1.549800,1.548490,1.548830
2020-07-21 ,1.548810,1.549340,1.548320,1.549070
2020-07-21 ,1.549080,1.549810,1.543900,1.544660
2020-07-21 ,1.544660,1.546550,1.543970,1.545380
2020-07-21 ,1.545370,1.547280,1.543330,1.544120
2020-07-21 ,1.544120,1.545250,1.541010,1.541080
2020-07-21 ,1.541080,1.541440,1.538480,1.539170
2020-07-21 ,1.539200,1.545240,1.537650,1.544620
2020-07-21 ,1.544600,1.548020,1.543670,1.547910
2020-07-21 ,1.547930,1.549890,1.547370,1.549530
2020-07-21 ,1.549520,1.551830,1.549170,1.551290
2020-07-21 ,1.551510,1.551890,1.550200,1.550890
2020-07-22 ,1.550910,1.552020,1.550220,1.551320
2020-07-22 ,1.551330,1.552230,1.550750,1.552190
2020-07-22 ,1.552260,1.552650,1.550950,1.551540
2020-07-22 ,1.551580,1.551820,1.549760,1.550620
2020-07-22 ,1.550600,1.553320,1.549810,1.552360
2020-07-22 ,1.552360,1.557500,1.552260,1.555310
2020-07-22 ,1.555320,1.557550,1.552600,1.557180
2020-07-22 ,1.557170,1.558830,1.554900,1.556920
2020-07-22 ,1.556880,1.556880,1.551380,1.551810
2020-07-22 ,1.551820,1.553070,1.550860,1.552100
2020-07-22 ,1.552090,1.552970,1.551400,1.552460
2020-07-22 ,1.551820,1.552730,1.551020,1.552090
2020-07-23 ,1.552100,1.552100,1.551150,1.551430
2020-07-23 ,1.551410,1.552030,1.551160,1.551720
2020-07-23 ,1.551690,1.552300,1.550820,1.552300
2020-07-23 ,1.552290,1.552580,1.551180,1.551480
2020-07-23 ,1.551460,1.552350,1.549000,1.550500
2020-07-23 ,1.550510,1.551680,1.549660,1.551290
2020-07-23 ,1.551280,1.551420,1.547680,1.549670
2020-07-23 ,1.549690,1.554550,1.548920,1.553590
2020-07-23 ,1.553620,1.554650,1.551400,1.551760
2020-07-23 ,1.551790,1.555560,1.551760,1.554270
2020-07-23 ,1.554250,1.555480,1.553820,1.554730
2020-07-23 ,1.553550,1.555200,1.551980,1.554440
2020-07-24 ,1.554370,1.554800,1.553770,1.553770
2020-07-24 ,1.553760,1.555800,1.553740,1.555660
2020-07-24 ,1.555670,1.557310,1.555410,1.556260
2020-07-24 ,1.556260,1.558290,1.555820,1.558110
2020-07-24 ,1.558110,1.560520,1.557490,1.558210
2020-07-24 ,1.558210,1.558360,1.555880,1.556140
2020-07-24 ,1.556100,1.558990,1.555420,1.557860
2020-07-24 ,1.557930,1.561470,1.556330,1.558020
2020-07-24 ,1.558050,1.562760,1.557440,1.562440
2020-07-24 ,1.562450,1.564320,1.562030,1.562030
2020-07-24 ,1.561990,1.564080,1.561780,1.563490
2020-07-26 ,1.562980,1.564270,1.561950,1.564220
2020-07-27 ,1.564240,1.567100,1.562930,1.566090
2020-07-27 ,1.566080,1.567520,1.565150,1.566880
2020-07-27 ,1.566910,1.567940,1.565610,1.566280
2020-07-27 ,1.566320,1.567950,1.565160,1.566920
