date,open,high,low,close
2020-07-17 ,1.187150,1.187940,1.186990,1.187700
2020-07-17 ,1.187720,1.188340,1.187210,1.187930
2020-07-17 ,1.187930,1.188020,1.187110,1.187280
2020-07-17 ,1.187270,1.187450,1.185600,1.185980
2020-07-17 ,1.185980,1.186400,1.183530,1.184430
2020-07-17 ,1.184420,1.184460,1.180240,1.181350
2020-07-17 ,1.181350,1.181520,1.177160,1.177770
2020-07-17 ,1.177750,1.179020,1.176560,1.178080
2020-07-17 ,1.178100,1.179460,1.177410,1.178790
2020-07-17 ,1.178820,1.180030,1.178250,1.179180
2020-07-17 ,1.179170,1.180010,1.178910,1.179420
2020-07-19 ,1.179830,1.180690,1.178090,1.179390
2020-07-20 ,1.179430,1.179700,1.178910,1.179210
2020-07-20 ,1.179220,1.179540,1.177150,1.177210
2020-07-20 ,1.177220,1.177480,1.175970,1.176180
2020-07-20 ,1.176160,1.179480,1.176030,1.179020
2020-07-20 ,1.179020,1.182890,1.178940,1.182490
2020-07-20 ,1.182470,1.183840,1.182120,1.182630
2020-07-20 ,1.182620,1.186090,1.182590,1.185760
2020-07-20 ,1.185770,1.188210,1.185190,1.188100
2020-07-20 ,1.188060,1.188690,1.186680,1.188640
2020-07-20 ,1.188650,1.190200,1.188120,1.189680
2020-07-20 ,1.189670,1.189670,1.188040,1.188670
2020-07-20 ,1.188610,1.188970,1.188150,1.188670
2020-07-21 ,1.188690,1.190400,1.188550,1.189740
2020-07-21 ,1.189760,1.190260,1.189090,1.189500
2020-07-21 ,1.189510,1.189570,1.188310,1.188690
2020-07-21 ,1.188720,1.191680,1.188700,1.190850
2020-07-21 ,1.190860,1.192050,1.188800,1.191520
2020-07-21 ,1.191530,1.191740,1.188920,1.190870
2020-07-21 ,1.190850,1.192890,1.190170,1.191900
2020-07-21 ,1.191910,1.193670,1.189640,1.193190
2020-07-21 ,1.193200,1.193670,1.188650,1.188650
2020-07-21 ,1.188650,1.190380,1.188250,1.190130
2020-07-21 ,1.190100,1.190470,1.187410,1.188120
2020-07-21 ,1.187520,1.187980,1.185230,1.187390
2020-07-22 ,1.187410,1.187970,1.186510,1.187510
2020-07-22 ,1.187510,1.187660,1.185670,1.186240
2020-07-22 ,1.186240,1.186450,1.185630,1.185690
2020-07-22 ,1.185700,1.186710,1.184620,1.184710
2020-07-22 ,1.184710,1.185510,1.180970,1.182380
2020-07-22 ,1.182410,1.183760,1.180640,1.183330
2020-07-22 ,1.183290,1.184700,1.182160,1.183520
2020-07-22 ,1.183510,1.185030,1.181230,1.182910
2020-07-22 ,1.182960,1.183730,1.181980,1.183710
2020-07-22 ,1.183710,1.184430,1.183340,1.184280
2020-07-22 ,1.184280,1.184550,1.183610,1.183820
2020-07-22 ,1.182300,1.183740,1.182000,1.183670
2020-07-23 ,1.183660,1.184120,1.182870,1.183010
2020-07-23 ,1.183040,1.183530,1.182550,1.182600
2020-07-23 ,1.182610,1.183170,1.182370,1.182920
