date,open,high,low,close
2020-07-17 ,1.920300,1.921200,1.918700,1.918900
2020-07-17 ,1.918800,1.921300,1.918800,1.920900
2020-07-17 ,1.920800,1.921300,1.919700,1.920000
2020-07-17 ,1.919800,1.919900,1.916000,1.916600
2020-07-17 ,1.916600,1.917200,1.915300,1.917200
2020-07-17 ,1.917100,1.917500,1.915000,1.916600
2020-07-17 ,1.916600,1.918300,1.914300,1.914900
2020-07-17 ,1.914900,1.917300,1.913900,1.915500
2020-07-17 ,1.915500,1.915900,1.913700,1.915000
2020-07-17 ,1.915000,1.916300,1.914200,1.915100
2020-07-17 ,1.915000,1.917400,1.914700,1.916700
2020-07-19 ,1.911800,1.917600,1.911200,1.916200
2020-07-20 ,1.916300,1.916500,1.914700,1.915800
2020-07-20 ,1.915900,1.916900,1.913300,1.913900
2020-07-20 ,1.914000,1.914100,1.911800,1.912500
2020-07-20 ,1.912400,1.914900,1.911600,1.914200
2020-07-20 ,1.914200,1.917900,1.914200,1.917400
2020-07-20 ,1.917300,1.920800,1.916900,1.920600
2020-07-20 ,1.920600,1.925700,1.919900,1.925500
2020-07-20 ,1.925500,1.927400,1.923100,1.925200
2020-07-20 ,1.925200,1.927100,1.924300,1.926100
2020-07-20 ,1.926100,1.927100,1.925200,1.926600
2020-07-20 ,1.926500,1.926700,1.924400,1.924900
2020-07-20 ,1.924500,1.925400,1.923900,1.924800
2020-07-21 ,1.924700,1.925600,1.923600,1.925500
2020-07-21 ,1.925400,1.928200,1.925100,1.927600
2020-07-21 ,1.927700,1.928700,1.926500,1.928500
2020-07-21 ,1.928200,1.931200,1.928000,1.930200
2020-07-21 ,1.930200,1.932100,1.925100,1.928200
2020-07-21 ,1.928200,1.928500,1.921800,1.922300
2020-07-21 ,1.922400,1.922900,1.917600,1.918200
2020-07-21 ,1.918300,1.924100,1.915000,1.923100
2020-07-21 ,1.923200,1.923400,1.920100,1.921400
2020-07-21 ,1.921500,1.921900,1.919200,1.919700
2020-07-21 ,1.919600,1.920000,1.916600,1.917000
2020-07-21 ,1.915900,1.916900,1.913100,1.915700
2020-07-22 ,1.915800,1.917900,1.914700,1.917900
2020-07-22 ,1.917900,1.918000,1.913800,1.915600
2020-07-22 ,1.915700,1.916300,1.913200,1.913500
2020-07-22 ,1.913400,1.913700,1.907800,1.907900
2020-07-22 ,1.907800,1.909700,1.903000,1.904500
2020-07-22 ,1.904500,1.905000,1.901000,1.903300
2020-07-22 ,1.903200,1.904800,1.900300,1.902300
2020-07-22 ,1.902400,1.911000,1.902400,1.909100
2020-07-22 ,1.909300,1.910600,1.908200,1.910400
2020-07-22 ,1.910500,1.912500,1.909700,1.911700
2020-07-22 ,1.911800,1.912200,1.910800,1.911200
2020-07-22 ,1.909700,1.913300,1.908400,1.912300
2020-07-23 ,1.912200,1.913100,1.909800,1.911100
2020-07-23 ,1.911100,1.912000,1.909000,1.909400
2020-07-23 ,1.909500,1.909600,1.907700,1.908400
2020-07-23 ,1.908500,1.908500,1.905800,1.906100
2020-07-23 ,1.906200,1.906700,1.900400,1.903000
2020-07-23 ,1.903000,1.909900,1.902500,1.907800
2020-07-23 ,1.907700,1.911300,1.905700,1.911300
2020-07-23 ,1.911400,1.919500,1.909700,1.918000
2020-07-23 ,1.917800,1.918200,1.914900,1.915600
2020-07-23 ,1.915700,1.921000,1.915500,1.920100
2020-07-23 ,1.919900,1.921500,1.919100,1.920100
2020-07-23 ,1.918500,1.920300,1.918300,1.919100
2020-07-24 ,1.919200,1.920500,1.917500,1.917700
2020-07-24 ,1.917700,1.920600,1.917500,1.919800
2020-07-24 ,1.919900,1.923100,1.919300,1.922000
2020-07-24 ,1.922000,1.922900,1.920300,1.921600
2020-07-24 ,1.921600,1.923300,1.919400,1.920500
2020-07-24 ,1.920500,1.924400,1.918700,1.924200
2020-07-24 ,1.924100,1.925900,1.923100,1.925400
2020-07-24 ,1.925400,1.927400,1.924100,1.926300
2020-07-24 ,1.926300,1.929100,1.926000,1.928200
2020-07-24 ,1.928200,1.928800,1.926400,1.926600
2020-07-24 ,1.926700,1.927500,1.925400,1.926100
2020-07-26 ,1.926300,1.929300,1.921900,1.926500
2020-07-27 ,1.926600,1.927100,1.924300,1.925100
2020-07-27 ,1.925100,1.926400,1.923700,1.924500
2020-07-27 ,1.924500,1.924900,1.922900,1.923200
2020-07-27 ,1.923100,1.923300,1.921300,1.921400
2020-07-27 ,1.921500,1.927600,1.919500,1.927200
2020-07-27 ,1.927300,1.927700,1.924800,1.926800
2020-07-27 ,1.926900,1.928600,1.924400,1.926000
2020-07-27 ,1.926100,1.927700,1.922700,1.927200
2020-07-27 ,1.927100,1.929100,1.926200,1.927200
2020-07-27 ,1.927300,1.927900,1.924800,1.926900
2020-07-27 ,1.926900,1.928300,1.926200,1.926800
2020-07-27 ,1.927300,1.930700,1.925900,1.926600
2020-07-28 ,1.926700,1.928100,1.926100,1.927600
2020-07-28 ,1.927600,1.927700,1.924700,1.926800
2020-07-28 ,1.926900,1.931400,1.926400,1.930400
2020-07-28 ,1.930600,1.934300,1.930400,1.934200
2020-07-28 ,1.934200,1.936300,1.933500,1.935200
2020-07-28 ,1.935100,1.937800,1.935100,1.936200
2020-07-28 ,1.936200,1.938900,1.935100,1.935300
2020-07-28 ,1.935300,1.943700,1.934300,1.943400
2020-07-28 ,1.943300,1.944400,1.940500,1.944100
2020-07-28 ,1.944100,1.944900,1.942600,1.944500
2020-07-28 ,1.944600,1.944700,1.941200,1.941300
2020-07-28 ,1.940300,1.943400,1.939800,1.941600
2020-07-29 ,1.941700,1.942200,1.939100,1.939200
2020-07-29 ,1.939200,1.943100,1.939200,1.941900
2020-07-29 ,1.941800,1.943800,1.940300,1.941800
2020-07-29 ,1.941900,1.942600,1.940600,1.941900
2020-07-29 ,1.941800,1.944700,1.941100,1.944700
2020-07-29 ,1.944700,1.948900,1.944600,1.947500
