date,open,high,low,close
2020-07-17 ,1.255540,1.256740,1.255300,1.256280
2020-07-17 ,1.256310,1.256900,1.255530,1.256540
2020-07-17 ,1.256550,1.257090,1.256290,1.256550
2020-07-17 ,1.256560,1.256770,1.254590,1.254960
2020-07-17 ,1.254950,1.256360,1.253790,1.256330
2020-07-17 ,1.256330,1.256390,1.253750,1.255240
2020-07-17 ,1.255240,1.255560,1.251160,1.251570
2020-07-17 ,1.251580,1.254140,1.251230,1.253440
2020-07-17 ,1.253440,1.256770,1.253160,1.255710
2020-07-17 ,1.255720,1.257330,1.255220,1.256630
2020-07-17 ,1.256590,1.257430,1.256340,1.256660
2020-07-19 ,1.255340,1.257180,1.254210,1.256620
2020-07-20 ,1.256700,1.257220,1.254210,1.254660
2020-07-20 ,1.254650,1.254910,1.252000,1.252060
2020-07-20 ,1.252070,1.253120,1.251800,1.252970
2020-07-20 ,1.253040,1.256060,1.252580,1.255180
2020-07-20 ,1.255160,1.258870,1.254170,1.258770
2020-07-20 ,1.258750,1.260710,1.258590,1.260240
2020-07-20 ,1.260240,1.264160,1.260230,1.262510
2020-07-20 ,1.262510,1.264940,1.261980,1.264590
2020-07-20 ,1.264610,1.265860,1.263860,1.265040
2020-07-20 ,1.265070,1.266530,1.264270,1.266450
2020-07-20 ,1.266440,1.266440,1.265500,1.266130
2020-07-20 ,1.265650,1.266140,1.265320,1.265750
2020-07-21 ,1.265790,1.268370,1.265760,1.267110
2020-07-21 ,1.267120,1.268420,1.267050,1.267760
2020-07-21 ,1.267780,1.268510,1.265000,1.265490
2020-07-21 ,1.265480,1.270090,1.265440,1.269240
2020-07-21 ,1.269230,1.271600,1.267100,1.269570
2020-07-21 ,1.269540,1.271170,1.268190,1.270120
2020-07-21 ,1.270120,1.271560,1.268730,1.270460
2020-07-21 ,1.270470,1.275220,1.267330,1.274720
2020-07-21 ,1.274740,1.275230,1.272950,1.274300
2020-07-21 ,1.274320,1.276780,1.273640,1.275810
2020-07-21 ,1.275770,1.276240,1.272220,1.273290
2020-07-21 ,1.272670,1.273150,1.271410,1.272970
2020-07-22 ,1.273010,1.274030,1.272160,1.273210
2020-07-22 ,1.273210,1.273800,1.272020,1.272840
2020-07-22 ,1.272820,1.273220,1.271690,1.271880
2020-07-22 ,1.271880,1.272940,1.270970,1.271040
2020-07-22 ,1.271040,1.272540,1.264410,1.265620
2020-07-22 ,1.265600,1.269140,1.264390,1.269140
2020-07-22 ,1.269140,1.272950,1.268260,1.271450
2020-07-22 ,1.271450,1.273990,1.269160,1.273290
2020-07-22 ,1.273290,1.273770,1.271790,1.273680
2020-07-22 ,1.273680,1.274350,1.272670,1.273760
2020-07-22 ,1.273810,1.274290,1.273290,1.273410
2020-07-22 ,1.272230,1.273890,1.271770,1.273450
2020-07-23 ,1.273450,1.273910,1.272620,1.272900
2020-07-23 ,1.272900,1.274000,1.272320,1.272450
2020-07-23 ,1.272470,1.274500,1.272310,1.274100
2020-07-23 ,1.274100,1.275380,1.273360,1.274520
2020-07-23 ,1.274520,1.275100,1.269820,1.271890
2020-07-23 ,1.271890,1.273360,1.270970,1.271060
2020-07-23 ,1.271030,1.271290,1.267390,1.267480
2020-07-23 ,1.267520,1.275430,1.267260,1.274540
2020-07-23 ,1.274550,1.275990,1.273200,1.274490
2020-07-23 ,1.274460,1.275080,1.273100,1.274300
2020-07-23 ,1.274310,1.274630,1.272850,1.274120
2020-07-23 ,1.273170,1.274250,1.272950,1.274150
2020-07-24 ,1.274160,1.276020,1.272790,1.275900
2020-07-24 ,1.275920,1.277310,1.274750,1.275420
2020-07-24 ,1.275470,1.275750,1.272870,1.273270
2020-07-24 ,1.273260,1.275310,1.272400,1.274870
2020-07-24 ,1.274850,1.275100,1.271680,1.272840
2020-07-24 ,1.272830,1.274490,1.272250,1.273090
2020-07-24 ,1.273110,1.276700,1.273080,1.276100
2020-07-24 ,1.276100,1.279480,1.275200,1.278890
2020-07-24 ,1.278840,1.279270,1.277760,1.278490
2020-07-24 ,1.278490,1.280340,1.277790,1.278900
2020-07-24 ,1.278880,1.279900,1.278480,1.279370
2020-07-26 ,1.279430,1.279530,1.277450,1.279270
2020-07-27 ,1.279300,1.282150,1.278540,1.281700
2020-07-27 ,1.281690,1.285190,1.281430,1.284710
2020-07-27 ,1.284700,1.285850,1.283590,1.283780
2020-07-27 ,1.283780,1.283780,1.281910,1.281950
2020-07-27 ,1.281980,1.284230,1.280680,1.283930
2020-07-27 ,1.283940,1.287250,1.282950,1.287070
2020-07-27 ,1.287070,1.287720,1.284140,1.285350
2020-07-27 ,1.285340,1.290270,1.284870,1.289700
2020-07-27 ,1.289710,1.290080,1.286980,1.287350
2020-07-27 ,1.287360,1.288070,1.286780,1.287160
2020-07-27 ,1.287090,1.288150,1.286710,1.288150
2020-07-27 ,1.288280,1.289980,1.287180,1.289170
2020-07-28 ,1.289160,1.289260,1.287040,1.288390
2020-07-28 ,1.288370,1.290420,1.287420,1.287750
2020-07-28 ,1.287760,1.287950,1.284590,1.285640
2020-07-28 ,1.285660,1.287110,1.284470,1.286500
2020-07-28 ,1.286470,1.288120,1.283820,1.287950
2020-07-28 ,1.287950,1.288850,1.286700,1.288100
2020-07-28 ,1.288100,1.289500,1.285990,1.288610
2020-07-28 ,1.288600,1.294710,1.287410,1.294600
2020-07-28 ,1.294620,1.295020,1.292800,1.294780
2020-07-28 ,1.294770,1.295250,1.293730,1.294560
2020-07-28 ,1.294540,1.294850,1.292340,1.293040
2020-07-28 ,1.292680,1.293750,1.292670,1.292680
2020-07-29 ,1.292680,1.293780,1.292220,1.292830
2020-07-29 ,1.292820,1.293130,1.291190,1.292330
2020-07-29 ,1.292370,1.293670,1.291500,1.291830
2020-07-29 ,1.291830,1.293560,1.291530,1.293560
2020-07-29 ,1.293560,1.297670,1.292530,1.296660
2020-07-29 ,1.296670,1.297950,1.296130,1.296420
2020-07-29 ,1.296420,1.298470,1.295790,1.297910
2020-07-29 ,1.297950,1.299500,1.295820,1.296630
2020-07-29 ,1.296630,1.298180,1.295520,1.297330
2020-07-29 ,1.297320,1.301330,1.295750,1.296360
2020-07-29 ,1.296390,1.300580,1.294900,1.299590
2020-07-29 ,1.298480,1.300120,1.298040,1.299160
2020-07-30 ,1.299200,1.299270,1.297430,1.298660
2020-07-30 ,1.298680,1.299170,1.297150,1.298490
2020-07-30 ,1.298460,1.299100,1.297440,1.297640
2020-07-30 ,1.297580,1.297650,1.294440,1.295490
2020-07-30 ,1.295500,1.299900,1.295080,1.298670
2020-07-30 ,1.298650,1.301720,1.297560,1.301640
2020-07-30 ,1.301640,1.303290,1.300600,1.303110
2020-07-30 ,1.303100,1.307220,1.302740,1.304430
2020-07-30 ,1.304400,1.306710,1.302040,1.306010
2020-07-30 ,1.306010,1.309050,1.305980,1.309010
2020-07-30 ,1.309010,1.310270,1.308360,1.309490
2020-07-30 ,1.309190,1.309700,1.307410,1.309630
2020-07-31 ,1.309690,1.313640,1.309610,1.311340
2020-07-31 ,1.311340,1.314320,1.310980,1.313140
2020-07-31 ,1.313150,1.313340,1.311790,1.313060
2020-07-31 ,1.313060,1.314190,1.311950,1.313740
2020-07-31 ,1.313720,1.314450,1.310530,1.312760
2020-07-31 ,1.312740,1.314280,1.310640,1.313570
2020-07-31 ,1.313540,1.315930,1.312290,1.315320
2020-07-31 ,1.315330,1.317020,1.311540,1.312580
2020-07-31 ,1.312560,1.314930,1.308040,1.309850
2020-07-31 ,1.309920,1.311520,1.308910,1.310440
2020-07-31 ,1.310470,1.310470,1.307030,1.308450
2020-08-02 ,1.307550,1.310080,1.306580,1.309920
2020-08-03 ,1.309930,1.310690,1.305620,1.307420
2020-08-03 ,1.307430,1.309650,1.306420,1.308320
2020-08-03 ,1.308300,1.309670,1.308050,1.309110
2020-08-03 ,1.309090,1.309520,1.305500,1.306210
2020-08-03 ,1.306210,1.311270,1.306190,1.310150
2020-08-03 ,1.310050,1.310210,1.301200,1.301520
2020-08-03 ,1.301580,1.304170,1.301210,1.302330
2020-08-03 ,1.302340,1.304250,1.300470,1.303090
2020-08-03 ,1.303080,1.306630,1.302930,1.305820
2020-08-03 ,1.305820,1.307920,1.305620,1.307490
2020-08-03 ,1.307480,1.307910,1.306500,1.307450
2020-08-03 ,1.307360,1.307800,1.305230,1.307570
2020-08-04 ,1.307580,1.307810,1.306570,1.306870
2020-08-04 ,1.306840,1.308830,1.306590,1.308660
2020-08-04 ,1.308630,1.308860,1.307090,1.308090
2020-08-04 ,1.308090,1.308750,1.305950,1.307820
2020-08-04 ,1.307840,1.310780,1.304640,1.306840
2020-08-04 ,1.306900,1.307840,1.302780,1.303240
2020-08-04 ,1.303250,1.303950,1.298120,1.298600
2020-08-04 ,1.298590,1.305550,1.298270,1.304500
2020-08-04 ,1.304540,1.307000,1.303660,1.306500
2020-08-04 ,1.306470,1.307360,1.304520,1.305670
2020-08-04 ,1.305680,1.307510,1.305320,1.307120
2020-08-04 ,1.305520,1.307230,1.305520,1.307140
2020-08-05 ,1.307150,1.308690,1.306750,1.308120
