date,open,high,low,close
2020-07-17 ,0.887600,0.888600,0.887300,0.888500
2020-07-17 ,0.888400,0.888400,0.887500,0.887900
2020-07-17 ,0.888000,0.888800,0.887900,0.888700
2020-07-17 ,0.888800,0.889600,0.888600,0.889300
2020-07-17 ,0.889300,0.889900,0.888600,0.889200
2020-07-17 ,0.889300,0.889600,0.888600,0.888700
2020-07-17 ,0.888600,0.888700,0.887100,0.887400
2020-07-17 ,0.887400,0.888900,0.886900,0.888600
2020-07-17 ,0.888600,0.890400,0.888500,0.890000
2020-07-17 ,0.889900,0.891000,0.889800,0.890700
2020-07-17 ,0.890600,0.890900,0.889400,0.890100
2020-07-19 ,0.888600,0.890400,0.887800,0.890300
2020-07-20 ,0.890400,0.890800,0.889400,0.889500
2020-07-20 ,0.889400,0.889600,0.888800,0.889100
2020-07-20 ,0.889000,0.889800,0.889000,0.889700
2020-07-20 ,0.889600,0.890700,0.889600,0.890400
2020-07-20 ,0.890500,0.891000,0.890200,0.890800
2020-07-20 ,0.890900,0.890900,0.889900,0.890300
2020-07-20 ,0.890400,0.890900,0.889600,0.889800
2020-07-20 ,0.889900,0.890200,0.888800,0.889500
2020-07-20 ,0.889600,0.889800,0.888400,0.888700
2020-07-20 ,0.888600,0.889600,0.888400,0.889600
2020-07-20 ,0.889500,0.890200,0.889400,0.890000
2020-07-20 ,0.889500,0.890100,0.889100,0.889700
2020-07-21 ,0.889600,0.890700,0.889600,0.889600
2020-07-21 ,0.889700,0.889800,0.888500,0.888900
2020-07-21 ,0.888800,0.889200,0.886500,0.886600
2020-07-21 ,0.886800,0.888300,0.886300,0.887700
2020-07-21 ,0.887600,0.889100,0.887500,0.888300
2020-07-21 ,0.888400,0.890700,0.888100,0.890100
2020-07-21 ,0.890100,0.891300,0.889300,0.891000
2020-07-21 ,0.891100,0.892500,0.890200,0.891100
2020-07-21 ,0.891200,0.891900,0.890700,0.891300
2020-07-21 ,0.891400,0.893000,0.891100,0.893000
2020-07-21 ,0.892900,0.893800,0.892800,0.893600
2020-07-21 ,0.893200,0.894000,0.892800,0.893500
2020-07-22 ,0.893400,0.893900,0.892900,0.893000
2020-07-22 ,0.892900,0.893700,0.892700,0.893200
2020-07-22 ,0.893300,0.893700,0.893000,0.893600
2020-07-22 ,0.893700,0.895800,0.893600,0.895700
2020-07-22 ,0.895800,0.897000,0.893400,0.895200
2020-07-22 ,0.895100,0.896600,0.895000,0.896400
2020-07-22 ,0.896300,0.897900,0.895300,0.897400
2020-07-22 ,0.897300,0.897400,0.894600,0.895600
2020-07-22 ,0.895500,0.895500,0.893200,0.893500
2020-07-22 ,0.893400,0.894200,0.893000,0.893700
2020-07-22 ,0.893700,0.894100,0.893400,0.893900
2020-07-22 ,0.893200,0.893900,0.891200,0.893200
2020-07-23 ,0.893100,0.894000,0.892500,0.893200
2020-07-23 ,0.893100,0.893900,0.892600,0.893800
2020-07-23 ,0.893800,0.895100,0.893600,0.894800
2020-07-23 ,0.894900,0.895400,0.894300,0.894800
2020-07-23 ,0.894800,0.895100,0.893700,0.894100
2020-07-23 ,0.894200,0.894300,0.890900,0.891800
2020-07-23 ,0.891800,0.892200,0.890200,0.890200
2020-07-23 ,0.890200,0.891400,0.889600,0.890200
2020-07-23 ,0.890300,0.890600,0.888200,0.888300
2020-07-23 ,0.888400,0.889100,0.887600,0.888400
2020-07-23 ,0.888500,0.889600,0.888300,0.889500
2020-07-23 ,0.889000,0.889600,0.888100,0.889400
2020-07-24 ,0.889300,0.890000,0.888600,0.890000
2020-07-24 ,0.890100,0.890500,0.889300,0.889700
2020-07-24 ,0.889800,0.890000,0.888100,0.888800
2020-07-24 ,0.888900,0.890200,0.888500,0.889900
2020-07-24 ,0.889900,0.891000,0.889000,0.890100
2020-07-24 ,0.890100,0.890100,0.888400,0.888700
2020-07-24 ,0.888700,0.890200,0.888600,0.888800
2020-07-24 ,0.888900,0.890500,0.888800,0.889600
2020-07-24 ,0.889600,0.890500,0.889300,0.890300
2020-07-24 ,0.890300,0.891100,0.890200,0.890900
2020-07-24 ,0.891000,0.891200,0.890400,0.891000
2020-07-26 ,0.889300,0.891500,0.888700,0.891200
2020-07-27 ,0.891200,0.892100,0.890900,0.891900
2020-07-27 ,0.891800,0.893300,0.891300,0.893100
2020-07-27 ,0.893100,0.893500,0.892800,0.893100
2020-07-27 ,0.893200,0.893400,0.892600,0.892800
2020-07-27 ,0.892700,0.894000,0.891500,0.892100
2020-07-27 ,0.892100,0.893300,0.891600,0.893200
2020-07-27 ,0.893200,0.893800,0.892200,0.893500
2020-07-27 ,0.893500,0.896500,0.893300,0.894500
2020-07-27 ,0.894500,0.894800,0.893400,0.893500
2020-07-27 ,0.893400,0.893900,0.892300,0.892400
2020-07-27 ,0.892300,0.893000,0.891700,0.892600
2020-07-27 ,0.892800,0.892900,0.890500,0.892700
2020-07-28 ,0.892600,0.892800,0.891500,0.891800
2020-07-28 ,0.891900,0.893600,0.891800,0.892600
2020-07-28 ,0.892600,0.892800,0.889500,0.889900
2020-07-28 ,0.889800,0.890400,0.888800,0.889100
2020-07-28 ,0.889200,0.890000,0.887800,0.889900
2020-07-28 ,0.889800,0.890600,0.889200,0.890300
2020-07-28 ,0.890400,0.890700,0.889700,0.890500
2020-07-28 ,0.890600,0.892500,0.889800,0.892200
2020-07-28 ,0.892300,0.892300,0.888900,0.889000
2020-07-28 ,0.889000,0.889800,0.888700,0.889300
2020-07-28 ,0.889200,0.891100,0.889200,0.891000
2020-07-28 ,0.890000,0.890800,0.889100,0.890800
2020-07-29 ,0.890800,0.891500,0.890600,0.891400
2020-07-29 ,0.891300,0.891400,0.889600,0.889900
2020-07-29 ,0.890000,0.890300,0.889400,0.889700
2020-07-29 ,0.889600,0.890300,0.889300,0.889600
2020-07-29 ,0.889700,0.891000,0.889200,0.889900
2020-07-29 ,0.890000,0.890100,0.888400,0.889000
2020-07-29 ,0.888900,0.889600,0.887600,0.889500
2020-07-29 ,0.889400,0.890600,0.888300,0.888600
2020-07-29 ,0.888600,0.889800,0.888600,0.889400
2020-07-29 ,0.889500,0.890700,0.889000,0.889400
2020-07-29 ,0.889400,0.889900,0.888700,0.889200
2020-07-29 ,0.889200,0.889800,0.888400,0.889000
2020-07-30 ,0.888900,0.889100,0.887700,0.889000
2020-07-30 ,0.888900,0.889100,0.887000,0.887200
2020-07-30 ,0.887200,0.887600,0.886400,0.886900
2020-07-30 ,0.886800,0.887600,0.885900,0.887500
2020-07-30 ,0.887500,0.889100,0.887200,0.888900
2020-07-30 ,0.889000,0.889800,0.888500,0.889400
2020-07-30 ,0.889300,0.890600,0.888900,0.890500
2020-07-30 ,0.890600,0.893400,0.890300,0.892300
2020-07-30 ,0.892400,0.893700,0.890600,0.893500
2020-07-30 ,0.893500,0.897000,0.893300,0.896800
2020-07-30 ,0.896800,0.899500,0.896600,0.899100
2020-07-30 ,0.898800,0.899500,0.896800,0.898400
2020-07-31 ,0.898400,0.899400,0.897400,0.898500
2020-07-31 ,0.898600,0.899200,0.897300,0.897300
2020-07-31 ,0.897300,0.900100,0.897000,0.899900
2020-07-31 ,0.899800,0.900900,0.899700,0.900700
2020-07-31 ,0.900600,0.901000,0.896000,0.896500
2020-07-31 ,0.896400,0.897300,0.895900,0.896700
2020-07-31 ,0.896600,0.896700,0.893600,0.894300
2020-07-31 ,0.894300,0.895300,0.891700,0.891900
2020-07-31 ,0.891800,0.892800,0.888200,0.889800
2020-07-31 ,0.889800,0.890000,0.887100,0.887200
2020-07-31 ,0.887100,0.890000,0.886900,0.888900
2020-08-02 ,0.887400,0.889300,0.887200,0.889300
2020-08-03 ,0.889400,0.889500,0.887400,0.888100
2020-08-03 ,0.888000,0.888700,0.887300,0.888300
2020-08-03 ,0.888400,0.889700,0.888400,0.889500
2020-08-03 ,0.889600,0.890100,0.888400,0.888500
2020-08-03 ,0.888600,0.890300,0.888400,0.890100
2020-08-03 ,0.890100,0.890800,0.889100,0.890200
2020-08-03 ,0.890300,0.890700,0.886500,0.886600
