date,open,high,low,close
2020-07-17 ,1.357920,1.358050,1.356800,1.357290
2020-07-17 ,1.357280,1.357990,1.356920,1.357580
2020-07-17 ,1.357590,1.358290,1.357500,1.358070
2020-07-17 ,1.358080,1.358910,1.357900,1.358280
2020-07-17 ,1.358300,1.358830,1.357050,1.357150
2020-07-17 ,1.357140,1.358810,1.357070,1.357100
2020-07-17 ,1.357090,1.358100,1.357040,1.357920
2020-07-17 ,1.357920,1.358610,1.356510,1.358140
2020-07-17 ,1.358130,1.358130,1.356940,1.357480
2020-07-17 ,1.357470,1.357950,1.356930,1.357640
2020-07-17 ,1.357670,1.358520,1.357040,1.357840
2020-07-19 ,1.357140,1.358630,1.357140,1.358010
2020-07-20 ,1.358010,1.358930,1.357310,1.358420
2020-07-20 ,1.358430,1.359980,1.358380,1.359290
2020-07-20 ,1.359330,1.359410,1.358120,1.358140
2020-07-20 ,1.358120,1.358660,1.357630,1.358140
2020-07-20 ,1.358180,1.359320,1.356680,1.357080
2020-07-20 ,1.357090,1.357360,1.356160,1.357000
2020-07-20 ,1.356970,1.357300,1.355490,1.357260
2020-07-20 ,1.357260,1.357600,1.353380,1.354370
2020-07-20 ,1.354370,1.354540,1.352920,1.353250
2020-07-20 ,1.353230,1.353540,1.352580,1.353430
2020-07-20 ,1.353440,1.353930,1.353320,1.353340
2020-07-20 ,1.353530,1.353700,1.353040,1.353050
2020-07-21 ,1.353040,1.353100,1.351480,1.352060
2020-07-21 ,1.352050,1.352050,1.351010,1.351720
2020-07-21 ,1.351730,1.352060,1.351070,1.351350
2020-07-21 ,1.351380,1.351380,1.350140,1.350180
2020-07-21 ,1.350190,1.351610,1.348680,1.349350
2020-07-21 ,1.349380,1.349870,1.347180,1.347330
2020-07-21 ,1.347340,1.347560,1.343870,1.345570
2020-07-21 ,1.345580,1.346630,1.344270,1.344620
2020-07-21 ,1.344600,1.345070,1.343410,1.344140
2020-07-21 ,1.344120,1.344410,1.342510,1.343810
2020-07-21 ,1.343800,1.346090,1.343590,1.345710
2020-07-21 ,1.345820,1.345890,1.344590,1.344890
2020-07-22 ,1.344840,1.345400,1.344020,1.345350
2020-07-22 ,1.345330,1.345380,1.344130,1.344460
2020-07-22 ,1.344480,1.344880,1.344140,1.344600
2020-07-22 ,1.344610,1.345850,1.343960,1.344670
2020-07-22 ,1.344670,1.348300,1.343700,1.347280
2020-07-22 ,1.347280,1.348030,1.344320,1.344420
2020-07-22 ,1.344420,1.344450,1.341930,1.342870
2020-07-22 ,1.342870,1.345530,1.342860,1.342960
2020-07-22 ,1.342940,1.343360,1.339950,1.340420
2020-07-22 ,1.340400,1.342680,1.340220,1.341600
2020-07-22 ,1.341600,1.342040,1.340660,1.341760
2020-07-22 ,1.341720,1.341720,1.340790,1.341500
2020-07-23 ,1.341510,1.341960,1.340540,1.341180
2020-07-23 ,1.341200,1.341650,1.340210,1.341420
2020-07-23 ,1.341440,1.341440,1.339900,1.340460
2020-07-23 ,1.340470,1.340500,1.338310,1.338500
2020-07-23 ,1.338490,1.339600,1.337080,1.338000
2020-07-23 ,1.338020,1.339180,1.337160,1.338800
2020-07-23 ,1.338810,1.342640,1.338270,1.342640
2020-07-23 ,1.342580,1.342730,1.338940,1.339850
2020-07-23 ,1.339880,1.341140,1.335130,1.335420
2020-07-23 ,1.335410,1.341020,1.335180,1.338870
2020-07-23 ,1.338860,1.341740,1.338680,1.340640
2020-07-23 ,1.340070,1.341340,1.338770,1.339750
2020-07-24 ,1.339720,1.340890,1.337700,1.337860
2020-07-24 ,1.337870,1.339850,1.337700,1.339340
2020-07-24 ,1.339320,1.342310,1.339120,1.341830
2020-07-24 ,1.341830,1.342650,1.340810,1.341550
2020-07-24 ,1.341560,1.344500,1.341200,1.343250
2020-07-24 ,1.343230,1.343850,1.340820,1.343360
2020-07-24 ,1.343360,1.343360,1.341040,1.341280
2020-07-24 ,1.341300,1.343660,1.338930,1.340240
2020-07-24 ,1.340230,1.343070,1.339980,1.342890
2020-07-24 ,1.342900,1.343840,1.341650,1.342390
2020-07-24 ,1.342390,1.342670,1.341240,1.341630
2020-07-26 ,1.342430,1.342520,1.341320,1.342430
2020-07-27 ,1.342390,1.343120,1.339440,1.339840
2020-07-27 ,1.339840,1.340170,1.337820,1.338070
2020-07-27 ,1.338070,1.338300,1.337090,1.338110
2020-07-27 ,1.338150,1.339280,1.337530,1.338240
2020-07-27 ,1.338250,1.340330,1.337970,1.339300
2020-07-27 ,1.339300,1.339640,1.337190,1.337440
2020-07-27 ,1.337460,1.339820,1.337120,1.339080
2020-07-27 ,1.339140,1.340450,1.336620,1.336810
2020-07-27 ,1.336820,1.339400,1.336820,1.337770
2020-07-27 ,1.337710,1.338270,1.335400,1.336150
2020-07-27 ,1.336150,1.336870,1.335440,1.335440
2020-07-27 ,1.335730,1.336170,1.334210,1.334340
2020-07-28 ,1.334350,1.335330,1.333790,1.334490
